compressed_script,encryption,crypt_aes,crypt_blowfish,transaction_control,txc_mvlocks,txc_mvcc,txc_locks,table_type,memory_tables,cached_tables,small_cache,large_cache,logging,detailed_logging,no_write_delay,small_log,Benchmark-energy-,Benchmark-time-,Benchmark-cpu-
0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,6.6386,248.6,2.042798
0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,6.6458,249.8,2.044651
0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,6.6662,250.6,2.037751
0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,6.7028,250,2.078869
0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,6.6742,251.4,2.244545
0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,6.7226,251.4,2.250598
0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,6.6576,250.2,2.055159
0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,6.6166,250,2.044578
0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,6.6998,251.4,2.266731
0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,6.749,251.6,2.256508
0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,6.6902,250.2,2.105181
0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,6.6706,250,2.101446
0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,6.6872,249.6,2.12525
0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,6.6996,251.2,2.338738
0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,6.7306,251.2,2.278191
0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,6.6764,250,2.12786
0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,6.6312,250,2.087002
0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,6.7456,251.4,2.309039
0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,6.7104,251.4,2.336801
0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,6.652,249.6,2.137624
0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,6.7294,251.4,2.334801
0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,6.7208,251.2,2.312983
0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,6.6674,249.8,2.154108
0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,6.6332,249.4,2.124789
0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,6.6766,249.6,2.176183
0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,6.6918,251.4,2.338497
0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,6.7098,251,2.354133
0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,6.651,249.6,2.119857
0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,6.6392,249.4,2.147718
0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,6.7428,251.4,2.441822
0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,6.7088,251.4,2.369803
0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,6.6628,249.4,2.137985
0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,6.7286,251.2,2.334847
0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,6.7186,251.2,2.359191
0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,6.6504,250,2.06869
0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,6.7418,251,2.271303
0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,6.708,251.4,2.235233
0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,9.7376,320.6,7.144308
0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,8.7084,321.2,7.125176
0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,8.9072,321.2,7.294169
0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,8.795,322,7.291829
0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,9.8146,321.8,7.260632
0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,8.6934,320.8,7.1048
0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,8.8766,320.8,7.272121
0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,8.836,322.2,7.273416
0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,9.785,322.4,7.26625
0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,8.7994,320.4,7.207088
0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,8.8484,320.8,7.215924
0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,9.1014,321.2,7.226081
0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,9.8,321.8,7.338948
0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,9.1618,321.8,7.286681
0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,8.8638,320.2,7.184294
0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,9.1286,320.6,7.293172
0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,9.1458,321.8,7.296816
0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,9.7276,321.4,7.29329
0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,9.764,320.4,7.254808
0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,8.856,321.6,7.359107
0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,8.7108,321.8,7.27695
0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,8.7026,320.2,7.312602
0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,8.708,320.2,7.218419
0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,8.8804,320,7.288339
0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,8.8088,321.8,7.304198
0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,9.7812,322,7.328411
0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,8.6818,320,7.183135
0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,9.7584,320.2,7.210034
0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,8.832,322,7.341246
0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,6.653,248.4,2.144097
0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,8.8826,320.4,7.28785
0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,8.843,321.8,7.324447
0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,9.8466,322,7.353396
0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,8.7934,321,7.135581
0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,6.67,249.2,2.090636
0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,8.9362,322.4,7.349164
0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,7.0884,262.6,3.998841
0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,7.1218,262.4,4.088203
0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,7.0936,262.2,4.075506
0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,7.1018,261.8,4.087242
0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,7.1834,264,4.231407
0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,7.1602,264,4.264729
0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,7.1122,262.4,4.070585
0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,7.0908,262.4,4.069607
0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,7.4208,264,4.15673
0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,7.1306,264,4.219558
0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,7.1386,262.6,4.145664
0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,7.1516,262.8,4.174192
0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,7.1376,262.8,4.153716
0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,7.178,264,4.255471
0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,7.1478,264.2,4.246687
0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,7.1302,262.6,4.11823
0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,7.1338,262.4,4.132603
0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,7.1446,264,4.259264
0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,7.158,263.8,4.225883
0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,7.114,262.6,4.116365
