delayedInnodbLogFlush,delayedInnodbLogWrite,innodbFlushMethod,fsyncFlush,dsyncFlush,directFlush,binaryLog,innodbDoubleWrite,TempTableSize,InnodbBufferPoolSize,InnodbLogBufferSize,Performance-,Cpu-
0,0,1,0,0,1,0,0,256,8,1,152.73918,2.097821
0,0,1,0,0,1,0,0,4096,8,1,156.03908,1.598034
0,0,1,0,0,1,0,0,65536,8,1,147.44916,1.818094
0,0,1,0,0,1,0,0,256,64,1,126.19916,1.302478
0,0,1,0,0,1,0,0,4096,64,1,122.43356,1.347658
0,0,1,0,0,1,0,0,65536,64,1,125.59792,1.823848
0,0,1,0,0,1,0,0,256,512,1,121.4958,0.953861
0,0,1,0,0,1,0,0,4096,512,1,124.5854,1.431842
0,0,1,0,0,1,0,0,65536,512,1,124.92472,1.57357
0,0,1,0,0,1,0,0,256,8,8,154.80596,1.832602
0,0,1,0,0,1,0,0,4096,8,8,156.3613,1.717028
0,0,1,0,0,1,0,0,65536,8,8,153.44792,1.916565
0,0,1,0,0,1,0,0,256,64,8,127.65364,1.864011
0,0,1,0,0,1,0,0,4096,64,8,126.46388,1.620084
0,0,1,0,0,1,0,0,65536,64,8,121.13962,1.707123
0,0,1,0,0,1,0,0,256,512,8,131.43594,1.406796
0,0,1,0,0,1,0,0,4096,512,8,124.03382,1.576118
0,0,1,0,0,1,0,0,65536,512,8,132.51554,1.393236
0,0,1,0,0,1,0,0,256,8,64,144.89046,1.754854
0,0,1,0,0,1,0,0,4096,8,64,157.60522,2.184037
0,0,1,0,0,1,0,0,65536,8,64,145.1357,1.450489
0,0,1,0,0,1,0,0,256,64,64,123.74794,1.840236
0,0,1,0,0,1,0,0,4096,64,64,124.50118,1.7233
0,0,1,0,0,1,0,0,65536,64,64,137.18522,1.073235
0,0,1,0,0,1,0,0,256,512,64,123.31718,1.384665
0,0,1,0,0,1,0,0,4096,512,64,129.99348,1.715657
0,0,1,0,0,1,0,0,65536,512,64,123.12918,1.978482
0,0,1,0,0,1,0,1,256,8,1,144.10294,2.128679
0,0,1,0,0,1,0,1,4096,8,1,156.76458,2.3234
0,0,1,0,0,1,0,1,65536,8,1,166.58138,1.66438
0,0,1,0,0,1,0,1,256,64,1,130.06446,1.49515
0,0,1,0,0,1,0,1,4096,64,1,123.9514,1.46569
0,0,1,0,0,1,0,1,65536,64,1,127.50434,1.874767
0,0,1,0,0,1,0,1,256,512,1,127.73696,1.561734
0,0,1,0,0,1,0,1,4096,512,1,122.79732,1.744263
0,0,1,0,0,1,0,1,65536,512,1,124.71252,1.597505
0,0,1,0,0,1,0,1,256,8,8,158.39724,1.997852
0,0,1,0,0,1,0,1,4096,8,8,146.89084,1.839865
0,0,1,0,0,1,0,1,65536,8,8,158.41652,1.503037
0,0,1,0,0,1,0,1,256,64,8,134.70682,1.305506
0,0,1,0,0,1,0,1,4096,64,8,128.24036,1.634234
