encryption,compression,compressionBzip2,compressionGzip,compressionLzo,compressionZpaq,compressionLzma,unlimitedWindowSize,disableCompressibilityTesting,Level,ProcessorCount,MaxRam,Performance-,Benchmark-cpu-
0,0,0,0,0,0,0,0,0,1,1,2,10704.6,34.294667
0,0,0,0,0,0,0,0,0,2,1,2,10718.8,34.587818
0,0,0,0,0,0,0,0,0,3,1,2,11073.8,33.930364
0,0,0,0,0,0,0,0,0,4,1,2,11668.6,34.172727
0,0,0,0,0,0,0,0,0,5,1,2,12641.8,35.69359
0,0,0,0,0,0,0,0,0,6,1,2,14216.6,35.666095
0,0,0,0,0,0,0,0,0,7,1,2,18311.8,31.71386
0,0,0,0,0,0,0,0,0,8,1,2,18378,31.760058
0,0,0,0,0,0,0,0,0,9,1,2,18394.8,32.21193
0,0,0,0,0,0,0,0,0,1,2,2,10253.2,36.548
0,0,0,0,0,0,0,0,0,2,2,2,10439.2,36.429818
0,0,0,0,0,0,0,0,0,3,2,2,11001.6,37.140061
0,0,0,0,0,0,0,0,0,4,2,2,11737.6,36.783939
0,0,0,0,0,0,0,0,0,5,2,2,12648.4,36.718333
0,0,0,0,0,0,0,0,0,6,2,2,14339.2,33.276191
0,0,0,0,0,0,0,0,0,7,2,2,18344.4,32.267135
0,0,0,0,0,0,0,0,0,8,2,2,18697.4,32.574351
0,0,0,0,0,0,0,0,0,9,2,2,18494.2,33.101345
0,0,0,0,0,0,0,0,0,1,3,2,10341.4,35.95
0,0,0,0,0,0,0,0,0,2,3,2,10597.6,36.306333
0,0,0,0,0,0,0,0,0,3,3,2,11135.6,36.111637
0,0,0,0,0,0,0,0,0,4,3,2,11981.8,35.527319
0,0,0,0,0,0,0,0,0,5,3,2,12866.2,36.555257
0,0,0,0,0,0,0,0,0,6,3,2,14263.8,33.502286
0,0,0,0,0,0,0,0,0,7,3,2,18458,33.353158
0,0,0,0,0,0,0,0,0,8,3,2,18454.4,32.220058
0,0,0,0,0,0,0,0,0,9,3,2,18600,32.158831
0,0,0,0,0,0,0,0,0,1,4,2,10483.6,36.115455
0,0,0,0,0,0,0,0,0,2,4,2,10740.8,36.507091
0,0,0,0,0,0,0,0,0,3,4,2,11494,36.501061
0,0,0,0,0,0,0,0,0,4,4,2,12033.8,36.458788
0,0,0,0,0,0,0,0,0,5,4,2,12876.6,35.447949
0,0,0,0,0,0,0,0,0,6,4,2,14283.8,32.635714
0,0,0,0,0,0,0,0,0,7,4,2,18475.2,32.343626
0,0,0,0,0,0,0,0,0,8,4,2,18421.8,31.396667
0,0,0,0,0,0,0,0,0,9,4,2,18646.6,31.303333
0,0,0,0,0,0,0,0,0,1,1,6,10499.4,37.301091
0,0,0,0,0,0,0,0,0,2,1,6,10508.6,37.260727
0,0,0,0,0,0,0,0,0,3,1,6,10651.6,34.950364
0,0,0,0,0,0,0,0,0,4,1,6,10989.2,36.01703
0,0,0,0,0,0,0,0,0,5,1,6,11625.2,33.714546
0,0,0,0,0,0,0,0,0,6,1,6,12361.2,34.261667
0,0,0,0,0,0,0,0,0,7,1,6,14367.8,32.880191
0,0,0,0,0,0,0,0,0,8,1,6,14423.2,35.022762
0,0,0,0,0,0,0,0,0,9,1,6,14478.2,35.109143
0,0,0,0,0,0,0,0,0,1,2,6,10417.6,35.438182
0,0,0,0,0,0,0,0,0,2,2,6,10562.4,36.104
0,0,0,0,0,0,0,0,0,3,2,6,10630.8,35.032
0,0,0,0,0,0,0,0,0,4,2,6,11118.4,37.929848
0,0,0,0,0,0,0,0,0,5,2,6,11569.4,33.572727
0,0,0,0,0,0,0,0,0,6,2,6,12270.6,34.460128
0,0,0,0,0,0,0,0,0,7,2,6,14550.4,33.709429
0,0,0,0,0,0,0,0,0,8,2,6,14369.2,34.702
0,0,0,0,0,0,0,0,0,9,2,6,14717.8,33.320333
0,0,0,0,0,0,0,0,0,1,3,6,10756,35.69
0,0,0,0,0,0,0,0,0,2,3,6,10607.6,37.503273
0,0,0,0,0,0,0,0,0,3,3,6,10671.2,35.692909
0,0,0,0,0,0,0,0,0,4,3,6,11193,36.380152
0,0,0,0,0,0,0,0,0,5,3,6,11660.4,36.527121
0,0,0,0,0,0,0,0,0,6,3,6,12303,34.660513
0,0,0,0,0,0,0,0,0,7,3,6,14434.2,34.198286
0,0,0,0,0,0,0,0,0,8,3,6,14313,31.954286
0,0,0,0,0,0,0,0,0,9,3,6,14704.8,32.477429
0,0,0,0,0,0,0,0,0,1,4,6,10500.4,34.498
0,0,0,0,0,0,0,0,0,2,4,6,10451,37.266182
0,0,0,0,0,0,0,0,0,3,4,6,10722.2,36.286576
0,0,0,0,0,0,0,0,0,4,4,6,11154.2,35.934455
0,0,0,0,0,0,0,0,0,5,4,6,11763,35.827634
0,0,0,0,0,0,0,0,0,6,4,6,12379.6,33.873333
0,0,0,0,0,0,0,0,0,7,4,6,14635.8,33.639476
0,0,0,0,0,0,0,0,0,8,4,6,14362,33.805333
0,0,0,0,0,0,0,0,0,9,4,6,14561.8,32.169333
0,0,0,0,0,0,0,0,0,1,1,18,10330.6,34.278
0,0,0,0,0,0,0,0,0,2,1,18,10499.2,36.402546
0,0,0,0,0,0,0,0,0,3,1,18,10618,37.709636
0,0,0,0,0,0,0,0,0,4,1,18,10702.6,35.480182
0,0,0,0,0,0,0,0,0,5,1,18,11228.8,36.405455
0,0,0,0,0,0,0,0,0,6,1,18,11584.6,35.837879
0,0,0,0,0,0,0,0,0,7,1,18,12504.6,33.862949
0,0,0,0,0,0,0,0,0,8,1,18,12605.4,33.62782
0,0,0,0,0,0,0,0,0,9,1,18,12656.6,33.922949
0,0,0,0,0,0,0,0,0,1,2,18,10373,34.169455
0,0,0,0,0,0,0,0,0,2,2,18,10364,34.799273
0,0,0,0,0,0,0,0,0,3,2,18,10689.2,34.956364
0,0,0,0,0,0,0,0,0,4,2,18,10892.6,33.558546
0,0,0,0,0,0,0,0,0,5,2,18,11183.6,33.254909
0,0,0,0,0,0,0,0,0,6,2,18,11504.4,33.672576
0,0,0,0,0,0,0,0,0,7,2,18,12712.2,34.989615
0,0,0,0,0,0,0,0,0,8,2,18,12709.2,33.794359
0,0,0,0,0,0,0,0,0,9,2,18,12655.2,35.63859
0,0,0,0,0,0,0,0,0,1,3,18,10427.8,34.460909
0,0,0,0,0,0,0,0,0,2,3,18,10324,36.494
0,0,0,0,0,0,0,0,0,3,3,18,10568.4,35.276
0,0,0,0,0,0,0,0,0,4,3,18,10719.8,36.661091
0,0,0,0,0,0,0,0,0,5,3,18,11203.4,32.989091
0,0,0,0,0,0,0,0,0,6,3,18,11563.6,34.997727
0,0,0,0,0,0,0,0,0,7,3,18,12512.4,35.713462
0,0,0,0,0,0,0,0,0,8,3,18,12580.6,35.740513
