opt_useAddressPrecalc,opt_vectorize,simd_avoidUnaligned,data_alignFieldPointers,opt_unroll_interleave,opt_unroll,no_explorationId,explorationId,poly_tileSize_x,poly_tileSize_y,poly_tileSize_z,Compile-performance-,Fixed-compile-cpu-
0,0,0,0,0,1,1,0,0,0,0,1599,4.011519
0,0,0,0,0,2,1,0,0,0,0,1631,3.434159
0,0,0,0,0,3,1,0,0,0,0,1640.2,3.809444
0,0,0,0,0,4,1,0,0,0,0,1634,3.966666
0,0,0,0,0,1,0,1,0,0,0,2952.6,5.86
0,0,0,0,0,2,0,1,0,0,0,5012.4,7.771908
0,0,0,0,0,3,0,1,0,0,0,4549.6,7.614904
0,0,0,0,0,4,0,1,0,0,0,5008.8,7.770552
0,0,0,0,0,1,0,2,0,0,0,2926.2,5.734
0,0,0,0,0,2,0,2,0,0,0,4978.2,7.657081
0,0,0,0,0,3,0,2,0,0,0,4537.8,6.679034
0,0,0,0,0,4,0,2,0,0,0,4976.8,7.929655
0,0,0,0,0,1,0,3,0,0,0,2857.8,5.604516
0,0,0,0,0,2,0,3,0,0,0,4864.4,7.517871
0,0,0,0,0,3,0,3,0,0,0,4289.6,7.175675
0,0,0,0,0,4,0,3,0,0,0,4704.2,8.019197
0,0,0,0,0,1,0,4,0,0,0,2864.2,5.599355
0,0,0,0,0,2,0,4,0,0,0,4831.2,7.427097
0,0,0,0,0,3,0,4,0,0,0,4295,6.874807
0,0,0,0,0,4,0,4,0,0,0,4660.2,7.773462
0,0,0,0,0,1,0,1,8,0,0,3065.6,6.109655
0,0,0,0,0,2,0,1,8,0,0,5642.8,8.868114
0,0,0,0,0,3,0,1,8,0,0,5060.8,7.568506
0,0,0,0,0,4,0,1,8,0,0,5522,8.787863
0,0,0,0,0,1,0,2,8,0,0,3003.4,6.334368
0,0,0,0,0,2,0,2,8,0,0,5517,7.993855
0,0,0,0,0,3,0,2,8,0,0,4930.8,7.589333
0,0,0,0,0,4,0,2,8,0,0,5399,7.757374
0,0,0,0,0,1,0,3,8,0,0,2945.2,5.742129
0,0,0,0,0,2,0,3,8,0,0,5379.6,8.677037
0,0,0,0,0,3,0,3,8,0,0,4715.6,7.146553
0,0,0,0,0,4,0,3,8,0,0,5119.4,7.983823
0,0,0,0,0,1,0,4,8,0,0,2925.4,5.702473
0,0,0,0,0,2,0,4,8,0,0,5251.4,7.34916
0,0,0,0,0,3,0,4,8,0,0,4639.6,7.1325
0,0,0,0,0,4,0,4,8,0,0,5043.6,7.812414
0,0,0,0,0,1,0,1,10,0,0,3046.2,6.024759
0,0,0,0,0,2,0,1,10,0,0,5526,8.701681
0,0,0,0,0,3,0,1,10,0,0,4980.6,7.539793
0,0,0,0,0,4,0,1,10,0,0,5427.4,7.618586
0,0,0,0,0,1,0,2,10,0,0,2993.6,6.18354
0,0,0,0,0,2,0,2,10,0,0,5540.4,8.630972
0,0,0,0,0,3,0,2,10,0,0,4931.2,7.59
0,0,0,0,0,4,0,2,10,0,0,5427.2,7.946061
0,0,0,0,0,1,0,3,10,0,0,2969.4,6.052666
0,0,0,0,0,2,0,3,10,0,0,5372.4,8.614577
0,0,0,0,0,3,0,3,10,0,0,4789.8,7.260645
0,0,0,0,0,4,0,3,10,0,0,5169.6,7.421663
0,0,0,0,0,1,0,4,10,0,0,2908,5.906495
0,0,0,0,0,2,0,4,10,0,0,5299.8,7.842065
0,0,0,0,0,3,0,4,10,0,0,4704.8,7.389415
0,0,0,0,0,4,0,4,10,0,0,5092.2,7.76264
0,0,0,0,0,1,0,1,16,0,0,3051.8,5.956552
0,0,0,0,0,2,0,1,16,0,0,5539.2,8.571757
0,0,0,0,0,3,0,1,16,0,0,4964,7.288
0,0,0,0,0,4,0,1,16,0,0,5422,8.668148
0,0,0,0,0,1,0,2,16,0,0,2982.6,5.774667
0,0,0,0,0,2,0,2,16,0,0,5413.2,7.957369
0,0,0,0,0,3,0,2,16,0,0,4849.8,8.916667
0,0,0,0,0,4,0,2,16,0,0,5308.8,7.783831
0,0,0,0,0,1,0,3,16,0,0,2948.4,5.753118
0,0,0,0,0,2,0,3,16,0,0,5386,8.565185
0,0,0,0,0,3,0,3,16,0,0,4744.8,7.65096
0,0,0,0,0,4,0,3,16,0,0,5166.8,8.210296
0,0,0,0,0,1,0,4,16,0,0,2889,6.819097
0,0,0,0,0,2,0,4,16,0,0,5285,8.290714
0,0,0,0,0,3,0,4,16,0,0,4688.6,7.39841
0,0,0,0,0,4,0,4,16,0,0,5061.6,7.663212
0,0,0,0,0,1,0,1,20,0,0,3058,6.033632
0,0,0,0,0,2,0,1,20,0,0,5609.8,7.806694
0,0,0,0,0,3,0,1,20,0,0,5046.8,7.754483
0,0,0,0,0,4,0,1,20,0,0,5503.4,8.711852
0,0,0,0,0,1,0,2,20,0,0,3006.8,6.129356
0,0,0,0,0,2,0,2,20,0,0,5512.4,8.733333
0,0,0,0,0,3,0,2,20,0,0,4940.2,7.584
0,0,0,0,0,4,0,2,20,0,0,5428.2,7.833264
0,0,0,0,0,1,0,3,20,0,0,2950.8,5.768538
0,0,0,0,0,2,0,3,20,0,0,5285.4,8.185714
0,0,0,0,0,3,0,3,20,0,0,4706.2,7.182923
0,0,0,0,0,4,0,3,20,0,0,5064.4,7.922069
0,0,0,0,0,1,0,4,20,0,0,2920.4,6.855
0,0,0,0,0,2,0,4,20,0,0,5333.4,8.486428
0,0,0,0,0,3,0,4,20,0,0,4712,8.0104
0,0,0,0,0,4,0,4,20,0,0,5108.8,7.367665
0,0,0,0,0,1,0,1,32,0,0,3060.8,5.824138
0,0,0,0,0,2,0,1,32,0,0,5555.4,8.05375
0,0,0,0,0,3,0,1,32,0,0,4988.6,7.470805
0,0,0,0,0,4,0,1,32,0,0,5449,8.748148
0,0,0,0,0,1,0,2,32,0,0,2984.2,6.041931
0,0,0,0,0,2,0,2,32,0,0,5439.8,8.58164
0,0,0,0,0,3,0,2,32,0,0,4856.2,7.516581
0,0,0,0,0,4,0,2,32,0,0,5319.8,7.433939
0,0,0,0,0,1,0,3,32,0,0,2975.2,5.8
0,0,0,0,0,2,0,3,32,0,0,5399.8,8.096094
0,0,0,0,0,3,0,3,32,0,0,4781.4,7.433833
0,0,0,0,0,4,0,3,32,0,0,5162.6,7.972423
0,0,0,0,0,1,0,4,32,0,0,2870.6,5.760645
0,0,0,0,0,2,0,4,32,0,0,5318.4,7.54184
0,0,0,0,0,3,0,4,32,0,0,4699.2,7.631114
0,0,0,0,0,4,0,4,32,0,0,5075.2,7.310168
0,0,0,0,0,1,0,1,64,0,0,3055.8,5.931035
0,0,0,0,0,2,0,1,64,0,0,5578.6,8.559038
0,0,0,0,0,3,0,1,64,0,0,4980.8,7.378138
0,0,0,0,0,4,0,1,64,0,0,5426,8.623704
0,0,0,0,0,1,0,2,64,0,0,2984.4,6.022069
0,0,0,0,0,2,0,2,64,0,0,5436.4,8.472189
0,0,0,0,0,3,0,2,64,0,0,4848.2,7.463935
0,0,0,0,0,4,0,2,64,0,0,5319,7.390909
0,0,0,0,0,1,0,3,64,0,0,2965.4,5.854667
0,0,0,0,0,2,0,3,64,0,0,5420.2,8.514074
0,0,0,0,0,3,0,3,64,0,0,4795,7.134839
0,0,0,0,0,4,0,3,64,0,0,5177.8,8.361872
0,0,0,0,0,1,0,4,64,0,0,2881.8,6.272458
0,0,0,0,0,2,0,4,64,0,0,5311.2,7.951467
0,0,0,0,0,3,0,4,64,0,0,4686.6,7.716985
0,0,0,0,0,4,0,4,64,0,0,5053.4,7.604713
0,0,0,0,0,1,0,1,128,0,0,3066.8,5.94069
0,0,0,0,0,2,0,1,128,0,0,5522.4,7.792824
0,0,0,0,0,3,0,1,128,0,0,4984.4,7.456759
0,0,0,0,0,4,0,1,128,0,0,5429.2,8.56963
0,0,0,0,0,1,0,2,128,0,0,2960.8,5.919118
0,0,0,0,0,2,0,2,128,0,0,5433.8,7.983165
0,0,0,0,0,3,0,2,128,0,0,4855.6,7.524667
0,0,0,0,0,4,0,2,128,0,0,5324.4,8.07961
0,0,0,0,0,1,0,3,128,0,0,2940.4,5.686323
0,0,0,0,0,2,0,3,128,0,0,5405.6,7.418182
0,0,0,0,0,3,0,3,128,0,0,4776.2,7.933187
0,0,0,0,0,4,0,3,128,0,0,5149.2,8.148645
0,0,0,0,0,1,0,4,128,0,0,2899.6,5.987312
0,0,0,0,0,2,0,4,128,0,0,5301.4,8.232143
0,0,0,0,0,3,0,4,128,0,0,4678.2,7.27767
0,0,0,0,0,4,0,4,128,0,0,5083,7.457734
0,0,0,0,0,1,0,1,0,8,0,3013.4,6.044785
0,0,0,0,0,2,0,1,0,8,0,5241.8,8.042815
0,0,0,0,0,3,0,1,0,8,0,4774.6,7.401497
0,0,0,0,0,4,0,1,0,8,0,5269.4,8.040476
0,0,0,0,0,1,0,2,0,8,0,2999.4,6.044575
0,0,0,0,0,2,0,2,0,8,0,5201.2,7.942983
0,0,0,0,0,3,0,2,0,8,0,4704.4,7.535698
0,0,0,0,0,4,0,2,0,8,0,5225.4,8.268571
0,0,0,0,0,1,0,3,0,8,0,2939.2,6.905
0,0,0,0,0,2,0,3,0,8,0,5026.4,7.907471
0,0,0,0,0,3,0,3,0,8,0,4524.8,7.787925
