journal,nojournal,journalCompression,journalCompressionSnappy,journalCompressionZlib,journalCommitInterval,Performance-,Cpu-
0,1,0,0,0,1,213141.8,26.033276
0,1,0,0,0,1,210227.4,24.958921
0,1,0,0,0,1,208212.0,24.701132
0,1,0,0,0,1,206356.0,24.124592
0,1,0,0,0,1,212538.2,24.19921
0,1,0,0,0,1,289875.0,30.631693
0,1,0,0,0,1,282382.0,30.073811
0,1,0,0,0,1,281613.0,30.275882
0,1,0,0,0,1,280991.2,30.53404
0,1,0,0,0,1,285044.6,29.917772
0,1,0,0,0,1,210540.4,25.44205
0,1,0,0,0,1,211658.2,24.679534
0,1,0,0,0,1,210459.4,25.070289
0,1,0,0,0,1,212133.2,25.026757
0,1,0,0,0,1,212470.4,25.061845
0,1,0,0,0,1,285264.0,30.962516
0,1,0,0,0,1,281682.0,30.454914
0,1,0,0,0,1,287855.4,30.797619
0,1,0,0,0,1,284911.2,30.640518
0,1,0,0,0,1,284776.6,30.557679
0,1,0,0,0,1,210550.6,24.586929
0,1,0,0,0,1,208790.8,24.917749
0,1,0,0,0,1,213360.2,25.028118
0,1,0,0,0,1,209169.4,24.911732
0,1,0,0,0,1,209407.8,24.849742
0,1,0,0,0,1,214489.6,25.022671
0,1,0,0,0,1,214902.8,25.30422
0,1,0,0,0,1,211515.4,25.137431
0,1,0,0,0,1,210777.0,24.903115
0,1,0,0,0,1,208808.2,25.199753
0,1,0,0,0,1,283621.0,30.423311
0,1,0,0,0,1,280847.6,30.161273
0,1,0,0,0,1,280589.4,30.186136
0,1,0,0,0,1,284188.8,30.345291
0,1,0,0,0,1,283064.6,29.941261
0,1,0,0,0,1,282258.2,30.304057
0,1,0,0,0,1,284702.8,30.621609
0,1,0,0,0,1,282503.6,30.301911
0,1,0,0,0,1,287329.2,30.496312
0,1,0,0,0,1,285730.4,30.184044
0,1,0,0,0,1,209887.0,24.653946
0,1,0,0,0,1,209100.4,24.822645
0,1,0,0,0,1,208741.6,24.987536
0,1,0,0,0,1,211023.0,25.164532
0,1,0,0,0,1,207052.0,24.337605
0,1,0,0,0,1,210805.2,24.75537
0,1,0,0,0,1,215827.6,25.031688
0,1,0,0,0,1,212738.8,25.123272
0,1,0,0,0,1,216785.0,24.740116
0,1,0,0,0,1,211197.2,25.278858
0,1,0,0,0,1,281399.8,30.219659
0,1,0,0,0,1,288695.2,30.420437
0,1,0,0,0,1,286867.4,30.145163
0,1,0,0,0,1,288569.6,30.70664
0,1,0,0,0,1,287173.2,30.148974
