 ACAP, DOCU, FLEX, KLOC, PREC, SITE, TEAM, TIME, EFFORT-, MONTHS-, DEFECTS-, RISKS-
3.775,4.743,4.33,417.324,1.48,3.896,2.537,3.071,1681.861,35.764,9129.079,0.0
3.085,4.038,3.169,274.095,3.54,1.903,4.179,3.872,2677.303,39.89,16726.547,0.268
4.238,3.981,4.738,329.266,2.559,2.809,3.844,3.543,1297.981,30.71,5623.142,0.536
4.856,3.975,1.347,98.538,1.783,4.215,1.878,3.051,897.698,31.512,5485.412,1.609
3.282,3.339,3.665,168.735,4.228,2.864,2.577,3.724,915.361,29.432,6636.269,0.0
4.072,1.317,4.106,343.573,1.12,5.457,3.386,3.116,1178.746,31.885,7277.642,0.536
4.91,1.403,1.028,54.729,3.12,5.788,2.091,3.106,188.251,18.779,1078.063,0.0
3.995,2.38,1.228,79.103,2.245,4.887,1.82,3.003,658.27,28.039,3532.474,1.609
4.418,1.757,2.291,186.197,4.382,2.642,1.781,3.353,1135.938,32.403,22781.927,0.536
3.086,4.205,2.828,395.835,3.709,5.184,3.897,3.342,1406.756,32.654,4983.582,0.0
3.301,3.588,1.498,336.015,2.786,5.996,2.298,3.751,1482.875,34.732,2950.657,0.0
3.033,2.43,3.966,388.868,2.177,5.259,3.496,3.812,1377.78,33.738,14115.293,0.536
3.66,1.064,4.277,318.331,1.828,1.661,3.926,3.159,787.558,27.596,5254.113,0.536
3.573,2.831,2.766,35.051,2.404,1.72,1.228,3.911,562.813,26.106,3444.279,2.413
3.48,1.918,1.885,293.802,1.021,1.208,1.27,3.41,3278.691,46.708,22523.658,1.34
4.495,3.252,2.985,187.602,1.186,2.507,3.063,3.217,835.514,28.274,3596.656,0.536
4.003,4.999,3.298,358.684,1.19,3.222,3.986,3.039,938.161,29.465,2984.615,0.0
3.061,2.048,2.338,259.595,3.808,2.122,2.021,3.604,1665.702,35.115,29618.096,0.268
4.336,1.089,3.575,73.507,1.929,1.741,2.883,3.69,466.906,24.151,3411.516,0.536
4.805,2.733,4.115,375.218,2.156,4.764,3.699,3.935,3182.869,43.289,14618.211,0.536
4.953,3.975,2.842,405.832,3.042,3.484,4.077,3.627,2373.925,39.551,10933.058,0.0
4.03,1.606,2.155,200.193,1.969,3.199,3.901,3.916,1205.352,32.397,11087.547,0.536
4.423,3.678,2.303,397.91,1.11,5.219,3.374,3.699,1009.736,30.94,6344.411,0.536
4.464,3.26,4.701,406.126,3.443,3.239,1.212,3.499,2049.389,38.018,13161.781,0.0
4.117,3.903,3.833,58.587,2.638,5.531,1.426,3.642,239.891,19.91,1235.864,0.536
4.558,3.091,2.136,394.132,2.459,4.265,3.923,3.645,1004.553,30.815,8261.099,0.0
4.299,3.506,3.27,108.955,3.278,2.195,2.278,3.944,1013.538,30.794,12824.499,0.0
3.252,3.534,1.821,201.927,1.676,5.93,1.628,3.069,894.79,30.258,5372.434,0.0
3.328,3.278,1.805,151.243,1.593,2.478,1.318,3.223,2239.344,41.821,17177.593,0.804
3.223,3.429,1.038,273.578,1.552,5.007,2.473,3.756,2526.438,41.484,11750.555,0.268
4.134,1.788,3.539,264.659,1.552,4.038,4.283,3.924,1218.606,32.682,8663.203,0.0
3.515,1.039,3.3,106.925,2.786,3.856,3.277,3.603,511.528,24.67,9085.203,0.0
3.568,3.571,1.057,212.369,4.489,4.207,2.306,3.719,985.939,29.61,5959.911,0.268
3.804,2.536,2.697,259.944,1.222,4.917,4.421,3.77,1141.769,30.765,15833.09,0.536
4.372,1.924,2.021,120.957,3.485,5.721,1.229,3.147,187.578,18.507,1980.962,0.0
3.826,4.74,1.349,96.668,2.355,5.307,2.434,3.661,418.416,23.751,843.568,0.0
3.898,4.376,2.192,60.883,1.208,3.04,2.667,3.132,636.777,27.04,1907.196,0.268
4.334,3.476,1.607,335.749,3.177,3.378,4.957,3.384,1116.138,30.892,4888.482,0.536
4.392,2.746,1.187,348.324,3.404,2.616,4.133,3.955,1718.348,34.73,9896.202,0.0
3.023,4.929,3.584,342.907,1.319,2.851,3.037,3.365,3104.548,43.434,10290.244,0.0
3.51,2.098,2.028,79.83,3.099,4.362,3.107,3.516,562.83,25.559,3225.752,0.0
4.163,4.022,3.394,353.771,4.981,4.625,3.657,3.187,1395.643,32.063,6094.361,0.0
4.582,2.373,2.819,362.694,3.846,4.301,2.579,3.361,1350.051,33.27,6048.7,0.268
4.667,4.524,2.812,27.69,4.864,5.767,1.188,3.886,203.494,18.633,961.975,0.536
3.789,4.123,2.805,250.131,4.631,5.054,4.086,3.085,609.366,25.105,506.246,0.0
4.776,2.35,2.787,307.984,2.325,5.697,3.622,3.016,1942.227,36.034,9661.726,0.268
4.373,4.379,3.68,159.825,2.991,2.409,2.323,3.506,610.12,26.126,1417.538,0.0
3.685,2.017,4.923,47.956,4.33,4.766,2.763,3.818,233.834,18.591,979.603,0.0
3.925,3.498,4.376,56.629,2.422,1.376,3.026,3.033,339.718,21.598,1732.578,0.0
3.307,1.48,2.88,392.411,3.447,3.22,2.216,3.08,1272.737,32.777,11685.788,0.0
3.6,3.519,3.491,333.31,4.386,2.044,2.752,3.769,2905.191,40.392,36170.672,0.268
4.615,3.601,3.069,26.238,1.073,4.853,1.833,3.752,219.638,19.369,1454.305,0.536
4.808,4.681,2.737,234.843,4.375,3.588,4.269,3.049,943.908,28.134,2504.978,0.0
4.892,3.833,3.865,165.662,1.713,4.582,3.879,3.702,1225.017,32.535,12509.022,0.268
4.424,4.751,1.898,264.576,3.975,5.931,3.793,3.79,954.075,29.094,3011.01,0.0
4.888,1.59,1.489,269.185,4.305,3.505,2.981,3.382,807.672,27.671,2930.641,0.0
3.342,3.675,1.29,111.714,1.409,3.484,4.728,3.463,531.07,24.894,1350.769,0.0
4.068,3.834,1.593,243.622,4.956,3.377,4.313,3.731,956.407,28.987,3119.162,0.536
4.457,3.914,1.308,277.278,4.971,4.298,3.763,3.977,1008.36,30.571,3612.292,0.0
3.24,4.944,3.904,339.587,1.47,3.182,4.733,3.328,2331.25,38.903,5526.734,0.268
4.004,3.036,1.829,161.503,4.624,5.005,2.19,3.321,1031.224,31.827,3734.941,0.0
4.367,3.948,4.123,88.002,4.053,1.728,4.472,3.308,785.463,26.544,5745.755,0.268
4.894,1.989,3.155,325.288,1.897,5.786,4.506,3.454,692.709,26.345,2984.404,0.0
3.204,4.521,4.101,27.222,3.928,3.804,3.812,3.541,190.648,17.741,795.706,0.0
3.026,3.096,2.304,25.606,3.861,5.004,1.777,3.399,140.576,16.341,438.335,0.268
3.567,1.381,3.77,201.592,1.287,5.689,3.196,3.832,724.589,27.192,3868.961,0.536
4.196,2.313,1.612,184.385,2.311,5.676,4.629,3.224,469.886,23.374,4127.612,0.268
3.205,2.432,2.982,147.081,1.945,4.668,1.722,3.098,731.666,28.893,7305.849,0.804
4.231,2.49,2.591,159.738,4.804,1.445,1.683,3.435,659.672,26.312,3746.357,0.536
3.01,1.572,4.245,113.772,3.17,4.429,2.945,3.936,269.338,19.775,3100.363,0.0
3.998,1.052,3.038,174.056,3.643,5.148,2.289,3.053,734.917,27.711,5384.352,0.0
3.127,2.32,2.525,197.298,2.735,5.316,1.087,3.226,1188.346,32.341,3840.164,0.0
4.343,1.407,3.526,188.342,4.921,4.121,4.658,3.718,351.328,21.237,4586.178,0.0
3.112,2.633,3.734,266.236,3.352,4.876,2.328,3.406,896.911,28.515,4763.472,0.0
3.336,1.188,2.517,112.837,4.945,4.358,4.521,3.845,494.687,23.594,3100.708,0.0
4.123,1.457,2.13,234.722,2.864,3.211,3.34,3.867,521.479,24.678,6320.792,0.0
4.464,2.847,1.87,362.541,1.592,5.555,1.387,3.006,666.249,28.056,7342.005,0.0
3.821,3.629,4.0,299.361,3.521,5.817,4.774,3.96,749.841,25.816,2453.678,0.0
3.737,4.17,4.971,249.975,3.626,1.256,2.027,3.951,1983.346,36.391,13972.916,0.268
4.735,3.839,1.731,347.07,1.989,3.59,1.701,3.21,1291.503,33.673,9128.196,1.609
3.065,3.034,2.79,39.197,3.605,1.67,4.791,3.466,277.68,19.839,1853.517,0.536
4.467,4.014,1.454,57.417,3.156,3.253,4.693,3.911,816.017,28.18,3732.197,0.536
4.472,2.513,3.642,416.918,3.741,3.787,3.577,3.128,1267.303,31.468,6320.556,0.536
3.892,3.961,2.955,383.193,1.486,2.167,2.366,3.25,6279.04,54.828,20725.611,1.072
3.888,2.126,3.284,18.567,2.696,5.877,3.424,3.474,94.947,14.755,462.349,0.268
4.169,1.427,3.351,220.257,3.146,4.174,2.083,3.669,796.746,27.771,7121.771,0.0
3.488,2.279,4.705,151.173,1.489,1.645,2.944,3.454,1199.377,31.972,11046.446,0.268
4.088,4.677,1.162,206.955,4.01,2.905,3.602,3.491,1464.803,33.587,5090.792,0.0
4.98,1.087,1.271,64.408,1.252,1.097,1.01,3.374,349.145,23.599,3390.997,1.072
3.469,4.916,4.821,239.91,1.8,2.913,2.723,3.559,1426.351,32.974,5283.545,1.072
4.735,1.392,2.308,173.343,2.989,4.027,3.287,3.809,434.66,23.393,3291.575,0.536
3.945,3.364,2.779,20.616,3.763,4.936,1.571,3.566,124.429,16.035,657.89,0.536
3.024,4.634,2.961,196.597,1.084,5.531,2.687,3.188,859.573,29.725,4609.107,0.0
3.412,4.159,2.978,154.95,1.926,2.317,2.742,3.147,2092.882,39.326,7665.709,0.0
3.702,4.376,3.789,188.4,1.095,4.568,4.201,3.736,778.45,27.429,3332.161,0.0
3.875,3.952,4.96,305.816,1.341,1.13,4.536,3.548,1885.856,35.436,10849.304,0.0
3.835,3.279,3.508,327.65,2.514,2.732,4.922,3.447,1761.263,34.743,7093.064,0.0
4.445,3.61,3.83,65.882,2.573,1.047,1.114,3.593,560.979,25.656,3544.593,2.145
4.227,1.165,4.142,371.115,3.487,2.071,1.958,3.313,2016.3,37.427,9201.362,0.536
3.803,3.939,3.495,119.742,3.959,3.496,2.768,3.489,443.327,23.312,1887.72,0.0
3.756,4.895,3.765,52.063,4.133,3.194,4.095,3.936,683.52,25.976,4113.031,0.0
3.017,2.036,1.592,11.004,3.951,5.963,3.262,3.364,37.053,11.082,111.761,0.804
3.313,3.426,3.738,258.918,4.33,5.473,2.601,3.9,1139.738,30.873,9939.562,0.0
4.53,2.554,2.726,275.473,1.059,4.651,2.669,3.315,838.272,29.686,3446.769,0.0
3.361,3.37,1.869,102.067,4.861,4.191,2.521,3.606,570.02,25.338,1869.866,0.0
4.234,3.874,2.71,18.437,2.712,1.192,2.922,3.376,269.891,20.246,580.461,0.536
3.113,1.477,1.908,226.92,2.858,3.921,4.342,3.737,618.255,25.77,9460.831,0.0
3.812,4.537,3.724,264.632,1.598,1.333,2.601,3.759,2110.03,37.089,8330.898,0.268
4.558,3.015,3.449,118.195,4.536,2.931,3.678,3.302,741.824,27.95,4847.765,0.0
3.193,3.901,4.218,386.665,4.945,2.839,3.69,3.944,2733.637,38.377,19412.269,0.0
4.93,4.11,4.123,204.869,4.934,2.022,4.814,3.56,2000.436,35.937,5318.302,0.536
3.955,2.53,1.641,17.115,4.855,4.063,3.692,3.198,116.473,15.444,330.575,0.536
4.314,4.707,2.75,152.553,3.263,1.903,4.735,3.887,817.409,27.742,7048.619,0.0
4.062,4.188,2.337,259.549,2.536,1.535,4.682,3.553,1795.812,36.598,9083.613,0.268
4.182,1.227,3.378,410.742,2.306,4.103,2.516,3.514,1507.808,34.088,17763.277,0.0
3.89,2.247,4.312,353.171,4.099,5.624,4.41,3.027,1155.035,30.424,4150.386,0.0
3.556,2.593,3.035,15.931,2.412,1.154,1.565,3.155,149.249,17.203,840.79,2.145
3.479,4.062,3.459,344.193,2.295,2.234,2.851,3.819,1846.909,35.682,9381.068,0.268
3.514,3.822,2.562,175.442,2.363,2.088,1.29,3.817,1235.094,33.219,6077.856,0.268
3.341,2.388,2.937,168.574,2.264,3.385,3.926,3.291,1132.623,30.771,5126.465,0.268
3.821,1.231,2.544,283.299,1.358,4.666,3.042,3.634,1567.32,35.348,32363.159,0.536
4.251,2.028,4.934,248.018,1.433,3.691,1.675,3.596,741.422,28.089,8521.272,0.0
3.735,1.476,4.002,235.379,1.037,1.843,1.045,3.508,2048.823,37.479,41229.05,1.34
3.015,3.577,4.395,153.769,2.784,2.34,3.468,3.606,1415.335,33.419,8029.437,0.536
4.195,3.884,1.479,115.789,4.274,2.605,1.686,3.299,606.217,26.673,4543.593,0.804
4.726,1.889,1.989,293.792,2.017,3.13,4.615,3.254,1100.138,31.228,8256.615,0.0
4.188,4.519,4.526,74.202,1.505,1.127,3.264,3.764,629.539,25.575,2349.56,0.268
4.188,3.453,3.578,258.47,2.986,1.252,3.458,3.893,1439.9,33.241,10502.128,0.0
3.556,1.986,4.278,243.525,4.598,2.039,4.824,3.014,982.825,28.068,5272.748,0.0
3.638,3.846,3.576,342.166,3.502,4.397,3.068,3.995,1857.475,36.384,14163.415,0.0
3.026,2.233,4.316,103.148,3.133,1.216,4.649,3.512,767.103,27.288,2101.054,0.0
4.801,1.537,3.414,71.165,2.352,5.65,4.601,3.319,245.364,19.173,1895.249,0.0
3.837,4.36,1.095,55.205,3.681,5.072,1.432,3.672,432.375,24.603,893.085,0.268
4.534,2.726,4.171,388.247,2.425,3.441,4.034,3.164,2008.2,36.796,31384.592,0.0
3.92,3.498,4.666,25.918,3.561,2.523,3.454,3.734,241.878,19.103,2547.55,0.0
4.082,2.07,4.844,323.04,4.765,1.551,3.405,3.001,1903.29,35.168,15973.692,0.536
3.04,2.257,3.349,353.979,1.651,3.841,2.487,3.801,1678.154,37.514,10123.806,0.0
3.823,4.25,2.1,91.451,1.85,3.028,4.238,3.16,680.534,26.905,3869.578,0.536
4.772,3.044,3.907,216.388,4.069,1.845,3.454,3.509,2129.545,37.254,27587.707,0.536
4.095,1.222,1.373,162.3,4.9,3.224,3.758,3.299,557.114,25.499,4682.559,0.0
4.373,1.436,4.687,246.928,2.361,5.047,4.614,3.58,696.43,25.739,2210.389,0.0
3.267,3.09,1.766,241.371,1.566,5.235,2.212,3.529,947.731,30.181,8099.244,1.072
3.655,1.302,3.611,174.389,4.419,2.375,4.028,3.209,736.347,26.197,4731.488,0.804
3.187,4.272,4.675,125.464,2.121,5.035,1.17,3.556,486.829,24.624,1843.257,0.268
3.406,1.974,1.941,388.607,2.215,2.821,3.828,3.447,2388.296,40.473,18500.246,0.0
4.625,3.261,4.591,157.466,3.94,1.678,1.635,3.46,628.402,25.919,6426.519,0.536
4.091,2.621,2.35,336.513,2.047,3.605,3.969,3.754,1462.325,33.848,10802.7,0.0
4.185,2.688,3.404,407.082,3.109,2.76,2.195,3.607,2822.713,41.802,56528.376,1.34
4.213,1.51,2.905,160.669,2.172,2.899,2.834,3.796,1221.529,33.426,6993.929,0.0
4.197,2.824,4.576,306.964,3.124,3.726,4.981,3.061,1267.907,31.497,7834.672,0.0
4.7,2.042,1.076,379.099,2.365,4.228,3.308,3.339,2173.366,40.479,15775.532,0.0
4.672,1.775,3.456,103.523,3.754,1.189,1.666,3.894,728.61,27.803,7037.42,2.145
3.331,2.495,4.98,315.588,1.441,4.928,1.048,3.445,1207.739,32.858,7036.956,0.0
4.396,4.303,2.117,184.504,4.845,1.932,1.717,3.885,1138.717,32.394,8587.285,0.536
4.316,3.106,2.275,325.765,3.483,1.644,4.086,3.875,2023.726,38.229,9271.139,0.0
3.293,1.621,1.067,181.331,2.975,1.956,2.463,3.115,2517.362,42.16,61559.843,0.536
4.774,2.513,2.031,183.007,3.19,4.203,4.193,3.686,796.166,28.265,6140.664,0.268
3.269,3.921,3.951,226.153,4.671,5.053,3.337,3.224,1478.62,33.574,5127.653,0.536
3.696,3.703,4.985,322.224,3.331,2.152,3.856,3.844,1177.987,31.384,8515.92,0.536
4.145,3.387,1.975,145.946,3.191,3.78,4.624,3.037,792.764,27.389,4790.113,0.536
3.235,1.512,4.197,242.766,4.146,2.55,3.578,3.957,1309.899,30.818,11217.503,0.268
4.907,4.945,3.576,408.252,3.384,4.237,4.051,3.609,1921.097,35.544,8705.946,0.536
3.731,1.14,2.198,414.312,2.272,4.155,3.26,3.56,1306.741,32.578,22140.654,0.0
3.401,1.405,3.452,190.777,4.785,1.343,1.915,3.255,854.095,27.829,4287.289,0.536
3.578,1.036,2.215,135.003,3.689,4.78,2.497,3.709,442.905,23.331,5808.696,0.0
4.688,2.851,4.711,153.674,3.079,4.016,2.223,3.015,739.733,26.726,2421.968,0.0
3.566,3.326,3.405,46.899,1.672,4.984,3.667,3.836,315.269,21.18,1114.9,0.0
4.756,2.132,1.31,69.871,4.615,5.703,4.823,3.977,119.773,15.615,275.348,0.0
3.346,1.082,3.848,216.133,4.748,3.755,4.474,3.184,857.607,27.44,10588.012,0.0
