 AA, CPLX, DOCU, FLEX, KLOC, PR, RUSE, EFFORT-, MONTHS-, DEFECTS-, RISKS-
2.705,1.004,1.135,1.232,251.03,1.579,5.948,467.071,24.267,6117.286,1.072
3.994,1.219,4.565,3.552,131.171,4.279,2.48,455.413,23.317,870.086,0.268
5.111,1.2,1.437,3.472,227.035,3.977,2.098,494.525,23.882,2499.249,1.072
1.311,1.281,3.341,4.649,177.6,1.539,5.773,442.166,23.527,4811.162,1.072
5.349,3.464,2.362,4.604,154.629,1.105,2.643,197.817,17.843,1334.983,0.804
4.852,3.494,4.824,1.186,167.557,2.255,2.859,1411.17,33.875,1998.647,0.268
3.694,3.464,3.442,1.748,300.251,4.048,5.364,1615.273,34.897,5685.778,0.268
3.912,3.057,3.434,4.115,204.959,3.689,2.921,439.31,24.049,2253.437,1.609
4.794,2.406,4.749,2.132,26.225,5.854,5.859,120.185,15.54,166.303,1.072
3.366,3.889,3.984,1.26,67.28,3.406,5.897,425.427,23.135,1726.273,1.072
4.544,1.004,1.673,4.979,345.597,5.077,4.434,325.465,20.747,957.187,0.536
4.1,2.946,1.011,4.683,390.52,2.965,3.087,285.626,20.315,5273.339,1.877
1.318,2.084,4.801,2.846,108.219,3.497,5.341,291.553,20.794,1394.53,1.34
1.209,3.123,2.863,2.747,311.196,4.206,4.15,766.784,28.326,8635.122,2.145
2.207,1.936,2.493,1.413,37.26,5.259,3.689,213.061,19.818,705.014,1.072
3.93,1.344,3.227,4.266,194.742,3.68,2.735,425.975,23.456,3544.835,2.145
1.381,3.59,4.499,2.51,342.059,3.264,5.172,716.489,27.843,5225.48,2.145
5.683,3.513,3.83,1.864,228.625,4.737,3.462,796.776,27.842,1089.161,0.536
3.759,1.296,1.143,3.541,349.974,3.087,2.053,825.066,28.631,7735.677,0.0
5.908,3.408,3.305,1.638,39.159,4.405,5.377,328.367,21.098,374.294,0.0
5.524,3.912,1.4,3.392,65.745,4.673,4.096,342.82,21.854,1905.646,0.0
4.425,1.902,2.659,2.703,337.686,3.096,2.521,2149.832,38.723,12656.708,0.536
4.628,2.929,4.802,3.377,272.272,5.966,3.853,2070.442,38.02,2371.469,1.34
4.317,1.442,4.972,3.209,264.624,5.818,4.877,959.053,30.815,5615.837,2.413
5.662,2.805,3.11,2.864,72.345,1.499,3.013,305.049,20.69,663.97,0.0
3.082,2.603,2.56,3.585,180.052,5.216,5.344,1355.478,32.149,4117.499,0.268
2.005,2.103,4.416,4.24,323.283,1.987,4.736,1071.998,31.142,15766.997,0.268
2.583,1.868,3.876,3.316,129.576,2.212,3.861,464.408,23.445,2498.703,0.268
5.09,2.749,2.759,2.474,275.402,5.969,4.206,1711.087,35.646,5903.618,1.877
2.821,1.365,4.545,4.472,78.655,5.758,5.035,291.794,19.48,156.297,1.072
5.601,1.274,3.147,1.258,33.626,1.81,3.952,178.221,17.847,654.742,1.34
2.738,3.184,1.47,3.452,325.543,4.544,4.122,898.212,28.184,12553.846,1.877
4.328,3.992,1.166,3.782,341.8,5.18,4.89,913.291,30.419,6989.084,1.072
1.009,2.276,4.676,3.938,145.337,2.237,4.51,919.869,30.141,7362.584,0.268
1.563,3.82,2.908,4.696,226.376,5.907,2.46,434.031,22.079,841.174,0.536
4.198,3.608,3.139,3.973,172.818,3.516,2.849,597.789,25.211,2743.095,2.413
4.586,2.104,2.202,2.265,183.666,2.322,2.781,845.801,28.973,3018.193,0.536
1.45,3.104,4.841,2.927,147.712,5.641,3.402,564.955,25.388,3308.727,1.072
3.288,3.939,3.116,2.815,359.383,4.917,4.77,1797.876,36.55,8423.088,1.34
3.449,2.027,3.995,1.561,106.796,1.657,5.267,409.306,23.2,1340.247,0.536
4.338,3.307,4.885,1.646,23.162,3.11,5.96,252.631,19.797,354.816,1.072
1.462,1.708,2.962,1.955,324.588,3.017,3.897,1705.904,35.211,13520.854,1.072
1.372,2.651,4.753,4.021,142.199,3.585,3.633,600.291,24.711,2887.079,0.804
3.682,1.713,1.419,2.604,45.964,1.253,4.956,158.578,17.61,3982.042,0.0
3.48,3.403,3.19,1.855,310.296,1.416,4.042,2093.186,39.108,15678.773,0.268
1.72,2.463,2.017,4.84,108.251,2.797,3.137,338.15,21.3,3186.627,1.072
1.616,1.265,2.463,1.642,342.922,4.2,3.023,606.527,26.606,7840.424,3.217
