DATA, ACAP, KLOC, LTEX, PVOL, SITE, TEAM, TIME, EFFORT-, MONTHS-, DEFECTS-, RISKS-
2.764,3.496,105.162,1.055,2.575,1.962,1.84,3.869,419.92,23.236,5465.171,1.072
3.606,3.873,108.768,1.616,2.713,3.114,4.978,3.204,398.979,23.359,1760.318,1.072
3.71,3.603,384.11,3.149,3.46,4.013,1.22,3.535,2024.817,37.587,9076.084,0.536
2.36,4.839,307.864,2.922,2.834,5.387,1.433,3.995,620.247,26.164,3148.679,1.609
4.582,3.77,238.639,3.147,4.67,3.17,1.263,3.157,969.724,30.586,2605.224,0.0
3.65,4.657,83.166,1.049,4.605,2.29,2.432,3.128,732.676,27.865,7683.769,2.413
3.932,3.39,338.457,1.653,3.432,2.069,2.093,3.238,1275.728,33.323,11902.666,0.268
2.169,3.454,256.299,1.886,3.578,4.034,4.621,3.327,820.455,28.982,4527.902,0.268
3.755,3.186,116.448,2.435,3.894,5.601,1.506,3.296,390.675,23.008,992.243,0.0
4.718,4.464,243.561,1.052,3.954,2.777,4.454,3.687,938.42,30.004,5681.274,0.268
4.628,3.969,116.288,1.145,2.834,1.773,4.218,3.312,649.054,25.052,3617.948,0.268
3.728,3.656,83.298,2.171,4.844,4.026,1.768,3.371,288.912,20.458,1702.494,0.536
3.578,4.283,100.803,2.79,3.311,1.243,3.018,3.713,551.123,25.394,3311.07,1.072
3.064,3.461,19.913,2.337,3.101,2.629,1.311,3.998,93.212,14.609,1056.393,1.34
3.602,4.949,155.971,2.587,2.524,1.161,1.147,3.482,865.306,29.436,9854.235,2.681
2.051,3.387,23.893,1.475,3.185,1.276,2.504,3.795,191.008,18.33,493.882,0.536
3.125,4.611,62.761,2.843,4.049,1.946,2.271,3.945,393.82,22.78,2286.238,1.877
4.128,4.007,298.166,3.14,4.078,2.245,1.154,3.898,1451.768,34.521,22922.346,2.949
2.798,4.576,143.077,2.64,4.713,2.72,2.504,3.459,613.378,25.087,3148.708,0.536
3.992,4.325,300.397,3.905,3.852,4.372,4.378,3.996,892.796,28.267,2825.454,0.0
2.409,3.245,45.612,1.339,4.651,3.063,4.047,3.575,176.61,17.47,2939.11,1.34
4.251,3.483,158.649,2.657,3.946,2.705,4.014,3.705,475.31,23.027,12229.439,2.145
3.183,3.095,319.637,1.729,2.791,2.102,4.824,3.481,2593.926,40.306,9798.358,0.268
2.533,3.809,256.678,3.231,4.418,1.283,1.514,3.205,1796.676,38.081,25045.604,1.609
2.702,4.622,129.568,2.467,3.553,5.721,4.978,3.797,97.508,14.003,618.058,2.145
4.746,4.622,289.456,3.029,2.345,5.26,2.31,3.437,668.756,26.355,1958.089,2.145
3.608,3.207,244.173,3.957,3.447,5.236,4.538,3.275,544.5,24.031,4231.728,0.0
3.722,3.682,207.908,3.22,3.616,1.482,1.868,3.501,1385.447,34.672,6999.043,1.609
3.56,4.069,128.173,2.192,4.386,5.996,2.783,3.251,350.383,21.949,1613.783,0.0
2.761,4.732,221.781,1.962,2.731,1.795,4.092,3.268,786.151,27.521,10899.032,2.145
4.495,3.437,336.795,2.808,2.238,3.693,3.184,3.451,1173.028,32.342,4219.3,0.0
2.493,4.005,89.891,1.738,4.572,2.342,3.072,3.369,326.747,21.356,4716.406,1.072
2.6,4.996,205.187,2.551,3.877,4.558,1.144,3.929,712.793,27.762,11132.867,2.681
4.102,3.634,139.549,3.171,3.053,4.904,4.369,3.493,224.832,18.807,1394.578,1.609
4.907,3.279,132.623,1.771,4.484,3.151,4.46,3.601,592.928,24.578,4400.168,1.072
2.535,4.79,121.11,3.231,2.614,4.156,1.417,3.563,260.769,20.542,1385.065,0.0
2.536,4.0,370.842,2.873,2.045,2.985,2.101,3.097,1023.407,29.505,5687.427,1.072
3.175,4.019,177.168,1.909,2.196,1.163,3.611,3.123,597.965,25.602,6576.786,1.072
3.603,3.779,284.672,3.193,4.984,2.863,3.089,3.989,1257.877,32.644,21036.781,1.072
3.755,3.637,160.716,3.469,4.775,5.801,3.557,3.225,824.712,28.331,6289.789,1.609
4.646,3.411,312.127,1.237,3.374,4.554,3.784,3.616,692.706,26.53,6230.92,0.0
3.083,4.592,170.662,1.213,2.293,1.558,3.154,3.901,1103.644,30.553,5666.604,1.34
3.957,3.069,151.128,2.874,3.201,1.38,2.919,3.318,668.659,27.278,6568.701,0.804
4.262,4.245,327.427,2.693,3.683,3.912,1.619,3.171,844.261,28.238,19754.189,2.681
4.307,4.748,15.81,1.529,3.891,1.265,1.206,3.93,152.816,17.443,601.749,0.804
4.386,4.243,188.994,2.047,2.522,1.685,2.14,3.008,789.66,27.48,8827.187,1.34
4.489,3.597,89.479,2.088,4.476,4.513,4.006,3.755,401.881,22.39,2560.056,1.609
3.076,4.293,194.712,1.886,2.238,5.873,4.117,3.667,653.803,25.489,3063.751,0.0
2.92,3.195,103.767,2.406,4.389,2.27,1.124,3.742,381.331,22.926,3130.692,1.877
3.925,3.139,54.197,1.967,3.19,5.636,3.916,3.357,154.285,17.675,1199.117,1.609
2.056,3.761,14.61,3.907,3.196,2.767,3.823,3.911,30.146,10.3,113.245,1.072
3.16,4.056,138.851,2.572,4.571,2.683,3.651,3.507,504.338,24.379,3358.69,1.072
3.557,3.736,364.339,1.428,2.062,1.99,4.806,3.87,2355.696,40.243,11204.307,0.536
4.603,4.375,265.49,1.854,2.16,3.229,4.466,3.863,535.935,24.758,2690.609,2.145
2.74,4.33,104.192,1.65,4.58,2.547,4.746,3.914,397.171,21.543,1826.036,2.145
4.95,3.218,377.803,2.416,3.348,4.062,2.841,3.701,817.597,29.302,6994.857,0.0
3.984,3.902,386.722,2.24,3.238,3.533,2.755,3.637,1233.209,31.237,3888.82,0.0
4.536,4.677,154.774,3.484,2.599,5.222,4.29,3.13,122.948,15.224,786.605,3.217
3.135,4.583,325.389,3.707,3.064,5.346,4.749,3.965,515.235,23.786,1549.388,0.0
3.617,3.838,347.697,2.134,4.906,1.521,4.817,3.726,1293.345,33.571,11636.062,2.145
2.227,4.668,305.287,2.515,3.21,4.252,1.435,3.101,847.719,29.687,12638.762,2.145
4.725,4.078,273.593,2.117,3.309,1.883,1.992,3.613,1246.0,32.001,17598.891,1.609
2.277,4.18,49.145,3.803,3.855,2.36,1.166,3.087,153.003,17.161,610.857,0.268
4.579,4.152,88.656,2.34,4.883,3.203,4.217,3.893,337.101,21.424,1231.124,1.072
3.958,3.931,324.538,1.768,4.659,2.603,3.8,3.711,1790.094,35.093,10584.984,0.268
2.182,3.336,223.95,2.63,3.254,2.235,1.132,3.179,570.619,26.628,4844.726,0.804
4.069,4.755,370.152,3.704,3.155,3.637,1.896,3.277,1009.694,30.256,6810.465,2.681
3.321,4.442,268.543,2.603,4.266,4.562,4.336,3.646,1413.925,32.944,5209.498,0.536
2.521,4.61,298.487,3.598,4.514,2.853,2.482,3.231,374.052,21.936,5832.426,3.217
3.954,4.76,97.402,3.229,3.671,5.465,4.907,3.323,263.071,19.749,882.389,1.072
3.937,3.107,122.902,2.6,4.457,2.58,1.865,3.848,803.323,29.168,6942.997,1.877
4.704,3.796,292.197,1.506,2.673,3.388,2.469,3.552,1233.964,33.087,11883.947,2.145
4.234,4.84,295.841,2.287,4.461,2.228,4.134,3.208,1342.964,33.312,7055.508,0.0
4.882,3.373,22.023,3.603,3.651,2.825,4.342,3.341,118.714,15.452,301.607,0.0
3.601,3.762,126.61,3.839,2.168,3.148,3.806,3.608,488.401,24.328,1773.906,0.0
4.165,3.35,270.465,1.414,3.34,5.644,2.094,3.456,1012.951,31.334,5038.198,0.268
4.562,4.75,100.947,2.311,2.095,4.649,1.976,3.037,422.699,23.196,2571.877,0.536
2.252,3.686,110.845,1.837,4.272,3.062,4.61,3.342,360.165,21.331,1570.188,0.536
4.254,4.403,189.856,1.352,3.17,3.942,1.35,3.335,1007.146,31.976,3196.09,0.0
