N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,PRED40+,MRE-,ACC+
40,squared_error,3,2.75,10,0.0,75.4,2.19
190,squared_error,18,4.25,6,25.0,73.68,7.55
130,squared_error,1,0.75,15,37.5,75.4,11.58
170,squared_error,17,4.25,13,25.0,72.57,7.89
180,absolute_error,17,6.75,14,37.5,100.0,0.0
200,squared_error,19,4.25,1,0.0,75.7,6.93
130,squared_error,3,2.5,17,0.0,76.69,6.43
30,poisson,6,9.25,10,25.0,69.08,8.99
190,absolute_error,8,8.25,2,37.5,100.0,0.0
90,squared_error,8,5.5,4,25.0,74.66,7.25
80,squared_error,13,6.0,17,25.0,72.42,7.94
10,poisson,1,5.5,9,25.0,74.78,7.21
190,squared_error,9,3.5,5,25.0,72.65,7.87
40,squared_error,1,0.25,19,12.5,78.84,2.55
120,poisson,5,6.5,10,25.0,72.99,7.76
150,poisson,2,6.25,9,25.0,71.15,8.33
180,poisson,19,0.5,6,25.0,74.57,7.27
190,squared_error,10,3.75,2,0.0,76.78,6.6
160,squared_error,1,4.5,8,0.0,75.77,8.91
180,poisson,10,1.25,10,25.0,74.22,7.38
40,absolute_error,5,9.5,16,37.5,100.0,0.0
190,poisson,1,2.75,14,0.0,75.9,6.87
200,squared_error,9,5.0,5,25.0,74.21,7.39
140,poisson,5,6.0,3,25.0,72.67,7.86
60,squared_error,20,6.0,3,25.0,72.15,8.02
100,poisson,6,3.5,2,25.0,74.52,7.29
110,absolute_error,12,3.5,11,37.5,100.0,0.0
60,squared_error,17,1.5,18,25.0,73.65,7.56
120,absolute_error,2,2.5,11,37.5,100.0,0.0
170,absolute_error,13,8.0,18,0.0,99.75,0.07
30,squared_error,11,6.75,1,25.0,73.9,7.48
10,squared_error,1,6.75,5,25.0,70.39,8.57
150,squared_error,12,1.5,1,25.0,72.95,7.77
20,squared_error,16,2.25,3,25.0,72.48,7.92
50,squared_error,4,4.5,7,0.0,76.75,6.61
150,squared_error,14,5.5,18,25.0,73.01,7.75
120,squared_error,1,4.75,3,25.0,74.9,7.83
140,absolute_error,8,6.25,14,0.0,99.7,0.08
80,squared_error,16,9.25,20,25.0,72.94,7.78
160,absolute_error,1,7.0,9,0.0,99.74,0.07
