N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,PRED40+,MRE-,ACC+
40,squared_error,3,2.75,10,0.0,121.5,-13.07
190,squared_error,18,4.25,6,0.0,119.61,-12.35
130,squared_error,1,0.75,15,0.0,118.51,-11.9
170,squared_error,17,4.25,13,0.0,120.71,-12.77
180,absolute_error,17,6.75,14,0.0,100.56,-0.55
200,squared_error,19,4.25,1,0.0,119.4,-12.26
130,squared_error,3,2.5,17,0.0,118.41,-11.86
30,poisson,6,9.25,10,0.0,121.56,-13.09
190,absolute_error,8,8.25,2,0.0,100.53,-0.52
90,squared_error,8,5.5,4,0.0,120.37,-12.64
80,squared_error,13,6.0,17,0.0,119.5,-12.3
10,poisson,1,5.5,9,0.0,118.67,-11.97
190,squared_error,9,3.5,5,0.0,118.91,-12.07
40,squared_error,1,0.25,19,0.0,119.5,-12.3
120,poisson,5,6.5,10,0.0,120.67,-12.76
150,poisson,2,6.25,9,0.0,119.51,-12.31
180,poisson,19,0.5,6,0.0,119.22,-12.19
190,squared_error,10,3.75,2,0.0,119.89,-12.46
160,squared_error,1,4.5,8,0.0,119.58,-12.34
180,poisson,10,1.25,10,0.0,119.52,-12.31
40,absolute_error,5,9.5,16,83.33333333,0.0,0.0
190,poisson,1,2.75,14,0.0,118.56,-11.92
200,squared_error,9,5.0,5,0.0,119.9,-12.46
140,poisson,5,6.0,3,0.0,120.62,-12.74
60,squared_error,20,6.0,3,0.0,121.22,-12.97
100,poisson,6,3.5,2,0.0,117.27,-11.37
110,absolute_error,12,3.5,11,83.33333333,0.0,0.0
60,squared_error,17,1.5,18,0.0,119.0,-12.1
120,absolute_error,2,2.5,11,0.0,101.67,-1.59
170,absolute_error,13,8.0,18,0.0,100.59,-0.58
30,squared_error,11,6.75,1,0.0,117.33,-11.4
10,squared_error,1,6.75,5,0.0,115.33,-10.5
150,squared_error,12,1.5,1,0.0,120.44,-12.67
20,squared_error,16,2.25,3,0.0,119.33,-12.24
50,squared_error,4,4.5,7,0.0,120.0,-12.5
150,squared_error,14,5.5,18,0.0,120.8,-12.81
120,squared_error,1,4.75,3,0.0,119.17,-12.17
