DATA, AA, ACAP, AEXP, B, DOCU, ETAT, KLOC, PCAP, PCON, PMAT, PR, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, CPLX, FLEX, LTEX, PLEX, EFFORT-, MONTHS-, DEFECTS-, RISKS-
2.764,1.165,3.496,3.769,7.037,4.057,2.267,105.162,4.973,3.72,2.732,1.166,4.755,2.575,2.724,2.957,2.094,3.0,1.962,3.964,1.84,3.869,2.0,2.341,1.332,1.055,3.159,419.92,23.236,5465.171,1.072
3.606,5.165,3.873,4.245,9.37,4.018,1.529,108.768,4.318,1.185,2.663,4.572,1.534,2.713,2.754,1.658,3.755,3.0,3.114,3.346,4.978,3.204,2.0,1.928,1.524,1.616,3.557,398.979,23.359,1760.318,1.072
3.71,2.688,3.603,2.294,7.24,4.975,2.889,384.11,3.759,2.013,2.622,4.36,4.29,3.46,3.932,4.476,5.631,3.0,4.013,3.304,1.22,3.535,2.0,2.521,2.556,3.149,2.494,2024.817,37.587,9076.084,0.536
2.36,5.458,4.839,4.596,8.222,4.952,3.028,307.864,3.938,1.868,2.132,5.134,3.077,2.834,1.371,3.54,4.146,3.0,5.387,3.348,1.433,3.995,2.0,3.088,3.243,2.922,1.612,620.247,26.164,3148.679,1.609
4.582,5.029,3.77,4.707,7.114,3.757,5.097,238.639,4.356,4.137,2.002,5.847,1.259,4.67,3.688,3.859,2.029,3.0,3.17,3.821,1.263,3.157,2.0,2.555,2.894,3.147,1.855,969.724,30.586,2605.224,0.0
3.65,1.57,4.657,3.385,4.649,4.773,1.097,83.166,3.631,3.69,2.283,1.349,4.834,4.605,1.675,2.18,5.505,3.0,2.29,3.352,2.432,3.128,2.0,1.337,1.477,1.049,2.236,732.676,27.865,7683.769,2.413
3.932,3.89,3.39,2.846,5.633,1.203,2.547,338.457,3.694,3.954,2.07,5.586,2.025,3.432,2.765,3.612,3.73,3.0,2.069,3.714,2.093,3.238,2.0,2.141,2.598,1.653,3.967,1275.728,33.323,11902.666,0.268
2.169,5.552,3.454,4.481,6.024,1.674,5.425,256.299,3.188,3.218,2.173,3.142,1.275,3.578,3.227,1.213,2.074,3.0,4.034,3.245,4.621,3.327,2.0,3.218,4.39,1.886,1.438,820.455,28.982,4527.902,0.268
3.755,2.762,3.186,3.419,8.712,4.712,5.813,116.448,3.691,3.572,2.184,4.89,4.377,3.894,2.773,1.238,2.632,3.0,5.601,3.016,1.506,3.296,2.0,1.25,4.324,2.435,1.652,390.675,23.008,992.243,0.0
4.718,5.171,4.464,3.304,6.01,3.623,2.98,243.561,3.99,4.773,2.478,3.266,2.247,3.954,3.11,1.283,4.639,3.0,2.777,3.05,4.454,3.687,2.0,2.773,2.58,1.052,3.936,938.42,30.004,5681.274,0.268
4.628,3.985,3.969,3.81,6.186,4.573,5.116,116.288,3.832,2.961,2.867,2.514,2.783,2.834,2.493,4.476,3.607,3.0,1.773,3.145,4.218,3.312,2.0,2.75,4.634,1.145,1.468,649.054,25.052,3617.948,0.268
3.728,3.811,3.656,3.286,3.263,4.382,3.623,83.298,4.628,1.15,2.378,5.228,4.221,4.844,2.605,3.591,2.468,3.0,4.026,3.157,1.768,3.371,2.0,2.444,2.656,2.171,3.033,288.912,20.458,1702.494,0.536
