 N,  Mu,  Sd,  Var,  Curd2h,  Budget
 4,  0.413,  0.118,                                      -----+++++,  0.000,  0
 5,  0.404,  0.105,                                     -----+++++,  0.365,  1
 6,  0.412,  0.096,                                       ----++++,  0.452,  2
 7,  0.394,  0.099,                                     ----++++,  0.288,  3
 8,  0.382,  0.098,                                    ----++++,  0.293,  4
 9,  0.379,  0.092,                                   ----++++,  0.356,  5
 10,  0.366,  0.097,                                  ----++++,  0.248,  6
 11,  0.353,  0.100,                                -----+++++,  0.229,  7
 12,  0.356,  0.096,                                 ----++++,  0.381,  8
 13,  0.350,  0.094,                                ----++++,  0.283,  9
 14,  0.339,  0.100,                              -----+++++,  0.191,  10
 15,  0.339,  0.096,                               ----++++,  0.345,  11
 16,  0.318,  0.126,                           ------++++++,  0.001,  12
 17,  0.304,  0.134,                          ------++++++,  0.090,  13
 18,  0.304,  0.130,                          ------++++++,  0.300,  14
 19,  0.300,  0.128,                         ------++++++,  0.221,  15
 20,  0.297,  0.125,                         ------++++++,  0.244,  16
 21,  0.312,  0.140,                           ------++++++,  0.610,  17
 22,  0.313,  0.136,                           ------++++++,  0.328,  18
 23,  0.315,  0.133,                           ------++++++,  0.357,  19
 24,  0.313,  0.131,                           ------++++++,  0.277,  20
 25,  0.328,  0.148,                           -------+++++++,  0.689,  21
 26,  0.330,  0.146,                            -------+++++++,  0.382,  22
 27,  0.339,  0.149,                            -------+++++++,  0.555,  23
 28,  0.346,  0.152,                             -------+++++++,  0.557,  24
 29,  0.352,  0.152,                              -------+++++++,  0.500,  25
 30,  0.361,  0.158,                               -------+++++++,  0.626,  26
