 N,  Mu,  Sd,  Var,  Curd2h,  Budget
 4,  0.413,  0.118,                                      -----+++++,  0.000,  0
 5,  0.448,  0.128,                                        ------++++++,  0.587,  1
 6,  0.521,  0.211,                                            ----------++++++++++,  0.883,  4
 7,  0.496,  0.204,                                         ----------++++++++++,  0.345,  7
 8,  0.500,  0.189,                                          ---------+++++++++,  0.531,  9
 9,  0.509,  0.179,                                            --------++++++++,  0.583,  12
 10,  0.525,  0.176,                                              --------++++++++,  0.665,  13
 11,  0.538,  0.173,                                               --------++++++++,  0.674,  15
 12,  0.534,  0.166,                                               --------++++++++,  0.482,  17
 13,  0.510,  0.181,                                           ---------+++++++++,  0.221,  22
 14,  0.487,  0.194,                                         ---------+++++++++,  0.191,  24
 15,  0.484,  0.187,                                         ---------+++++++++,  0.441,  26
 16,  0.495,  0.186,                                          ---------+++++++++,  0.657,  31
 17,  0.483,  0.186,                                         ---------+++++++++,  0.300,  35
 18,  0.497,  0.190,                                          ---------+++++++++,  0.733,  38
 19,  0.500,  0.185,                                          ---------+++++++++,  0.547,  44
 20,  0.494,  0.182,                                          ---------+++++++++,  0.386,  46
 21,  0.504,  0.183,                                           ---------+++++++++,  0.706,  55
 22,  0.508,  0.179,                                            --------++++++++,  0.593,  62
 23,  0.506,  0.176,                                            --------++++++++,  0.455,  63
 24,  0.511,  0.174,                                             --------++++++++,  0.629,  64
 25,  0.502,  0.175,                                            --------++++++++,  0.294,  65
 26,  0.492,  0.179,                                           --------++++++++,  0.244,  66
 27,  0.487,  0.178,                                          --------++++++++,  0.357,  69
 28,  0.485,  0.175,                                          --------++++++++,  0.424,  70
 29,  0.491,  0.174,                                           --------++++++++,  0.655,  74
 30,  0.499,  0.177,                                           --------++++++++,  0.733,  76
