 N,  Mu,  Sd,  Var,  Curd2h,  Budget
 4,  0.413,  0.118,                                      -----+++++,  0.000,  0
 5,  0.448,  0.128,                                        ------++++++,  0.587,  1
 6,  0.488,  0.151,                                           -------+++++++,  0.689,  2
 7,  0.522,  0.164,                                              --------++++++++,  0.723,  3
 8,  0.567,  0.198,                                                 ---------+++++++++,  0.883,  4
 9,  0.554,  0.190,                                                ---------+++++++++,  0.449,  5
 10,  0.533,  0.191,                                              ---------+++++++++,  0.345,  7
 11,  0.529,  0.181,                                             ---------+++++++++,  0.490,  8
 12,  0.529,  0.173,                                              --------++++++++,  0.531,  9
 13,  0.548,  0.179,                                                --------++++++++,  0.777,  11
 14,  0.551,  0.172,                                                 --------++++++++,  0.583,  12
 15,  0.558,  0.169,                                                 --------++++++++,  0.665,  13
 16,  0.566,  0.166,                                                  --------++++++++,  0.674,  15
 17,  0.561,  0.162,                                                  --------++++++++,  0.482,  17
 18,  0.547,  0.167,                                                --------++++++++,  0.318,  21
 19,  0.530,  0.179,                                               --------++++++++,  0.221,  22
 20,  0.513,  0.190,                                            ---------+++++++++,  0.191,  24
 21,  0.530,  0.200,                                            ----------++++++++++,  0.864,  25
 22,  0.526,  0.196,                                             ---------+++++++++,  0.441,  26
 23,  0.536,  0.198,                                              ---------+++++++++,  0.763,  28
 24,  0.526,  0.199,                                             ---------+++++++++,  0.306,  29
 25,  0.522,  0.197,                                             ---------+++++++++,  0.405,  30
 26,  0.527,  0.194,                                             ---------+++++++++,  0.657,  31
 27,  0.538,  0.199,                                              ---------+++++++++,  0.831,  32
 28,  0.548,  0.203,                                              ----------++++++++++,  0.822,  34
 29,  0.540,  0.204,                                             ----------++++++++++,  0.300,  35
 30,  0.551,  0.211,                                               ----------++++++++++,  0.895,  37
