 N,  Mu,  Sd,  Var,  Curd2h,  Budget
 4,  0.525,  0.038,                                                     -+,  0.000,  0
 5,  0.509,  0.049,                                                  --++,  0.445,  1
 6,  0.499,  0.050,                                                 --++,  0.450,  2
 7,  0.501,  0.046,                                                  --++,  0.515,  3
 8,  0.497,  0.044,                                                 --++,  0.465,  4
 9,  0.486,  0.052,                                                --++,  0.404,  5
 10,  0.482,  0.051,                                                --++,  0.444,  6
 11,  0.480,  0.048,                                                --++,  0.464,  7
 12,  0.492,  0.060,                                                ---+++,  0.616,  8
 13,  0.496,  0.060,                                                 --++,  0.542,  9
 14,  0.494,  0.058,                                                 --++,  0.471,  10
 15,  0.498,  0.058,                                                 --++,  0.560,  11
 16,  0.511,  0.075,                                                  ---+++,  0.699,  12
 17,  0.504,  0.078,                                                 ---+++,  0.394,  13
 18,  0.506,  0.076,                                                 ---+++,  0.534,  14
 19,  0.505,  0.074,                                                 ---+++,  0.495,  15
 20,  0.514,  0.082,                                                 ----++++,  0.683,  16
 21,  0.515,  0.080,                                                 ----++++,  0.531,  17
 22,  0.516,  0.078,                                                  ---+++,  0.532,  18
 23,  0.516,  0.077,                                                  ---+++,  0.520,  19
 24,  0.516,  0.075,                                                  ---+++,  0.532,  20
 25,  0.517,  0.074,                                                  ---+++,  0.541,  21
 26,  0.518,  0.072,                                                  ---+++,  0.523,  22
 27,  0.526,  0.083,                                                  ----++++,  0.743,  23
 28,  0.528,  0.082,                                                  ----++++,  0.577,  24
 29,  0.527,  0.081,                                                  ----++++,  0.518,  25
 30,  0.530,  0.081,                                                   ----++++,  0.609,  26
