 N,  Mu,  Sd,  Var,  Curd2h,  Budget
 4,  0.525,  0.038,                                                     -+,  0.000,  0
 5,  0.525,  0.033,                                                     -+,  0.525,  4
 6,  0.527,  0.030,                                                     -+,  0.539,  6
 7,  0.522,  0.031,                                                     -+,  0.491,  12
 8,  0.543,  0.067,                                                     ---+++,  0.694,  14
 9,  0.538,  0.065,                                                    ---+++,  0.496,  16
 10,  0.536,  0.061,                                                    ---+++,  0.519,  18
 11,  0.551,  0.076,                                                      ---+++,  0.697,  19
 12,  0.543,  0.077,                                                     ---+++,  0.461,  21
 13,  0.537,  0.077,                                                    ---+++,  0.457,  22
 14,  0.533,  0.075,                                                    ---+++,  0.491,  24
 15,  0.533,  0.073,                                                    ---+++,  0.523,  32
 16,  0.531,  0.070,                                                    ---+++,  0.506,  56
 17,  0.526,  0.071,                                                   ---+++,  0.448,  57
 18,  0.526,  0.069,                                                   ---+++,  0.524,  60
 19,  0.526,  0.067,                                                   ---+++,  0.523,  61
 20,  0.520,  0.070,                                                   ---+++,  0.415,  62
 21,  0.531,  0.084,                                                   ----++++,  0.743,  65
 22,  0.527,  0.083,                                                  ----++++,  0.449,  66
 23,  0.528,  0.082,                                                  ----++++,  0.551,  68
 24,  0.525,  0.081,                                                  ----++++,  0.450,  75
 25,  0.521,  0.083,                                                  ----++++,  0.417,  83
 26,  0.513,  0.090,                                                 ----++++,  0.320,  89
 27,  0.515,  0.089,                                                 ----++++,  0.560,  95
 28,  0.513,  0.088,                                                 ----++++,  0.464,  100
 29,  0.513,  0.086,                                                 ----++++,  0.523,  101
 30,  0.514,  0.085,                                                 ----++++,  0.544,  105
