 N,  Mu,  Sd,  Var,  Curd2h,  Budget
 4,  0.572,  0.144,                                                    -------+++++++,  0.000,  0
 5,  0.548,  0.136,                                                  ------++++++,  0.450,  1
 6,  0.528,  0.131,                                                ------++++++,  0.431,  2
 7,  0.519,  0.122,                                               ------++++++,  0.463,  3
 8,  0.541,  0.129,                                                  ------++++++,  0.696,  4
 9,  0.531,  0.124,                                                 ------++++++,  0.453,  5
 10,  0.523,  0.120,                                                 -----+++++,  0.448,  6
 11,  0.515,  0.117,                                                -----+++++,  0.438,  7
 12,  0.510,  0.113,                                                -----+++++,  0.456,  8
 13,  0.525,  0.119,                                                 -----+++++,  0.696,  9
 14,  0.520,  0.116,                                                 -----+++++,  0.463,  10
 15,  0.534,  0.123,                                                 ------++++++,  0.722,  11
 16,  0.529,  0.121,                                                ------++++++,  0.458,  12
 17,  0.524,  0.119,                                                 -----+++++,  0.441,  13
 18,  0.519,  0.117,                                                -----+++++,  0.436,  14
 19,  0.514,  0.115,                                                -----+++++,  0.431,  15
 20,  0.525,  0.122,                                                ------++++++,  0.723,  16
 21,  0.534,  0.126,                                                 ------++++++,  0.718,  17
 22,  0.530,  0.124,                                                 ------++++++,  0.450,  18
 23,  0.527,  0.122,                                                ------++++++,  0.462,  19
 24,  0.524,  0.120,                                                ------++++++,  0.459,  20
 25,  0.531,  0.123,                                                 ------++++++,  0.696,  21
 26,  0.528,  0.121,                                                ------++++++,  0.457,  22
 27,  0.526,  0.119,                                                 -----+++++,  0.459,  23
 28,  0.539,  0.137,                                                 ------++++++,  0.902,  24
 29,  0.552,  0.151,                                                  -------+++++++,  0.902,  25
 30,  0.548,  0.149,                                                 -------+++++++,  0.443,  26
