 N,  Mu,  Sd,  Var,  Curd2h,  Budget
 4,  0.572,  0.144,                                                    -------+++++++,  0.000,  0
 5,  0.549,  0.135,                                                  ------++++++,  0.458,  2
 6,  0.534,  0.126,                                                 ------++++++,  0.455,  3
 7,  0.519,  0.121,                                               ------++++++,  0.434,  4
 8,  0.511,  0.115,                                                -----+++++,  0.454,  10
 9,  0.505,  0.109,                                               -----+++++,  0.458,  17
 10,  0.527,  0.123,                                                ------++++++,  0.720,  20
 11,  0.518,  0.120,                                               ------++++++,  0.428,  22
 12,  0.511,  0.117,                                                -----+++++,  0.433,  25
 13,  0.504,  0.115,                                               -----+++++,  0.422,  26
 14,  0.501,  0.111,                                               -----+++++,  0.462,  28
 15,  0.496,  0.109,                                              -----+++++,  0.420,  34
 16,  0.493,  0.106,                                              -----+++++,  0.451,  35
 17,  0.489,  0.104,                                             -----+++++,  0.424,  38
 18,  0.502,  0.115,                                               -----+++++,  0.722,  43
 19,  0.499,  0.112,                                              -----+++++,  0.448,  44
 20,  0.496,  0.110,                                              -----+++++,  0.444,  46
 21,  0.493,  0.108,                                              -----+++++,  0.432,  47
 22,  0.490,  0.107,                                             -----+++++,  0.417,  50
 23,  0.487,  0.105,                                             -----+++++,  0.439,  51
 24,  0.486,  0.103,                                             -----+++++,  0.445,  55
 25,  0.495,  0.111,                                              -----+++++,  0.721,  57
 26,  0.493,  0.109,                                              -----+++++,  0.449,  60
 27,  0.492,  0.107,                                              -----+++++,  0.456,  63
 28,  0.491,  0.106,                                              -----+++++,  0.464,  67
 29,  0.499,  0.112,                                              -----+++++,  0.724,  70
 30,  0.498,  0.111,                                              -----+++++,  0.458,  72
