 N,  Mu,  Sd,  Var,  Curd2h,  Budget
 4,  0.61,  0.41,                                          --------------------++++++++++++++++++++,  0.000,  0
 5,  0.49,  0.45,                            ----------------------++++++++++++++++++++++,  0.0,  1
 6,  0.41,  0.45,                    ----------------------++++++++++++++++++++++,  0.0,  6
 7,  0.35,  0.44,               ---------------------+++++++++++++++++++++,  0.0,  8
 8,  0.30,  0.42,           ---------------------+++++++++++++++++++++,  0.0,  23
 9,  0.27,  0.41,         --------------------++++++++++++++++++++,  0.0,  24
 10,  0.24,  0.39,       -------------------+++++++++++++++++++,  0.0,  30
 11,  0.22,  0.38,     -------------------+++++++++++++++++++,  0.0,  33
 12,  0.20,  0.37,    ------------------++++++++++++++++++,  0.0,  40
 13,  0.19,  0.36,   -----------------+++++++++++++++++,  0.0,  48
 14,  0.17,  0.35,  -----------------+++++++++++++++++,  0.0,  64
 15,  0.16,  0.34,  ----------------++++++++++++++++,  0.0,  65
 16,  0.15,  0.33,  ----------------++++++++++++++++,  0.0,  69
 17,  0.14,  0.32,  ---------------+++++++++++++++,  0.0,  71
 18,  0.17,  0.34,   ----------------++++++++++++++++,  0.7122137330019928,  76
 19,  0.20,  0.35,     -----------------+++++++++++++++++,  0.716509661157202,  79
 20,  0.24,  0.37,       ------------------++++++++++++++++++,  0.8613986328499417,  82
 21,  0.22,  0.37,      ------------------++++++++++++++++++,  0.0,  84
 22,  0.21,  0.36,     ------------------++++++++++++++++++,  0.0,  85
 23,  0.21,  0.36,     -----------------+++++++++++++++++,  0.0,  92
 24,  0.20,  0.35,    -----------------+++++++++++++++++,  0.0,  118
 25,  0.19,  0.34,   -----------------+++++++++++++++++,  0.0,  121
 26,  0.18,  0.34,    ----------------++++++++++++++++,  0.0,  139
 27,  0.17,  0.34,   ----------------++++++++++++++++,  0.0,  151
 28,  0.17,  0.33,  ----------------++++++++++++++++,  0.0,  157
 29,  0.16,  0.33,  ----------------++++++++++++++++,  0.0,  174
 30,  0.18,  0.34,    ----------------++++++++++++++++,  0.7108673110332412,  176
