 N,  Mu,  Sd,  Var,  Curd2h,  Budget
 4,  0.608,  0.411,                                          --------------------++++++++++++++++++++,  0.000,  0
 5,  0.486,  0.448,                            ----------------------++++++++++++++++++++++,  0.000,  1
 6,  0.405,  0.447,                    ----------------------++++++++++++++++++++++,  0.000,  6
 7,  0.347,  0.436,               ---------------------+++++++++++++++++++++,  0.000,  8
 8,  0.393,  0.424,                    ---------------------+++++++++++++++++++++,  0.714,  11
 9,  0.429,  0.410,                        --------------------++++++++++++++++++++,  0.712,  15
 10,  0.386,  0.410,                    --------------------++++++++++++++++++++,  0.000,  23
 11,  0.351,  0.406,                 --------------------++++++++++++++++++++,  0.000,  24
 12,  0.321,  0.400,              --------------------++++++++++++++++++++,  0.000,  30
 13,  0.297,  0.393,            -------------------+++++++++++++++++++,  0.000,  31
 14,  0.326,  0.394,               -------------------+++++++++++++++++++,  0.710,  32
 15,  0.304,  0.389,             -------------------+++++++++++++++++++,  0.000,  33
 16,  0.330,  0.389,               -------------------+++++++++++++++++++,  0.710,  37
 17,  0.310,  0.385,              -------------------+++++++++++++++++++,  0.000,  40
 18,  0.293,  0.381,            -------------------+++++++++++++++++++,  0.000,  42
 19,  0.278,  0.376,           ------------------++++++++++++++++++,  0.000,  48
 20,  0.264,  0.371,          ------------------++++++++++++++++++,  0.000,  64
 21,  0.251,  0.366,         ------------------++++++++++++++++++,  0.000,  65
 22,  0.240,  0.361,       ------------------++++++++++++++++++,  0.000,  69
 23,  0.229,  0.357,       -----------------+++++++++++++++++,  0.000,  71
 24,  0.250,  0.362,        ------------------++++++++++++++++++,  0.712,  76
 25,  0.268,  0.367,          ------------------++++++++++++++++++,  0.717,  79
 26,  0.285,  0.370,            ------------------++++++++++++++++++,  0.711,  80
 27,  0.275,  0.367,           ------------------++++++++++++++++++,  0.000,  81
 28,  0.296,  0.377,             ------------------++++++++++++++++++,  0.865,  83
 29,  0.286,  0.374,            ------------------++++++++++++++++++,  0.000,  84
 30,  0.276,  0.371,           ------------------++++++++++++++++++,  0.000,  85
