#
 0,           exploit,60,  0.01,  0.02, *---                |                   ,  0.00,  0.06, 1.86 secs
#
 1,           exploit,50,  0.02,  0.01, -*---               |                   ,  0.00,  0.07, 1.51 secs
 1,           exploit,55,  0.02,  0.02,  *--                |                   ,  0.00,  0.08, 1.69 secs
 1,           exploit,35,  0.02,  0.04, -*  -               |                   ,  0.01,  0.07, 0.99 secs
 1,           exploit,45,  0.02,  0.04, -*  --              |                   ,  0.00,  0.09, 1.32 secs
 1,           exploit,40,  0.03,  0.03, - * --              |                   ,  0.00,  0.16, 1.17 secs
#
 2, llm,phi3-mini,20,(3.8B),  0.04,  0.02,    *                |                   ,  0.03,  0.05, 8.08 mins
 2, llm,phi3-mini,25,(3.8B),  0.04,  0.02,  - *-               |                   ,  0.02,  0.07, 14.80 mins
 2,           exploit,30,  0.04,  0.04,  - * ----           |                   ,  0.00,  0.11, 0.84 secs
 2,           explore,45,  0.04,  0.03,  - * ---            |                   ,  0.00,  0.14, 1.33 secs
 2,            random,45,  0.04,  0.02,  - *-               |                   ,  0.02,  0.07, 0.00 secs
 2,            random,50,  0.05,  0.02,   -* -              |                   ,  0.00,  0.09, 0.00 secs
 2, llm,phi3-mini,30,(3.8B),  0.05,  0.01,  --*-               |                   ,  0.02,  0.06, 22.48 mins
 2,            random,20,  0.05,  0.03,  --* ---            |                   ,  0.02,  0.10, 0.00 secs
 2,           exploit,25,  0.05,  0.04, -  * ----           |                   ,  0.00,  0.18, 0.69 secs
 2,            random,60,  0.05,  0.02,  - *-               |                   ,  0.00,  0.07, 0.00 secs
 2,            random,40,  0.05,  0.03,  -  *--             |                   ,  0.00,  0.09, 0.00 secs
#
 3, llm,phi3-mini,40,(3.8B),  0.05,  0.03, --  *-              |                   ,  0.01,  0.07, 48.87 mins
 3,            random,55,  0.05,  0.03,  -  *               |                   ,  0.00,  0.07, 0.00 secs
 3,            random,35,  0.05,  0.04,     *--             |                   ,  0.00,  0.09, 0.00 secs
 3, llm,llama3-8b,30,(8.0B),  0.05,  0.02,  -- *               |                   ,  0.02,  0.07, 36.56 mins
 3,            random,30,  0.05,  0.04,   - *               |                   ,  0.00,  0.10, 0.00 secs
 3,           explore,55,  0.06,  0.06,  -   * ------       |                   ,  0.01,  0.19, 1.74 secs
 3,         SimAnneal,35,  0.06,  0.02,   -- *---           |                   ,  0.00,  0.12, 1.56 secs
 3,           explore,50,  0.06,  0.02,    - *-             |                   ,  0.01,  0.18, 1.54 secs
#
 4,           explore,35,  0.06,  0.03,      *-             |                   ,  0.01,  0.12, 1.00 secs
 4, llm,llama3-8b,20,(8.0B),  0.06,  0.02,   -- *-             |                   ,  0.03,  0.09, 22.68 mins
 4,           exploit,20,  0.07,  0.02,  --- *--            |                   ,  0.02,  0.11, 0.48 secs
 4,           explore,25,  0.07,  0.06, ---  *  ----        |                   ,  0.00,  0.15, 0.70 secs
 4,            random,25,  0.07,  0.04,  -   *-             |                   ,  0.01,  0.09, 0.00 secs
 4,         SimAnneal,30,  0.07,  0.05,  --  * ---          |                   ,  0.01,  0.14, 1.24 secs
 4,         SimAnneal,60,  0.07,  0.06,  -   * --           |                   ,  0.01,  0.12, 3.46 secs
#
 5,         SimAnneal,50,  0.07,  0.04,  --- * ---          |                   ,  0.01,  0.16, 2.61 secs
 5,           explore,40,  0.07,  0.05,    -- *  ---        |                   ,  0.03,  0.27, 1.18 secs
 5,           explore,20,  0.07,  0.02,     - *-            |                   ,  0.03,  0.11, 0.49 secs
 5,               rrp,11,  0.08,  0.04,  ---  *----         |                   ,  0.00,  0.15, 0.36 secs
 5,           explore,60,  0.08,  0.07,   -   * --          |                   ,  0.02,  0.16, 1.89 secs
 5,         SimAnneal,20,  0.08,  0.03,    -- *--           |                   ,  0.02,  0.14, 0.67 secs
 5,           explore,30,  0.08,  0.03,  ---- * --          |                   ,  0.02,  0.16, 0.83 secs
 5,         SimAnneal,40,  0.08,  0.04,     - *  --         |                   ,  0.04,  0.18, 1.87 secs
 5,         SimAnneal,45,  0.08,  0.04,     -  *-----       |                   ,  0.02,  0.21, 2.34 secs
 5,         SimAnneal,25,  0.08,  0.03,    --  *----        |                   ,  0.01,  0.16, 0.99 secs
 5,         SimAnneal,55,  0.09,  0.04,    -   *----        |                   ,  0.01,  0.17, 3.00 secs
#
 6, llm,phi3-medium,15,(14.0B),  0.11,  0.00,         *           |                   ,  0.11,  0.11, 35.90 mins
#
 7,        baseline,1343,  0.20,  0.10,          ---     *  |-------            ,  0.02,  0.47, 0.00 secs
