#
 0,           exploit,40,  0.17,  0.02, *-------            |                   ,  0.17,  0.42
 0,           exploit,45,  0.17,  0.02, *                   |                   ,  0.17,  0.32
 0,           exploit,50,  0.17,  0.00, *------------       |                   ,  0.17,  0.53
 0,           exploit,55,  0.17,  0.00, *----------         |                   ,  0.17,  0.46
 0,           exploit,60,  0.17,  0.00, *                   |                   ,  0.17,  0.28
#
 1,     llm,phi3-mini,30,  0.19,  0.08,  *                  |                   ,  0.17,  0.25
 1,           exploit,25,  0.19,  0.06, -*  -------         |                   ,  0.17,  0.39
 1,           exploit,30,  0.19,  0.03,  *--------          |                   ,  0.17,  0.55
#
 2,           exploit,35,  0.19,  0.05, -* --------         |                   ,  0.17,  0.41
#
 3,           EXPLORE,55,  0.19,  0.14,  *     -------      |                   ,  0.17,  0.49
 3,           EXPLORE,50,  0.19,  0.05, -* -                |                   ,  0.17,  0.31
 3,           exploit,20,  0.20,  0.07,  * -----            |                   ,  0.17,  0.55
 3,           EXPLORE,45,  0.20,  0.11, -*     --------     |                   ,  0.17,  0.53
 3,            random,60,  0.20,  0.07, -*  ---             |                   ,  0.17,  0.33
 3,           EXPLORE,60,  0.24,  0.12, -  *   -----        |                   ,  0.17,  0.49
 3,     llm,phi3-mini,25,  0.25,  0.11,     *  --           |                   ,  0.19,  0.36
 3,     llm,llama3-8b,25,  0.25,  0.10,     * -----         |                   ,  0.19,  0.39
 3,            random,40,  0.25,  0.08,     *---            |                   ,  0.17,  0.33
 3,            random,45,  0.25,  0.07, -   *-----          |                   ,  0.17,  0.41
 3,            random,50,  0.25,  0.03,  -- *---            |                   ,  0.17,  0.37
 3,     llm,llama3-8b,20,  0.25,  0.01,  -- *-----          |                   ,  0.20,  0.37
 3,           EXPLORE,35,  0.25,  0.11, -   * ---           |                   ,  0.17,  0.41
#
 4,            random,25,  0.26,  0.03,  -- *----           |                   ,  0.17,  0.36
 4,           EXPLORE,25,  0.26,  0.13, -   *   -----       |                   ,  0.17,  0.52
 4,            random,35,  0.26,  0.08, --- *   -           |                   ,  0.17,  0.39
 4,           EXPLORE,40,  0.26,  0.12,     *  --------     |                   ,  0.17,  0.49
 4,            random,55,  0.26,  0.10, -   * ---           |                   ,  0.17,  0.35
#
 5,   llm,phi3-medium,15,  0.27,  0.00,      *              |                   ,  0.27,  0.27
 5,            random,30,  0.28,  0.06,  --- * --           |                   ,  0.17,  0.35
 5,     llm,llama3-8b,30,  0.30,  0.11, ----  *             |                   ,  0.17,  0.36
 5,            random,20,  0.30,  0.04,  ----  *-           |                   ,  0.19,  0.35
 5,           EXPLORE,20,  0.31,  0.06,  ---   *-           |                   ,  0.17,  0.40
#
 6,           EXPLORE,30,  0.31,  0.07,  ---   *-           |                   ,  0.19,  0.38
 6,     llm,phi3-mini,20,  0.32,  0.05,     -   *           |                   ,  0.25,  0.33
#
 7,               rrp,10,  0.35,  0.08,        - *  ---     |                   ,  0.19,  0.62
#
 8,         baseline,398,  0.55,  0.16,           ----      *  ----------       ,  0.17,  0.93
