#
 0,         SimAnneal,60,  0.38,  0.04,         -- *-       |                   ,  0.20,  0.41, 10.66 secs
 0,            random,60,  0.39,  0.02,           - *       |                   ,  0.23,  0.42, 0.00 secs
 0,            random,55,  0.39,  0.04,           - *       |                   ,  0.28,  0.42, 0.00 secs
 0,         SimAnneal,55,  0.39,  0.06,          -  *-      |                   ,  0.20,  0.43, 9.52 secs
 0,         SimAnneal,50,  0.40,  0.04,         --- *-      |                   ,  0.20,  0.43, 8.38 secs
#
 1, llm,llama3-8b,30,(8.0B),  0.40,  0.01,      -------*       |                   ,  0.27,  0.41, 2.46 hours
 1,            random,50,  0.40,  0.02,          -- *       |                   ,  0.28,  0.43, 0.00 secs
 1,           exploit,60,  0.40,  0.02,           --*-      |                   ,  0.30,  0.70, 8.30 secs
 1,           exploit,50,  0.40,  0.04,         ---  *      |                   ,  0.28,  0.43, 6.73 secs
 1,            random,40,  0.40,  0.06,          -   *      |                   ,  0.20,  0.44, 0.00 secs
 1,           exploit,35,  0.41,  0.04,           -  *      |                   ,  0.34,  0.45, 4.54 secs
 1,           exploit,55,  0.41,  0.04,          --  *      |                   ,  0.28,  0.43, 7.51 secs
 1, llm,phi3-mini,40,(3.8B),  0.41,  0.05,          --  *      |                   ,  0.35,  0.42, 1.52 hours
 1,            random,30,  0.41,  0.04,           -- *-     |                   ,  0.20,  0.44, 0.00 secs
 1,         SimAnneal,45,  0.41,  0.02,            - *      |                   ,  0.35,  0.43, 7.34 secs
#
 2,           explore,30,  0.41,  0.03,            - *      |                   ,  0.36,  0.43, 3.78 secs
 2,         SimAnneal,35,  0.41,  0.03,          --- *      |                   ,  0.28,  0.43, 5.37 secs
 2,         SimAnneal,40,  0.41,  0.01,           ---*      |                   ,  0.20,  0.43, 6.36 secs
 2,           explore,55,  0.41,  0.02,           -- *      |                   ,  0.34,  0.44, 7.57 secs
 2, llm,phi3-mini,30,(3.8B),  0.41,  0.04,          --  *      |                   ,  0.35,  0.41, 46.18 mins
 2,         SimAnneal,25,  0.41,  0.02,           -- *      |                   ,  0.31,  0.44, 3.50 secs
 2,         SimAnneal,20,  0.41,  0.03,            - *-     |                   ,  0.34,  0.45, 2.64 secs
 2,           explore,60,  0.41,  0.05,          --  *      |                   ,  0.28,  0.44, 8.31 secs
 2, llm,llama3-8b,20,(8.0B),  0.41,  0.01,            --*      |                   ,  0.37,  0.43, 2.41 hours
 2,           explore,40,  0.42,  0.03,           -- *      |                   ,  0.31,  0.45, 5.26 secs
 2,            random,45,  0.42,  0.02,            - *      |                   ,  0.30,  0.45, 0.00 secs
 2,            random,35,  0.42,  0.03,           -- *      |                   ,  0.16,  0.44, 0.00 secs
 2,           explore,25,  0.42,  0.03,            - *      |                   ,  0.31,  0.44, 3.06 secs
 2,           explore,35,  0.42,  0.02,           ---*-     |                   ,  0.23,  0.45, 4.62 secs
 2,            random,25,  0.42,  0.02,          ----*      |                   ,  0.32,  0.44, 0.00 secs
 2,         SimAnneal,30,  0.42,  0.02,            - *      |                   ,  0.35,  0.44, 4.35 secs
 2,           exploit,30,  0.42,  0.02,             -*      |                   ,  0.33,  0.45, 3.77 secs
 2,           exploit,40,  0.42,  0.03,           -- *--    |                   ,  0.32,  0.70, 5.26 secs
 2, llm,phi3-mini,20,(3.8B),  0.42,  0.02,             -*      |                   ,  0.39,  0.43, 26.06 mins
#
 3,           explore,50,  0.42,  0.02,            --*      |                   ,  0.35,  0.44, 6.78 secs
 3,           exploit,45,  0.42,  0.03,           --  *     |                   ,  0.36,  0.70, 6.00 secs
 3,            random,20,  0.42,  0.02,             - *     |                   ,  0.28,  0.44, 0.00 secs
 3,           exploit,25,  0.42,  0.01,             - *     |                   ,  0.32,  0.44, 3.06 secs
 3,           explore,20,  0.43,  0.03,           --- *     |                   ,  0.28,  0.44, 2.34 secs
 3,           exploit,20,  0.43,  0.01,             - *     |                   ,  0.36,  0.45, 2.35 secs
 3,           explore,45,  0.43,  0.02,             - *     |                   ,  0.36,  0.45, 6.00 secs
#
 4,               rrp,14,  0.45,  0.28,              - *    |        -          ,  0.27,  0.75, 4.88 secs
#
 5,       baseline,10000,  0.70,  0.25,               -     |       *--         ,  0.16,  0.90, 0.01 secs
