20
25
30
#
 0,            PI_GPM,20,  0.11,  0.00,     *               |                   ,  0.11,  0.11, 0.00
 0,       LLM/explore,20,  0.12,  0.04,   ---*--            |                   ,  0.00,  0.24, 35.14
#
 1,           UCB_GPM,25,  0.13,  0.00,      *              |                   ,  0.13,  0.13, 0.00
#
 2,           UCB_GPM,20,  0.13,  0.00,      *              |                   ,  0.13,  0.13, 0.01
 2,           explore,30,  0.13,  0.06,   ---* --           |                   ,  0.02,  0.32, 2.80
 2,            random,25,  0.14,  0.05,   ---* -            |                   ,  0.02,  0.23, 0.00
 2,           explore,25,  0.14,  0.05,   --- *--           |                   ,  0.05,  0.27, 6.29
#
 3,            PI_GPM,25,  0.15,  0.00,       *             |                   ,  0.15,  0.15, 0.00
 3,       LLM/explore,25,  0.15,  0.07,    -- * --          |                   ,  0.05,  0.33, 40.25
 3,       LLM/explore,30,  0.15,  0.03,       *-            |                   ,  0.08,  0.20, 27.87
 3,           explore,20,  0.15,  0.03,      -*--           |                   ,  0.08,  0.24, 3.35
#
 4,            EI_GPM,30,  0.15,  0.00,       *             |                   ,  0.15,  0.15, 0.02
 4,           exploit,30,  0.15,  0.03,      -*---          |                   ,  0.11,  0.28, 2.97
 4,       LLM/exploit,30,  0.16,  0.04,      -* -           |                   ,  0.09,  0.27, 28.41
 4,       LLM/exploit,25,  0.16,  0.04,       *----         |                   ,  0.07,  0.30, 39.82
 4,            random,30,  0.16,  0.07,       *             |                   ,  0.09,  0.24, 0.00
 4,            random,20,  0.16,  0.06,      - * -          |                   ,  0.05,  0.29, 0.00
 4,            EI_GPM,25,  0.16,  0.00,        *            |                   ,  0.16,  0.16, 0.00
#
 5,       LLM/exploit,20,  0.17,  0.04,      - *            |                   ,  0.12,  0.23, 24.77
 5,           exploit,25,  0.17,  0.04,       -*-           |                   ,  0.13,  0.24, 5.03
#
 6,           UCB_GPM,30,  0.19,  0.00,         *           |                   ,  0.19,  0.19, 0.00
 6,           exploit,20,  0.20,  0.06,      -  *--         |                   ,  0.13,  0.27, 2.38
#
 7,            PI_GPM,30,  0.23,  0.00,          *          |                   ,  0.23,  0.23, 0.00
 7,               rrp,13,  0.26,  0.15,      ----  *   -----|---                ,  0.07,  0.60, 4.30
#
 8,            EI_GPM,20,  0.27,  0.00,            *        |                   ,  0.27,  0.27, 0.00
#
 9,        baseline,4653,  0.48,  0.13,                ---  *  ----------       ,  0.18,  0.92, 0.01
