20
25
30
#
 0,            EI_GPM,30,  0.16,  0.00, *                   |                   ,  0.16,  0.16, 0.00
#
 1,            PI_GPM,25,  0.18,  0.00, *                   |                   ,  0.18,  0.18, 0.00
#
 2,           UCB_GPM,25,  0.21,  0.00,   *                 |                   ,  0.21,  0.21, 0.00
#
 3,           UCB_GPM,30,  0.21,  0.00,   *                 |                   ,  0.21,  0.21, 0.02
 3,            EI_GPM,25,  0.21,  0.00,   *                 |                   ,  0.21,  0.21, 0.00
 3,       LLM/exploit,30,  0.21,  0.03, - *------------     |                   ,  0.17,  0.49, 17.56
 3,            random,20,  0.22,  0.01, -- *---------       |                   ,  0.17,  0.51, 0.00
 3,           exploit,20,  0.22,  0.04, -- * -----------    |                   ,  0.17,  0.69, 0.99
 3,           explore,20,  0.22,  0.00,  --*------------    |                   ,  0.17,  0.53, 1.20
 3,       LLM/exploit,20,  0.22,  0.02, -- *-------------   |                   ,  0.17,  0.53, 16.15
 3,       LLM/explore,20,  0.22,  0.04,  --* --------       |                   ,  0.17,  0.47, 16.72
#
 4,            random,25,  0.22,  0.04, -- *----------      |                   ,  0.17,  0.54, 0.00
#
 5,           exploit,25,  0.22,  0.22,  --*         ---    |                   ,  0.17,  0.50, 2.06
 5,       LLM/exploit,25,  0.22,  0.03, -  *-----------     |                   ,  0.17,  0.49, 19.69
#
 6,       LLM/explore,25,  0.22,  0.01,   -*-----------     |                   ,  0.17,  0.67, 18.86
 6,            random,30,  0.22,  0.01, -- *---------       |                   ,  0.17,  0.48, 0.00
#
 7,           exploit,30,  0.22,  0.01, -- *----------------|---                ,  0.17,  0.67, 1.31
#
 8,           explore,30,  0.22,  0.01, -- *---------       |                   ,  0.17,  0.44, 0.93
 8,       LLM/explore,30,  0.22,  0.17,  --*      ------    |                   ,  0.17,  0.53, 17.65
#
 9,           UCB_GPM,20,  0.37,  0.00,           *         |                   ,  0.37,  0.37, 0.01
#
10,            PI_GPM,20,  0.37,  0.00,           *         |                   ,  0.37,  0.37, 0.00
#
11,            EI_GPM,20,  0.37,  0.00,           *         |                   ,  0.37,  0.37, 0.00
#
12,            PI_GPM,30,  0.37,  0.00,           *         |                   ,  0.37,  0.37, 0.00
12,           explore,25,  0.39,  0.25,  --       *   ----  |                   ,  0.17,  0.59, 2.10
#
13,               rrp,11,  0.65,  0.32,    ---------        |  *   -----        ,  0.17,  1.00, 0.29
#
14,        baseline,1023,  0.83,  0.47,    --------------   |           *       ,  0.17,  1.00, 0.00
