20
25
30
#
 0,            EI_GPM,30,  0.13,  0.00, *                   |                   ,  0.13,  0.13, 0.00
#
 1,            PI_GPM,20,  0.18,  0.00,   *                 |                   ,  0.18,  0.18, 0.00
#
 2,            EI_GPM,25,  0.20,  0.00,    *                |                   ,  0.20,  0.20, 0.00
#
 3,            PI_GPM,30,  0.22,  0.00,     *               |                   ,  0.22,  0.22, 0.00
 3,            random,30,  0.23,  0.05,   --* ---           |                   ,  0.17,  0.35, 0.00
 3,           exploit,25,  0.23,  0.09,  -- *  --           |                   ,  0.17,  0.47, 2.73
#
 4,       LLM/exploit,25,  0.23,  0.07,    -*  ---          |                   ,  0.18,  0.37, 19.27
#
 5,           exploit,30,  0.23,  0.09,  ---*   -           |                   ,  0.17,  0.35, 2.07
 5,           UCB_GPM,25,  0.23,  0.00,     *               |                   ,  0.23,  0.23, 0.03
 5,       LLM/exploit,20,  0.24,  0.07,   --*  --           |                   ,  0.17,  0.45, 16.12
 5,           UCB_GPM,30,  0.24,  0.00,      *              |                   ,  0.24,  0.24, 0.00
#
 6,            PI_GPM,25,  0.24,  0.00,      *              |                   ,  0.24,  0.24, 0.00
 6,            random,25,  0.25,  0.05,    - *--            |                   ,  0.17,  0.42, 0.00
#
 7,            EI_GPM,20,  0.26,  0.00,      *              |                   ,  0.26,  0.26, 0.00
#
 8,           exploit,20,  0.27,  0.06,     - * ----        |                   ,  0.17,  0.47, 1.17
 8,       LLM/exploit,30,  0.28,  0.08,   --  *----         |                   ,  0.17,  0.41, 18.70
 8,       LLM/explore,30,  0.28,  0.11,   --- *   ---       |                   ,  0.17,  0.44, 17.48
 8,           explore,30,  0.28,  0.07,     - *  ---        |                   ,  0.18,  0.47, 2.40
#
 9,           UCB_GPM,20,  0.29,  0.00,        *            |                   ,  0.29,  0.29, 0.05
#
10,            random,20,  0.31,  0.07,     -   *           |                   ,  0.18,  0.36, 0.00
10,       LLM/explore,25,  0.32,  0.10,     --  *  --       |                   ,  0.20,  0.44, 19.72
10,       LLM/explore,20,  0.33,  0.12,     -   *  -        |                   ,  0.21,  0.42, 16.12
#
11,           explore,25,  0.34,  0.06,      --  *--        |                   ,  0.20,  0.40, 2.32
#
12,           explore,20,  0.36,  0.11,     ----  *  -      |                   ,  0.23,  0.46, 0.72
12,               rrp,11,  0.37,  0.15,       --   *   ---  |                   ,  0.17,  0.57, 0.37
#
13,         baseline,972,  0.48,  0.10,             --  * --|----               ,  0.28,  1.00, 0.00
