20
25
30
#
 0,            EI_GPM,30,  0.03,  0.00, *                   |                   ,  0.03,  0.03, 0.00
#
 1,           UCB_GPM,30,  0.03,  0.00, *                   |                   ,  0.03,  0.03, 0.00
#
 2,            EI_GPM,25,  0.03,  0.00, *                   |                   ,  0.03,  0.03, 0.00
#
 3,            PI_GPM,25,  0.04,  0.00, *                   |                   ,  0.04,  0.04, 0.00
#
 4,            EI_GPM,20,  0.04,  0.00, *                   |                   ,  0.04,  0.04, 0.00
#
 5,       LLM/explore,30,  0.04,  0.02, *-                  |                   ,  0.04,  0.11, 25.16
 5,            random,25,  0.04,  0.02, *---                |                   ,  0.04,  0.12, 0.00
 5,           explore,25,  0.04,  0.01, *-                  |                   ,  0.04,  0.09, 4.07
 5,           UCB_GPM,20,  0.05,  0.00, *                   |                   ,  0.05,  0.05, 0.00
#
 6,            PI_GPM,30,  0.05,  0.00, *                   |                   ,  0.05,  0.05, 0.00
 6,            random,30,  0.05,  0.03,  *-                 |                   ,  0.04,  0.10, 0.00
 6,            random,20,  0.06,  0.04,  *                  |                   ,  0.04,  0.12, 0.00
#
 7,           UCB_GPM,25,  0.06,  0.00,  *                  |                   ,  0.06,  0.06, 0.00
 7,       LLM/explore,25,  0.06,  0.02,  *-                 |                   ,  0.04,  0.11, 34.46
 7,           explore,20,  0.06,  0.03,  *--                |                   ,  0.04,  0.13, 2.42
 7,       LLM/explore,20,  0.06,  0.02,  *-                 |                   ,  0.04,  0.11, 26.86
#
 8,           explore,30,  0.06,  0.03,  *-                 |                   ,  0.04,  0.13, 3.02
 8,           exploit,25,  0.08,  0.06,   * -               |                   ,  0.04,  0.17, 3.67
#
 9,            PI_GPM,20,  0.08,  0.00,   *                 |                   ,  0.08,  0.08, 0.00
 9,           exploit,30,  0.08,  0.02, - *--               |                   ,  0.04,  0.14, 2.56
 9,       LLM/exploit,30,  0.09,  0.02, -- *-               |                   ,  0.04,  0.14, 28.47
 9,       LLM/exploit,20,  0.09,  0.04, -  *-               |                   ,  0.04,  0.15, 23.63
 9,           exploit,20,  0.09,  0.06,    *                |                   ,  0.04,  0.15, 3.62
 9,       LLM/exploit,25,  0.09,  0.04, -  *-               |                   ,  0.04,  0.14, 34.89
#
10,        baseline,5184,  0.13,  0.04,    - *--            |                   ,  0.08,  0.27, 0.01
10,               rrp,13,  0.15,  0.06,  ---  *------       |                   ,  0.04,  0.76, 2.97
