20
25
30
#
 0,           UCB_GPM,20,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 0.00
#
 1,            PI_GPM,20,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 0.00
#
 2,            EI_GPM,20,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 0.00
#
 3,           UCB_GPM,25,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 0.00
#
 4,            PI_GPM,25,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 0.00
#
 5,            EI_GPM,25,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 0.00
#
 6,           UCB_GPM,30,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 0.00
#
 7,            PI_GPM,30,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 0.00
#
 8,            EI_GPM,30,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 0.00
#
 9,           explore,25,  0.34,  0.07,         --- *  --   |                   ,  0.17,  0.48, 15.23
#
10,            random,25,  0.34,  0.08,         ---  * --   |                   ,  0.22,  0.43, 0.00
10,           exploit,30,  0.35,  0.07,            - * ---  |                   ,  0.16,  0.48, 18.98
10,            random,30,  0.36,  0.07,            - * ---  |                   ,  0.24,  0.46, 0.00
#
11,       LLM/exploit,25,  0.38,  0.04,            -- *--   |                   ,  0.24,  0.45, 95.71
11,           exploit,20,  0.38,  0.06,            -- * --- |                   ,  0.31,  0.50, 19.72
11,       LLM/explore,20,  0.38,  0.04,           ----* --- |                   ,  0.24,  0.50, 163.30
11,       LLM/exploit,30,  0.38,  0.07,           --- * --  |                   ,  0.20,  0.51, 93.53
#
12,       LLM/exploit,20,  0.38,  0.06,          ----  *-   |                   ,  0.27,  0.50, 274.12
12,           explore,20,  0.39,  0.11,          --    * ---|                   ,  0.26,  0.54, 34.93
12,           exploit,25,  0.39,  0.13,         --     * -- |                   ,  0.24,  0.47, 15.19
12,           explore,30,  0.39,  0.06,           ---  *    |                   ,  0.25,  0.49, 19.03
12,            random,20,  0.40,  0.06,           ---- * ---|                   ,  0.23,  0.49, 0.00
12,       LLM/explore,30,  0.40,  0.04,              --*--- |                   ,  0.32,  0.49, 95.53
#
13,       LLM/explore,25,  0.42,  0.06,            ---  *---|                   ,  0.29,  0.52, 95.20
#
14,       baseline,65536,  0.44,  0.10,            ----  *  |--                 ,  0.10,  0.68, 0.32
#
15,               rrp,17,  0.57,  0.21,             -----   |   *   ----        ,  0.29,  0.87, 72.84
