20
25
30
#
 0,            PI_GPM,25,  0.02,  0.00, *                   |                   ,  0.02,  0.02, 0.00
#
 1,           UCB_GPM,25,  0.02,  0.00, *                   |                   ,  0.02,  0.02, 0.01
#
 2,            EI_GPM,30,  0.02,  0.00, *                   |                   ,  0.02,  0.02, 0.00
#
 3,            EI_GPM,25,  0.02,  0.00, *                   |                   ,  0.02,  0.02, 0.00
#
 4,            EI_GPM,20,  0.04,  0.00,  *                  |                   ,  0.04,  0.04, 0.00
#
 5,            PI_GPM,30,  0.04,  0.00,  *                  |                   ,  0.04,  0.04, 0.00
#
 6,           UCB_GPM,30,  0.05,  0.00,   *                 |                   ,  0.05,  0.05, 0.00
#
 7,            PI_GPM,20,  0.06,  0.00,   *                 |                   ,  0.06,  0.06, 0.00
#
 8,           UCB_GPM,20,  0.06,  0.00,   *                 |                   ,  0.06,  0.06, 0.00
#
 9,       LLM/exploit,25,  0.12,  0.03,   --*----           |                   ,  0.04,  0.27, 64.11
 9,       LLM/exploit,30,  0.13,  0.07,  --- *--            |                   ,  0.00,  0.30, 29.60
 9,            random,30,  0.13,  0.05,    - *--            |                   ,  0.05,  0.23, 0.00
 9,            random,25,  0.13,  0.08,   -- * --           |                   ,  0.04,  0.24, 0.00
 9,       LLM/exploit,20,  0.14,  0.08,   -- * --           |                   ,  0.05,  0.30, 39.33
 9,           exploit,30,  0.14,  0.10,  --- *  --          |                   ,  0.04,  0.28, 4.49
#
10,           exploit,20,  0.15,  0.10,   -- *  ---         |                   ,  0.04,  0.39, 3.84
10,       LLM/explore,30,  0.15,  0.07,   --  *--           |                   ,  0.04,  0.29, 29.31
10,           explore,20,  0.16,  0.10,     - * ---         |                   ,  0.01,  0.35, 2.69
10,           explore,30,  0.16,  0.08,   --  *----         |                   ,  0.04,  0.29, 3.79
10,       LLM/explore,25,  0.16,  0.08,    -  *--           |                   ,  0.04,  0.31, 54.94
10,           explore,25,  0.18,  0.09,    -   *---         |                   ,  0.05,  0.29, 7.07
#
11,       LLM/explore,20,  0.18,  0.08,     -  *--          |                   ,  0.07,  0.27, 64.27
11,            random,20,  0.18,  0.07,     -  *---         |                   ,  0.07,  0.31, 0.00
#
12,           exploit,25,  0.22,  0.07,     --  *-          |                   ,  0.05,  0.28, 7.26
#
13,               rrp,14,  0.39,  0.15,        ----    * ---|                   ,  0.11,  0.67, 8.64
#
14,       baseline,10000,  0.44,  0.16,          -----   *  |-----              ,  0.03,  1.00, 0.03
