20
25
30
#
 0,            EI_GPM,20,  0.05,  0.00, *                   |                   ,  0.05,  0.05, 0.00
#
 1,           UCB_GPM,25,  0.05,  0.00, *                   |                   ,  0.05,  0.05, 0.02
#
 2,           UCB_GPM,30,  0.05,  0.00, *                   |                   ,  0.05,  0.05, 0.00
#
 3,            PI_GPM,25,  0.06,  0.00, *                   |                   ,  0.06,  0.06, 0.01
#
 4,            EI_GPM,30,  0.07,  0.00,  *                  |                   ,  0.07,  0.07, 0.00
#
 5,           UCB_GPM,20,  0.07,  0.00,  *                  |                   ,  0.07,  0.07, 0.00
#
 6,            EI_GPM,25,  0.08,  0.00,  *                  |                   ,  0.08,  0.08, 0.00
#
 7,            PI_GPM,30,  0.10,  0.00,   *                 |                   ,  0.10,  0.10, 0.00
#
 8,            PI_GPM,20,  0.12,  0.00,    *                |                   ,  0.12,  0.12, 0.00
#
 9,       LLM/exploit,25,  0.14,  0.07,  ---*  ---          |                   ,  0.06,  0.33, 69.24
 9,       LLM/explore,30,  0.15,  0.08,  ---*  ----         |                   ,  0.07,  0.37, 35.05
#
10,       LLM/exploit,20,  0.16,  0.06,    - *--            |                   ,  0.10,  0.26, 54.79
10,           exploit,25,  0.16,  0.06,      *--            |                   ,  0.09,  0.27, 8.31
10,            random,30,  0.17,  0.05,   -- *-----         |                   ,  0.07,  0.33, 0.00
10,       LLM/exploit,30,  0.17,  0.06,   -  *-----         |                   ,  0.05,  0.31, 34.63
10,       LLM/explore,25,  0.18,  0.05,   ---* -            |                   ,  0.04,  0.30, 53.41
10,           explore,20,  0.18,  0.08,     - *             |                   ,  0.12,  0.29, 2.48
10,           explore,25,  0.19,  0.08,    -  *----         |                   ,  0.06,  0.38, 6.89
10,           explore,30,  0.19,  0.09,    -- * --          |                   ,  0.07,  0.33, 3.96
10,       LLM/explore,20,  0.19,  0.09,    -- * --          |                   ,  0.09,  0.33, 85.80
10,           exploit,30,  0.21,  0.11,        *-           |                   ,  0.10,  0.32, 3.98
#
11,            random,25,  0.21,  0.11,   --   *--          |                   ,  0.06,  0.30, 0.00
11,           exploit,20,  0.22,  0.09,    -   *--          |                   ,  0.08,  0.33, 2.64
#
12,            random,20,  0.25,  0.08,     --  * -         |                   ,  0.13,  0.34, 0.00
#
13,               rrp,14,  0.38,  0.16,         --    *  ---|--------           ,  0.12,  0.75, 18.67
#
14,       baseline,10000,  0.45,  0.15,         -----   *  -|----               ,  0.07,  1.00, 0.01
