20
25
30
#
 0,            EI_GPM,30,  0.07,  0.00, *                   |                   ,  0.07,  0.07, 0.00
#
 1,           UCB_GPM,25,  0.11,  0.00,  *                  |                   ,  0.11,  0.11, 0.02
#
 2,           UCB_GPM,20,  0.11,  0.00,  *                  |                   ,  0.11,  0.11, 0.00
#
 3,           UCB_GPM,30,  0.11,  0.00,  *                  |                   ,  0.11,  0.11, 0.00
#
 4,            PI_GPM,25,  0.12,  0.00,  *                  |                   ,  0.12,  0.12, 0.00
#
 5,            EI_GPM,20,  0.12,  0.00,   *                 |                   ,  0.12,  0.12, 0.00
#
 6,            EI_GPM,25,  0.15,  0.00,    *                |                   ,  0.15,  0.15, 0.00
#
 7,            PI_GPM,20,  0.20,  0.00,      *              |                   ,  0.20,  0.20, 0.00
#
 8,            PI_GPM,30,  0.22,  0.00,       *             |                   ,  0.22,  0.22, 0.00
#
 9,       LLM/exploit,20,  0.26,  0.07,      -- * ---       |                   ,  0.14,  0.45, 41.24
#
10,       LLM/exploit,30,  0.27,  0.08,       - *  -        |                   ,  0.18,  0.38, 29.90
#
11,       LLM/explore,20,  0.27,  0.09,       - *  -        |                   ,  0.20,  0.41, 67.37
11,            random,30,  0.28,  0.05,        -* -         |                   ,  0.18,  0.39, 0.00
11,           explore,20,  0.28,  0.04,        -* ------    |                   ,  0.22,  0.50, 2.23
11,           exploit,30,  0.28,  0.06,       -  *-         |                   ,  0.21,  0.35, 3.40
11,            random,25,  0.28,  0.07,        - * -------  |                   ,  0.20,  0.50, 0.00
11,           exploit,25,  0.28,  0.03,        - *-         |                   ,  0.18,  0.38, 7.70
11,            random,20,  0.29,  0.09,       -  * ---------|--                 ,  0.19,  0.61, 0.00
#
12,           explore,25,  0.29,  0.07,        --*  ---     |                   ,  0.14,  0.50, 8.72
12,       LLM/explore,25,  0.29,  0.09,       -- *  -       |                   ,  0.18,  0.42, 53.84
12,           explore,30,  0.29,  0.06,       -- * -        |                   ,  0.17,  0.41, 3.57
12,       LLM/explore,30,  0.31,  0.05,       --- *--       |                   ,  0.18,  0.41, 29.04
12,       LLM/exploit,25,  0.31,  0.11,      -    *--       |                   ,  0.14,  0.40, 62.23
12,           exploit,20,  0.33,  0.04,        --  *---     |                   ,  0.21,  0.46, 2.36
#
13,               rrp,14,  0.43,  0.15,        -----   *  --|--                 ,  0.19,  0.61, 8.04
#
14,       baseline,10000,  0.59,  0.13,             -----   | *------------     ,  0.14,  1.00, 0.01
