#
 0,            PI_GPM,25,  0.04,  0.00,  *                  |                   ,  0.04,  0.04, 0.00
#
 1,           UCB_GPM,25,  0.05,  0.00,   *                 |                   ,  0.05,  0.05, 0.00
#
 2,            PI_GPM,20,  0.12,  0.00,      *              |                   ,  0.12,  0.12, 0.00
#
 3,       LLM/explore,25,  0.13,  0.06,    --* --           |                   ,  0.07,  0.23, 109.68
 3,           UCB_GPM,15,  0.13,  0.00,      *              |                   ,  0.13,  0.13, 0.00
 3,            EI_GPM,25,  0.13,  0.00,      *              |                   ,  0.13,  0.13, 0.00
 3,       LLM/explore,20,  0.14,  0.05,    - *--            |                   ,  0.05,  0.23, 107.61
 3,       LLM/exploit,20,  0.14,  0.04, -----*--            |                   ,  0.00,  0.25, 108.77
 3,            random,25,  0.14,  0.06,       * -           |                   ,  0.05,  0.23, 0.00
 3,       LLM/exploit,15,  0.14,  0.04,     - *-            |                   ,  0.05,  0.20, 137.64
 3,       LLM/explore,15,  0.14,  0.04,    -- *-----        |                   ,  0.00,  0.29, 115.96
 3,           UCB_GPM,20,  0.14,  0.00,       *             |                   ,  0.14,  0.14, 0.00
 3,            EI_GPM,20,  0.14,  0.00,       *             |                   ,  0.14,  0.14, 0.00
 3,       LLM/exploit,25,  0.15,  0.02,    -- *-            |                   ,  0.07,  0.22, 107.71
 3,            random,20,  0.15,  0.03,    -- *-            |                   ,  0.04,  0.26, 0.00
#
 4,            random,15,  0.16,  0.05,      -* ---         |                   ,  0.07,  0.31, 0.00
 4,           exploit,20,  0.16,  0.04,      -*-            |                   ,  0.05,  0.20, 2.77
 4,           exploit,25,  0.17,  0.05,      - *-           |                   ,  0.02,  0.29, 3.62
#
 5,            EI_GPM,15,  0.18,  0.00,        *            |                   ,  0.18,  0.18, 0.00
 5,           exploit,15,  0.18,  0.05,      - *---         |                   ,  0.12,  0.31, 2.05
 5,           explore,25,  0.18,  0.07,        *--          |                   ,  0.05,  0.28, 3.62
#
 6,           explore,20,  0.19,  0.08,         * -         |                   ,  0.09,  0.30, 2.86
#
 7,           explore,15,  0.21,  0.07,         * ---       |                   ,  0.14,  0.35, 2.09
 7,            PI_GPM,15,  0.22,  0.00,          *          |                   ,  0.22,  0.22, 0.00
 7,               rrp,13,  0.24,  0.05,        -- *---------|---                ,  0.15,  0.67, 29.42
#
 8,        baseline,4653,  0.48,  0.13,                ---  *  ----------       ,  0.18,  0.92, 0.01
