#
 0,       LLM/exploit,25,  0.01,  0.04, * -                 |                   ,  0.00,  0.07, 21.97
 0,       LLM/exploit,15,  0.03,  0.03,  *---               |                   ,  0.00,  0.10, 23.25
#
 1,       LLM/exploit,20,  0.03,  0.04,  *-                 |                   ,  0.00,  0.08, 20.84
#
 2,            EI_GPM,25,  0.04,  0.00,   *                 |                   ,  0.04,  0.04, 0.00
#
 3,            EI_GPM,20,  0.04,  0.00,   *                 |                   ,  0.04,  0.04, 0.00
 3,       LLM/explore,15,  0.05,  0.03,  - *-----           |                   ,  0.01,  0.18, 26.07
 3,       LLM/explore,25,  0.05,  0.05,  - * --             |                   ,  0.03,  0.13, 19.76
#
 4,           UCB_GPM,20,  0.06,  0.00,    *                |                   ,  0.06,  0.06, 0.00
 4,           UCB_GPM,15,  0.07,  0.00,     *               |                   ,  0.07,  0.07, 0.00
 4,           explore,25,  0.07,  0.09, --  *  --           |                   ,  0.00,  0.17, 1.74
#
 5,       LLM/explore,20,  0.07,  0.05,     *---            |                   ,  0.03,  0.14, 23.35
 5,           UCB_GPM,25,  0.08,  0.00,     *               |                   ,  0.08,  0.08, 0.00
#
 6,            random,20,  0.08,  0.02,   - *--             |                   ,  0.04,  0.14, 0.00
 6,            random,25,  0.08,  0.05,  -- * --            |                   ,  0.00,  0.16, 0.00
 6,           exploit,15,  0.08,  0.04,  -- * --------      |                   ,  0.00,  0.27, 0.76
 6,               rrp,11,  0.08,  0.08,  -  *  --           |                   ,  0.00,  0.16, 1.76
 6,            random,15,  0.09,  0.05,   -  *--            |                   ,  0.03,  0.17, 0.00
#
 7,            PI_GPM,20,  0.09,  0.00,      *              |                   ,  0.09,  0.09, 0.00
 7,           exploit,25,  0.10,  0.08, -    *--            |                   ,  0.00,  0.24, 1.05
 7,           exploit,20,  0.11,  0.06,  --   *---          |                   ,  0.01,  0.23, 0.81
#
 8,            PI_GPM,25,  0.11,  0.00,       *             |                   ,  0.11,  0.11, 0.00
#
 9,           explore,20,  0.13,  0.08,   --   *-----       |                   ,  0.03,  0.43, 0.88
 9,           explore,15,  0.13,  0.05,    --  *-------     |                   ,  0.05,  0.33, 1.09
#
10,            PI_GPM,15,  0.13,  0.00,        *            |                   ,  0.13,  0.13, 0.00
#
11,            EI_GPM,15,  0.20,  0.00,            *        |                   ,  0.20,  0.20, 0.00
#
12,        baseline,1343,  0.29,  0.15,          ---     *  |-------            ,  0.03,  0.67, 0.02
