#
 0,           UCB_GPM,25,  0.39,  0.00, *                   |                   ,  0.39,  0.39, 0.00
#
 1,            EI_GPM,15,  0.45,  0.00,     *               |                   ,  0.45,  0.45, 0.00
#
 2,            EI_GPM,20,  0.45,  0.00,     *               |                   ,  0.45,  0.45, 0.00
#
 3,            PI_GPM,20,  0.47,  0.00,      *              |                   ,  0.47,  0.47, 0.00
#
 4,       LLM/exploit,20,  0.49,  0.07,       * ------      |                   ,  0.39,  0.60, 18.22
 4,           exploit,25,  0.49,  0.06,      -*   ------    |                   ,  0.39,  0.69, 1.13
#
 5,       LLM/exploit,25,  0.49,  0.11,       *    ---      |                   ,  0.39,  0.63, 18.63
#
 6,           exploit,20,  0.52,  0.14,         *           |                   ,  0.39,  0.69, 0.55
#
 7,           explore,20,  0.52,  0.14,     --  *           |                   ,  0.39,  0.72, 0.62
 7,            random,25,  0.54,  0.05,       -- * -----    |                   ,  0.39,  0.64, 0.00
 7,           explore,25,  0.55,  0.12,     -     *  ----   |                   ,  0.39,  0.70, 1.25
 7,           exploit,15,  0.57,  0.08,       --   *  ----- |                   ,  0.39,  0.69, 1.24
#
 8,           UCB_GPM,15,  0.57,  0.00,             *       |                   ,  0.57,  0.57, 0.00
#
 9,            PI_GPM,15,  0.57,  0.00,             *       |                   ,  0.57,  0.57, 0.00
#
10,           explore,15,  0.57,  0.13,     ----    *   --  |                   ,  0.39,  0.71, 1.08
10,           UCB_GPM,20,  0.57,  0.00,             *       |                   ,  0.57,  0.57, 0.00
10,       LLM/explore,20,  0.57,  0.15,             * -     |                   ,  0.39,  0.63, 17.04
10,            PI_GPM,25,  0.57,  0.00,             *       |                   ,  0.57,  0.57, 0.00
10,            EI_GPM,25,  0.57,  0.00,             *       |                   ,  0.57,  0.57, 0.00
10,       LLM/explore,25,  0.57,  0.06,     ------  * -     |                   ,  0.45,  0.63, 17.75
10,            random,15,  0.59,  0.09,       ----   *  -   |                   ,  0.39,  0.66, 0.00
10,            random,20,  0.59,  0.08,       ---    *---   |                   ,  0.39,  0.66, 0.00
10,       LLM/exploit,15,  0.60,  0.13,     -         *     |                   ,  0.39,  0.63, 19.55
10,       LLM/explore,15,  0.60,  0.07,     -----     *     |                   ,  0.39,  0.63, 22.24
#
11,                rrp,9,  0.66,  0.08,                -  * | ------            ,  0.39,  0.99, 0.40
#
12,         baseline,196,  0.74,  0.11,              ------ |  *   ------------ ,  0.39,  1.00, 0.00
