#
 0,            EI_GPM,25,  0.25,  0.00,      *              |                   ,  0.25,  0.25, 0.00
 0,       LLM/exploit,20,  0.27,  0.06,  ---- * ---         |                   ,  0.17,  0.39, 20.09
 0,       LLM/exploit,25,  0.27,  0.18, -     *   -         |                   ,  0.13,  0.39, 20.71
#
 1,           UCB_GPM,15,  0.29,  0.00,        *            |                   ,  0.29,  0.29, 0.00
 1,            PI_GPM,15,  0.30,  0.00,        *            |                   ,  0.30,  0.30, 0.00
 1,       LLM/exploit,15,  0.31,  0.15, -----  *   ---      |                   ,  0.13,  0.48, 21.15
 1,            random,25,  0.31,  0.05,   ---- *----        |                   ,  0.13,  0.41, 0.00
 1,               rrp,11,  0.31,  0.12,   -    * ------     |                   ,  0.18,  0.75, 0.99
 1,           UCB_GPM,20,  0.31,  0.00,        *            |                   ,  0.31,  0.31, 0.00
 1,           explore,25,  0.31,  0.12,  ----- *   -        |                   ,  0.13,  0.44, 0.89
 1,            random,20,  0.31,  0.11,  -----  *  --       |                   ,  0.17,  0.42, 0.00
 1,       LLM/explore,15,  0.31,  0.11, -----   * ---       |                   ,  0.13,  0.43, 23.89
 1,            PI_GPM,20,  0.32,  0.00,         *           |                   ,  0.32,  0.32, 0.00
#
 2,            PI_GPM,25,  0.32,  0.00,         *           |                   ,  0.32,  0.32, 0.00
 2,            random,15,  0.33,  0.08,    -----*   --      |                   ,  0.18,  0.47, 0.00
 2,           explore,20,  0.33,  0.10,    ----  *  -       |                   ,  0.15,  0.45, 0.87
 2,       LLM/explore,20,  0.34,  0.08, -------- *  -----   |                   ,  0.13,  0.52, 19.83
 2,           explore,15,  0.35,  0.08,      ----*   -      |                   ,  0.15,  0.50, 1.27
 2,       LLM/explore,25,  0.35,  0.23, -        *  --      |                   ,  0.13,  0.46, 19.82
 2,           exploit,15,  0.35,  0.07,  -------  *-        |                   ,  0.15,  0.44, 1.52
 2,           exploit,20,  0.35,  0.13,  -----    * --      |                   ,  0.15,  0.48, 0.96
#
 3,            EI_GPM,15,  0.39,  0.00,            *        |                   ,  0.39,  0.39, 0.00
 3,            EI_GPM,20,  0.39,  0.00,            *        |                   ,  0.39,  0.39, 0.00
 3,           exploit,25,  0.39,  0.17,  -----     *  -     |                   ,  0.13,  0.51, 0.88
 3,           UCB_GPM,25,  0.41,  0.00,             *       |                   ,  0.41,  0.41, 0.00
#
 4,         baseline,756,  0.55,  0.26,            ----    *|      ------------ ,  0.17,  1.00, 0.00
