#
 0,           UCB_GPM,25,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 0.00
 0,            PI_GPM,25,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 0.00
 0,            PI_GPM,15,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 0.00
 0,       LLM/exploit,15,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 16.19
 0,       LLM/explore,15,  0.30,  0.14, *       ----        |                   ,  0.30,  0.74, 17.93
 0,           UCB_GPM,20,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 0.00
 0,            PI_GPM,20,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 0.00
 0,            EI_GPM,20,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 0.00
 0,           exploit,20,  0.30,  0.14, *       ----        |                   ,  0.30,  0.51, 0.63
 0,       LLM/exploit,20,  0.30,  0.00, *-------            |                   ,  0.30,  0.78, 16.64
#
 1,       LLM/explore,20,  0.30,  0.14, *       ------------|--                 ,  0.30,  0.94, 16.93
 1,            EI_GPM,25,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 0.00
#
 2,           exploit,25,  0.30,  0.14, *       ----        |                   ,  0.30,  0.51, 0.87
#
 3,       LLM/exploit,25,  0.30,  0.00, *                   |                   ,  0.30,  0.44, 16.54
#
 4,       LLM/explore,25,  0.44,  0.15,         *-------    |                   ,  0.30,  0.67, 16.83
#
 5,           UCB_GPM,15,  0.44,  0.00,         *           |                   ,  0.44,  0.44, 0.00
#
 6,            EI_GPM,15,  0.44,  0.00,         *           |                   ,  0.44,  0.44, 0.00
#
 7,            random,15,  0.45,  0.35,         *           |                   ,  0.30,  0.74, 0.00
#
 8,                rrp,9,  0.47,  0.07, -------- *  --------|                   ,  0.30,  0.86, 0.18
 8,            random,20,  0.47,  0.07, -------- *  --------|                   ,  0.30,  0.67, 0.00
 8,            random,25,  0.47,  0.21,          *  ------- |                   ,  0.30,  0.72, 0.00
 8,           exploit,15,  0.50,  0.15, --------   *     ---|------             ,  0.30,  0.79, 0.43
#
 9,           explore,15,  0.59,  0.20,         ---     *   | ------            ,  0.30,  0.95, 0.44
#
10,           explore,25,  0.70,  0.24, ------------        | *   -------       ,  0.30,  0.93, 0.88
10,           explore,20,  0.72,  0.22,            ------   |  *     -------    ,  0.44,  0.99, 0.64
#
11,         baseline,259,  0.95,  0.12,                  ---|----------     * - ,  0.30,  1.00, 0.00
