#
 0,       LLM/exploit,25,  0.01,  0.05, *-----------        |                   ,  0.00,  0.33, 25.68
 0,            EI_GPM,20,  0.02,  0.00, *                   |                   ,  0.02,  0.02, 0.00
 0,           UCB_GPM,25,  0.02,  0.00, *                   |                   ,  0.02,  0.02, 0.00
#
 1,            random,25,  0.08,  0.23,  - *       --       |                   ,  0.01,  0.37, 0.00
#
 2,       LLM/explore,25,  0.15,  0.29,      *      -       |                   ,  0.00,  0.34, 25.58
 2,           exploit,25,  0.17,  0.30, -     *             |                   ,  0.00,  0.36, 1.43
 2,           exploit,20,  0.18,  0.26,        *   --       |                   ,  0.00,  0.34, 1.17
 2,           exploit,15,  0.23,  0.26, --       *  --      |                   ,  0.00,  0.39, 2.05
 2,            random,15,  0.27,  0.14,  -----    * -       |                   ,  0.01,  0.34, 0.00
#
 3,               rrp,11,  0.27,  0.28, --        *  ----   |                   ,  0.01,  0.45, 2.16
 3,       LLM/explore,15,  0.27,  0.18, -----     *  -      |                   ,  0.01,  0.36, 30.61
#
 4,            PI_GPM,15,  0.28,  0.00,            *        |                   ,  0.28,  0.28, 0.00
 4,            random,20,  0.28,  0.25, ---        * -      |                   ,  0.00,  0.35, 0.00
 4,            PI_GPM,25,  0.28,  0.00,            *        |                   ,  0.28,  0.28, 0.00
 4,           explore,15,  0.29,  0.26, --         *---     |                   ,  0.00,  0.42, 1.99
 4,            EI_GPM,25,  0.30,  0.00,            *        |                   ,  0.30,  0.30, 0.00
 4,            PI_GPM,20,  0.30,  0.00,             *       |                   ,  0.30,  0.30, 0.00
 4,       LLM/exploit,20,  0.30,  0.07, ----------  *       |                   ,  0.00,  0.33, 25.81
 4,       LLM/explore,20,  0.31,  0.05, ----------  *       |                   ,  0.01,  0.34, 27.99
 4,       LLM/exploit,15,  0.31,  0.31,             *       |                   ,  0.00,  0.33, 27.09
 4,           explore,25,  0.32,  0.05, ----------  *-      |                   ,  0.00,  0.36, 1.45
 4,           UCB_GPM,20,  0.32,  0.00,             *       |                   ,  0.32,  0.32, 0.00
 4,           UCB_GPM,15,  0.32,  0.00,             *       |                   ,  0.32,  0.32, 0.01
 4,           explore,20,  0.33,  0.25, ---          *      |                   ,  0.00,  0.38, 0.99
 4,            EI_GPM,15,  0.35,  0.00,              *      |                   ,  0.35,  0.35, 0.00
#
 5,        baseline,1080,  0.43,  0.09,             ---  * -|-----              ,  0.00,  1.00, 0.00
