#
 0,            EI_GPM,25,  0.03,  0.00, *                   |                   ,  0.03,  0.03, 0.00
#
 1,           UCB_GPM,15,  0.04,  0.00, *                   |                   ,  0.04,  0.04, 0.00
#
 2,       LLM/exploit,20,  0.05,  0.03, *--------------     |                   ,  0.03,  0.44, 45.04
 2,       LLM/exploit,15,  0.06,  0.02,  *                  |                   ,  0.03,  0.14, 43.52
 2,       LLM/exploit,25,  0.06,  0.03,  *--                |                   ,  0.03,  0.29, 35.04
#
 3,            PI_GPM,25,  0.06,  0.00,  *                  |                   ,  0.06,  0.06, 0.00
#
 4,            EI_GPM,15,  0.07,  0.00,  *                  |                   ,  0.07,  0.07, 0.00
#
 5,            PI_GPM,20,  0.08,  0.00,  *                  |                   ,  0.08,  0.08, 0.00
#
 6,            EI_GPM,20,  0.08,  0.00,   *                 |                   ,  0.08,  0.08, 0.00
 6,            PI_GPM,15,  0.09,  0.00,   *                 |                   ,  0.09,  0.09, 0.00
 6,           UCB_GPM,25,  0.09,  0.00,   *                 |                   ,  0.09,  0.09, 0.00
 6,               rrp,13,  0.09,  0.04,   *----------       |                   ,  0.03,  0.73, 8.47
#
 7,           UCB_GPM,20,  0.09,  0.00,   *                 |                   ,  0.09,  0.09, 0.01
 7,       LLM/explore,20,  0.09,  0.03, - *--               |                   ,  0.03,  0.29, 36.76
 7,           exploit,25,  0.10,  0.31, --*            -----|-----              ,  0.03,  0.84, 1.97
 7,       LLM/explore,25,  0.10,  0.07, - * ------------    |                   ,  0.03,  0.47, 34.36
 7,            random,20,  0.11,  0.05,    *---------       |                   ,  0.05,  0.38, 0.00
 7,       LLM/explore,15,  0.11,  0.03,  - *--------------  |                   ,  0.06,  0.47, 38.69
 7,            random,25,  0.12,  0.04,  --*--------        |                   ,  0.05,  0.35, 0.00
#
 8,           explore,25,  0.13,  0.32,  -  *          -----|-----              ,  0.05,  0.72, 1.97
 8,            random,15,  0.16,  0.22,  --  *      ----    |                   ,  0.06,  0.47, 0.00
 8,           explore,20,  0.29,  0.32,  -        *    -----|---                ,  0.04,  0.73, 2.19
 8,           exploit,20,  0.32,  0.31,  --         *  -    |                   ,  0.04,  0.84, 3.13
#
 9,           exploit,15,  0.33,  0.40,  --------   *       |    -------        ,  0.06,  0.83, 1.70
 9,           explore,15,  0.36,  0.29,   --         *  ----|-----------        ,  0.07,  0.83, 2.21
#
10,        baseline,3840,  0.85,  0.04,                     |            * ---- ,  0.79,  1.00, 0.03
