#
 0,            EI_GPM,25,  0.12,  0.00,      *              |                   ,  0.12,  0.12, 0.00
#
 1,            PI_GPM,15,  0.14,  0.00,       *             |                   ,  0.14,  0.14, 0.00
#
 2,            PI_GPM,20,  0.15,  0.00,        *            |                   ,  0.15,  0.15, 0.00
#
 3,           UCB_GPM,25,  0.16,  0.00,        *            |                   ,  0.16,  0.16, 0.00
#
 4,       LLM/explore,25,  0.17,  0.10,      -- *    --     |                   ,  0.10,  0.36, 331.42
 4,       LLM/explore,15,  0.18,  0.07,      --  * ---      |                   ,  0.07,  0.27, 327.71
#
 5,            PI_GPM,25,  0.18,  0.00,          *          |                   ,  0.18,  0.18, 0.00
#
 6,       LLM/exploit,25,  0.18,  0.08,     ---- *          |                   ,  0.10,  0.26, 325.96
 6,       LLM/explore,20,  0.18,  0.10,       -  *    -     |                   ,  0.12,  0.28, 330.66
 6,            random,25,  0.20,  0.02,        -- *-----    |                   ,  0.14,  0.29, 0.00
#
 7,            random,15,  0.21,  0.07,         -- *  --    |                   ,  0.07,  0.29, 0.00
 7,               rrp,17,  0.22,  0.19,       --   *        |---                ,  0.10,  0.41, 114.63
 7,       LLM/exploit,15,  0.23,  0.07,        --   *       |                   ,  0.07,  0.27, 335.42
#
 8,           UCB_GPM,20,  0.23,  0.00,             *       |                   ,  0.23,  0.23, 0.00
 8,            random,20,  0.25,  0.07,        --    *-     |                   ,  0.13,  0.28, 0.00
 8,       LLM/exploit,20,  0.25,  0.07,      ----     *     |                   ,  0.11,  0.36, 327.43
#
 9,           exploit,20,  0.25,  0.00,              -*     |                   ,  0.04,  0.26, 12.06
#
10,           explore,25,  0.25,  0.09,        --     *     |                   ,  0.07,  0.27, 15.39
10,           exploit,25,  0.25,  0.00,          -----*     |                   ,  0.13,  0.28, 16.09
10,           exploit,15,  0.26,  0.02,              -*-    |                   ,  0.16,  0.29, 10.09
10,           explore,20,  0.26,  0.07,         --    *     |                   ,  0.12,  0.28, 12.21
10,           explore,15,  0.26,  0.02,        -------*-    |                   ,  0.15,  0.36, 10.38
10,           UCB_GPM,15,  0.26,  0.00,               *     |                   ,  0.26,  0.26, 0.00
#
11,            EI_GPM,20,  0.26,  0.00,               *     |                   ,  0.26,  0.26, 0.00
#
12,            EI_GPM,15,  0.27,  0.00,                *    |                   ,  0.27,  0.27, 0.00
#
13,       baseline,53662,  0.37,  0.02,                    -|*--                ,  0.14,  0.64, 0.14
