#
 0,            EI_GPM,15,  0.17,  0.00, *                   |                   ,  0.17,  0.17, 0.00
#
 1,            EI_GPM,25,  0.18,  0.00, *                   |                   ,  0.18,  0.18, 0.00
#
 2,       LLM/exploit,20,  0.20,  0.11,  *   --             |                   ,  0.17,  0.33, 36.47
 2,       LLM/exploit,25,  0.21,  0.11,   *  --             |                   ,  0.17,  0.34, 33.05
 2,       LLM/exploit,15,  0.21,  0.06,   *---              |                   ,  0.17,  0.31, 39.02
 2,            PI_GPM,20,  0.21,  0.00,   *                 |                   ,  0.21,  0.21, 0.00
#
 3,           UCB_GPM,25,  0.22,  0.00,   *                 |                   ,  0.22,  0.22, 0.00
 3,       LLM/explore,20,  0.24,  0.09, -- *  --            |                   ,  0.17,  0.35, 33.90
#
 4,           UCB_GPM,20,  0.24,  0.00,    *                |                   ,  0.24,  0.24, 0.00
#
 5,       LLM/explore,15,  0.26,  0.09,   - *  ---          |                   ,  0.17,  0.39, 34.27
 5,            random,20,  0.26,  0.05, --- * ---           |                   ,  0.18,  0.38, 0.00
#
 6,            EI_GPM,20,  0.27,  0.00,     *               |                   ,  0.27,  0.27, 0.00
#
 7,            random,25,  0.27,  0.05,  ---* -             |                   ,  0.17,  0.34, 0.00
 7,           exploit,15,  0.27,  0.08,  -  * ---           |                   ,  0.17,  0.37, 2.04
 7,            random,15,  0.28,  0.09,   -  * --           |                   ,  0.17,  0.39, 0.00
 7,       LLM/explore,25,  0.29,  0.08, ----  *-            |                   ,  0.17,  0.35, 32.14
#
 8,            PI_GPM,25,  0.29,  0.00,       *             |                   ,  0.29,  0.29, 0.00
 8,           exploit,25,  0.29,  0.09,  --   *--           |                   ,  0.17,  0.40, 1.44
 8,           explore,25,  0.30,  0.09, ----  * ---         |                   ,  0.17,  0.41, 1.52
 8,           exploit,20,  0.31,  0.06,   --   *--          |                   ,  0.21,  0.41, 2.14
#
 9,            PI_GPM,15,  0.33,  0.00,        *            |                   ,  0.33,  0.33, 0.00
 9,           explore,20,  0.33,  0.05,    --- * --         |                   ,  0.20,  0.42, 2.05
#
10,           explore,15,  0.35,  0.06,     --  *---        |                   ,  0.17,  0.51, 1.47
#
11,               rrp,11,  0.39,  0.10,      --   * -----   |                   ,  0.17,  0.56, 2.63
#
12,           UCB_GPM,15,  0.41,  0.00,            *        |                   ,  0.41,  0.41, 0.00
#
13,         baseline,972,  0.48,  0.10,            --  *  --|---                ,  0.28,  1.00, 0.00
