#
 0,            PI_GPM,25,  0.05,  0.00, *                   |                   ,  0.05,  0.05, 0.00
 0,            EI_GPM,25,  0.05,  0.00, *                   |                   ,  0.05,  0.05, 0.00
 0,       LLM/exploit,15,  0.05,  0.01, *-------            |                   ,  0.05,  0.26, 53.57
 0,       LLM/exploit,20,  0.05,  0.01, *-------            |                   ,  0.05,  0.31, 43.83
 0,           UCB_GPM,20,  0.05,  0.00, *                   |                   ,  0.05,  0.05, 0.00
 0,       LLM/exploit,25,  0.05,  0.01, *-                  |                   ,  0.05,  0.19, 44.63
 0,           UCB_GPM,25,  0.06,  0.00, *                   |                   ,  0.06,  0.06, 0.00
 0,            PI_GPM,15,  0.06,  0.00, *                   |                   ,  0.06,  0.06, 0.00
 0,           UCB_GPM,15,  0.06,  0.00, *                   |                   ,  0.06,  0.06, 0.00
 0,            EI_GPM,15,  0.06,  0.00, *                   |                   ,  0.06,  0.06, 0.00
 0,               rrp,12,  0.07,  0.02, *----               |                   ,  0.05,  0.24, 7.09
 0,            PI_GPM,20,  0.07,  0.00, *                   |                   ,  0.07,  0.07, 0.00
 0,       LLM/explore,15,  0.07,  0.02,  *---------         |                   ,  0.05,  0.31, 46.75
 0,            EI_GPM,20,  0.07,  0.00,  *                  |                   ,  0.07,  0.07, 0.00
 0,       LLM/explore,20,  0.07,  0.02,  *------            |                   ,  0.05,  0.32, 41.16
 0,       LLM/explore,25,  0.08,  0.02,  *--------          |                   ,  0.05,  0.31, 42.12
 0,            random,25,  0.08,  0.03,  *----              |                   ,  0.05,  0.24, 0.00
 0,            random,20,  0.09,  0.04,  *-----             |                   ,  0.05,  0.28, 0.00
 0,            random,15,  0.09,  0.12, - *   ----          |                   ,  0.06,  0.33, 0.00
 0,           exploit,25,  0.09,  0.17,   *     -           |                   ,  0.05,  0.27, 2.06
 0,           exploit,15,  0.10,  0.14, - *                 |                   ,  0.05,  0.28, 1.19
#
 1,           explore,15,  0.19,  0.14,  -    * ---         |                   ,  0.06,  0.49, 1.25
 1,           exploit,20,  0.20,  0.07, ------*  -          |                   ,  0.05,  0.29, 2.28
 1,           explore,25,  0.23,  0.17, -       *-------    |                   ,  0.05,  0.51, 2.39
 1,           explore,20,  0.24,  0.21, --      *  --       |                   ,  0.06,  0.44, 2.43
#
 2,        baseline,2736,  0.29,  0.11,  -------   * -------|-------            ,  0.05,  0.91, 0.00
