#
 0,           UCB_GPM,15,  0.13,  0.00,  *                  |                   ,  0.13,  0.13, 0.00
 0,            PI_GPM,15,  0.13,  0.00,  *                  |                   ,  0.13,  0.13, 0.00
 0,            EI_GPM,15,  0.13,  0.00,  *                  |                   ,  0.13,  0.13, 0.00
 0,       LLM/exploit,15,  0.13,  0.12,  *       -----      |                   ,  0.13,  0.37, 285.18
 0,       LLM/explore,15,  0.13,  0.00,  *------------------|-----              ,  0.13,  0.52, 277.17
 0,           UCB_GPM,20,  0.13,  0.00,  *                  |                   ,  0.13,  0.13, 0.00
 0,            PI_GPM,20,  0.13,  0.00,  *                  |                   ,  0.13,  0.13, 0.00
 0,            EI_GPM,20,  0.13,  0.00,  *                  |                   ,  0.13,  0.13, 0.00
 0,       LLM/exploit,20,  0.13,  0.18,  *          -----   |                   ,  0.13,  0.38, 284.68
 0,       LLM/explore,20,  0.13,  0.18,  *          --------|-----              ,  0.13,  0.63, 279.03
 0,           UCB_GPM,25,  0.13,  0.00,  *                  |                   ,  0.13,  0.13, 0.00
 0,            PI_GPM,25,  0.13,  0.00,  *                  |                   ,  0.13,  0.13, 0.00
 0,            EI_GPM,25,  0.13,  0.00,  *                  |                   ,  0.13,  0.13, 0.00
#
 1,       LLM/exploit,25,  0.13,  0.17,  *          ------  |                   ,  0.13,  0.48, 284.55
 1,       LLM/explore,25,  0.13,  0.00,  *------------------|                   ,  0.13,  0.52, 276.21
#
 2,           exploit,20,  0.36,  0.07,             --  * --|-                  ,  0.28,  0.45, 12.89
 2,           exploit,25,  0.36,  0.06,            ---  * --|-                  ,  0.22,  0.47, 16.19
 2,            random,20,  0.37,  0.06,             ---  * -|---                ,  0.22,  0.57, 0.00
 2,           exploit,15,  0.38,  0.07,            ----  *  |---                ,  0.24,  0.53, 19.39
 2,            random,25,  0.38,  0.04,            -----  *-|--                 ,  0.25,  0.51, 0.00
#
 3,            random,15,  0.39,  0.07,              ---  * |---                ,  0.28,  0.49, 0.00
#
 4,               rrp,17,  0.43,  0.14,            ------   |*    -------       ,  0.18,  0.74, 72.15
#
 5,       baseline,65536,  0.44,  0.10,              -----  |*  ---             ,  0.10,  0.68, 0.38
 5,           explore,20,  0.44,  0.09,                ---  |*  --              ,  0.19,  0.55, 12.55
 5,           explore,25,  0.45,  0.06,                ---- |* ----             ,  0.26,  0.66, 16.53
 5,           explore,15,  0.48,  0.06,                    -|  * ---            ,  0.40,  0.58, 12.52
