#
 0,           UCB_GPM,25,  0.01,  0.00, *                   |                   ,  0.01,  0.01, 0.00
#
 1,            EI_GPM,25,  0.02,  0.00, *                   |                   ,  0.02,  0.02, 0.00
#
 2,           UCB_GPM,15,  0.04,  0.00,   *                 |                   ,  0.04,  0.04, 0.02
#
 3,            PI_GPM,15,  0.04,  0.00,   *                 |                   ,  0.04,  0.04, 0.00
#
 4,            EI_GPM,15,  0.04,  0.00,   *                 |                   ,  0.04,  0.04, 0.00
#
 5,           UCB_GPM,20,  0.04,  0.00,   *                 |                   ,  0.04,  0.04, 0.00
#
 6,            PI_GPM,20,  0.04,  0.00,   *                 |                   ,  0.04,  0.04, 0.00
#
 7,            EI_GPM,20,  0.04,  0.00,   *                 |                   ,  0.04,  0.04, 0.00
#
 8,            PI_GPM,25,  0.04,  0.00,   *                 |                   ,  0.04,  0.04, 0.00
#
 9,       LLM/exploit,25,  0.25,  0.05,      -------- * ----|---                ,  0.10,  0.44, 282.29
#
10,       LLM/exploit,15,  0.26,  0.14,      --------  *    |-----              ,  0.00,  0.45, 287.31
#
11,           exploit,25,  0.27,  0.12,                *    |-----              ,  0.21,  0.46, 24.47
#
12,               rrp,17,  0.27,  0.10,              - *    |-                  ,  0.00,  0.41, 73.94
12,       LLM/explore,15,  0.27,  0.22,      --------- *    |      --           ,  0.01,  0.53, 273.16
12,       LLM/explore,25,  0.28,  0.16,   ------------- *   |   ----            ,  0.00,  0.51, 279.36
#
13,            random,25,  0.29,  0.07,               -  * -|---                ,  0.01,  0.45, 0.00
13,           exploit,20,  0.30,  0.10,              --- *  | ---               ,  0.23,  0.43, 16.93
13,            random,20,  0.30,  0.14,                - *  |    ---            ,  0.23,  0.51, 0.00
#
14,       LLM/exploit,20,  0.37,  0.16,              -      |* --               ,  0.10,  0.44, 285.55
#
15,           exploit,15,  0.40,  0.07,                -----|  * --             ,  0.24,  0.56, 26.83
15,            random,15,  0.42,  0.11,                 --- |   * -             ,  0.28,  0.49, 0.00
15,       LLM/explore,20,  0.43,  0.17,      -----------    |    *-----         ,  0.00,  0.57, 296.41
#
16,           explore,25,  0.43,  0.06,                    -|--  * ------       ,  0.27,  0.68, 24.83
16,           explore,15,  0.45,  0.04,                     |---- *-----        ,  0.28,  0.56, 19.98
16,           explore,20,  0.46,  0.18,                 -   |      *----        ,  0.25,  0.58, 17.66
#
17,       baseline,86058,  0.47,  0.06,                 ----|----  * ---        ,  0.04,  0.61, 0.23
