#
 0,            PI_GPM,15,  0.20,  0.00, *                   |                   ,  0.20,  0.20, 0.00
#
 1,            PI_GPM,20,  0.20,  0.00, *                   |                   ,  0.20,  0.20, 0.00
#
 2,            EI_GPM,25,  0.22,  0.00, *                   |                   ,  0.22,  0.22, 0.00
#
 3,           UCB_GPM,15,  0.23,  0.00,  *                  |                   ,  0.23,  0.23, 0.01
 3,       LLM/exploit,15,  0.23,  0.09,  *  ----            |                   ,  0.20,  0.40, 53.78
 3,            PI_GPM,25,  0.23,  0.00,  *                  |                   ,  0.23,  0.23, 0.00
#
 4,           UCB_GPM,20,  0.25,  0.00,   *                 |                   ,  0.25,  0.25, 0.00
#
 5,       LLM/exploit,20,  0.26,  0.14,    *  ----          |                   ,  0.20,  0.40, 48.70
 5,            EI_GPM,15,  0.28,  0.00,    *                |                   ,  0.28,  0.28, 0.00
#
 6,       LLM/explore,20,  0.28,  0.09, -- *  ----          |                   ,  0.20,  0.40, 46.01
 6,       LLM/exploit,25,  0.28,  0.06, ---*  ----          |                   ,  0.20,  0.40, 43.48
 6,           exploit,25,  0.32,  0.15, --    *             |                   ,  0.20,  0.40, 2.25
 6,           explore,25,  0.32,  0.11, ---   *  -          |                   ,  0.20,  0.40, 2.19
#
 7,            EI_GPM,20,  0.35,  0.00,        *            |                   ,  0.35,  0.35, 0.00
 7,           UCB_GPM,25,  0.35,  0.00,        *            |                   ,  0.35,  0.35, 0.00
 7,       LLM/explore,25,  0.35,  0.12,   -    *            |                   ,  0.20,  0.40, 43.29
#
 8,       LLM/explore,15,  0.37,  0.08, ------  *           |                   ,  0.20,  0.40, 50.25
 8,           explore,20,  0.37,  0.12, ---     *           |                   ,  0.20,  0.45, 1.66
 8,            random,20,  0.38,  0.08,   ----   *          |                   ,  0.20,  0.40, 0.00
#
 9,               rrp,12,  0.40,  0.03,   ------  *---------|                   ,  0.20,  0.80, 5.45
 9,            random,15,  0.40,  0.00,    -------*         |                   ,  0.22,  0.40, 0.00
 9,           exploit,15,  0.40,  0.14, ---       *         |                   ,  0.20,  0.42, 2.02
 9,           explore,15,  0.40,  0.00,       ----*         |                   ,  0.22,  0.48, 1.25
 9,           exploit,20,  0.40,  0.17, -         *         |                   ,  0.20,  0.40, 3.21
#
10,            random,25,  0.40,  0.14,   -       *         |                   ,  0.20,  0.43, 0.00
#
11,        baseline,1599,  0.60,  0.20,                     *                   ,  0.20,  1.00, 0.00
