#
 0,            PI_GPM,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,       LLM/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.20, 43.12
 0,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,       LLM/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 38.31
 0,            EI_GPM,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           UCB_GPM,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           exploit,25,  0.00,  0.01, *-------------      |                   ,  0.00,  0.21, 1.52
 0,       LLM/exploit,15,  0.00,  0.01, *                   |                   ,  0.00,  0.01, 45.22
#
 1,           exploit,20,  0.01,  0.01, *-------------      |                   ,  0.00,  0.21, 2.43
 1,            random,25,  0.01,  0.02, *--                 |                   ,  0.00,  0.05, 0.00
 1,            random,20,  0.01,  0.01, *--                 |                   ,  0.00,  0.05, 0.00
 1,           exploit,15,  0.02,  0.03,  *-------------     |                   ,  0.00,  0.28, 1.14
 1,               rrp,11,  0.02,  0.02,  *---               |                   ,  0.00,  0.09, 3.43
 1,            random,15,  0.02,  0.02,  *--                |                   ,  0.00,  0.10, 0.00
#
 2,           explore,25,  0.03,  0.03, - *-------------    |                   ,  0.00,  0.46, 1.52
 2,       LLM/explore,15,  0.03,  0.03, - *--               |                   ,  0.00,  0.09, 42.25
 2,       LLM/explore,25,  0.03,  0.03, - *                 |                   ,  0.00,  0.06, 39.35
 2,       LLM/explore,20,  0.04,  0.03, - *----             |                   ,  0.00,  0.11, 41.03
 2,           explore,15,  0.04,  0.05,  - * ---            |                   ,  0.00,  0.28, 1.50
#
 3,           explore,20,  0.06,  0.26,  -  *               |--                 ,  0.01,  0.38, 1.29
 3,        baseline,1152,  0.07,  0.06,  --  * -------------|-------            ,  0.00,  0.57, 0.00
