#
 0,            EI_GPM,15,  0.08,  0.00, *                   |                   ,  0.08,  0.08, 0.00
#
 1,           UCB_GPM,20,  0.08,  0.00, *                   |                   ,  0.08,  0.08, 0.01
#
 2,           UCB_GPM,25,  0.08,  0.00, *                   |                   ,  0.08,  0.08, 0.00
#
 3,            EI_GPM,25,  0.08,  0.00, *                   |                   ,  0.08,  0.08, 0.00
#
 4,           UCB_GPM,15,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 0.00
#
 5,            PI_GPM,15,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 0.00
#
 6,            PI_GPM,20,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 0.00
#
 7,            PI_GPM,25,  0.09,  0.00, *                   |                   ,  0.09,  0.09, 0.00
#
 8,            EI_GPM,20,  0.12,  0.00,  *                  |                   ,  0.12,  0.12, 0.00
#
 9,       LLM/exploit,15,  0.15,  0.02, --*-----            |                   ,  0.08,  0.28, 73.99
#
10,       LLM/exploit,25,  0.15,  0.11, --*    -            |                   ,  0.08,  0.28, 66.01
10,       LLM/exploit,20,  0.17,  0.02,    *----            |                   ,  0.12,  0.28, 67.87
#
11,            random,15,  0.26,  0.11,   ---- *  --------  |                   ,  0.09,  0.50, 0.00
#
12,           exploit,25,  0.26,  0.07,   ---  *----        |                   ,  0.12,  0.42, 1.84
12,       LLM/explore,15,  0.28,  0.00,    -----*           |                   ,  0.15,  0.28, 69.69
12,            random,20,  0.28,  0.06,    -----* ----------|                   ,  0.10,  0.56, 0.00
12,           exploit,20,  0.28,  0.11,   ----- *   ------  |                   ,  0.08,  0.58, 1.61
12,       LLM/explore,20,  0.28,  0.02,   ----- *           |                   ,  0.10,  0.28, 67.32
12,       LLM/explore,25,  0.28,  0.00,    -----*           |                   ,  0.15,  0.28, 64.96
#
13,           explore,25,  0.33,  0.20,   ----    *    --   |                   ,  0.09,  0.51, 1.73
#
14,            random,25,  0.36,  0.16,  ------    *  ---   |                   ,  0.09,  0.55, 0.00
14,           exploit,15,  0.36,  0.18, ------     *  ------|--                 ,  0.08,  0.63, 1.59
#
15,           explore,15,  0.40,  0.12,       -----  *  ----|                   ,  0.21,  0.56, 2.73
15,           explore,20,  0.40,  0.10,   --------   * -----|-                  ,  0.08,  0.63, 1.50
15,               rrp,10,  0.44,  0.26, -------        *  --|------------       ,  0.08,  0.88, 1.73
#
16,         baseline,500,  0.70,  0.20,               ------|-     *   ---------,  0.08,  1.00, 0.00
