#
 0,            PI_GPM,15,  0.19,  0.00, *                   |                   ,  0.19,  0.19, 0.00
#
 1,            EI_GPM,15,  0.19,  0.00, *                   |                   ,  0.19,  0.19, 0.00
#
 2,           UCB_GPM,20,  0.19,  0.00, *                   |                   ,  0.19,  0.19, 0.00
#
 3,            PI_GPM,20,  0.19,  0.00, *                   |                   ,  0.19,  0.19, 0.00
#
 4,            PI_GPM,25,  0.19,  0.00, *                   |                   ,  0.19,  0.19, 0.00
#
 5,       LLM/exploit,15,  0.44,  0.05,     --------*       |                   ,  0.29,  0.48, 68.87
#
 6,       LLM/exploit,25,  0.44,  0.07,     ------  *       |                   ,  0.29,  0.48, 64.43
 6,            random,25,  0.44,  0.04,     ------- *----   |                   ,  0.19,  0.59, 0.00
#
 7,           exploit,25,  0.44,  0.07,     ------- *  -----|-                  ,  0.19,  0.66, 1.67
 7,            random,20,  0.45,  0.03,           --*-----  |                   ,  0.19,  0.61, 0.00
#
 8,           exploit,20,  0.45,  0.08,           --*   ----|                   ,  0.29,  0.94, 1.37
#
 9,               rrp,10,  0.46,  0.15,              *      |-----              ,  0.19,  0.95, 1.73
 9,            EI_GPM,25,  0.46,  0.00,              *      |                   ,  0.46,  0.46, 0.00
 9,           exploit,15,  0.48,  0.12,           --  *   --|-                  ,  0.29,  0.85, 2.12
 9,       LLM/explore,15,  0.48,  0.00,               *     |                   ,  0.48,  0.48, 69.52
#
10,       LLM/exploit,20,  0.48,  0.02,           --- *     |                   ,  0.19,  0.48, 66.41
10,       LLM/explore,20,  0.48,  0.00,             --*     |                   ,  0.19,  0.48, 62.23
#
11,       LLM/explore,25,  0.48,  0.00,               *     |                   ,  0.41,  0.48, 63.70
11,           explore,20,  0.48,  0.14,            -  *    -|---                ,  0.41,  0.75, 1.51
11,           explore,25,  0.52,  0.13,           ---   *  -|-                  ,  0.19,  0.64, 1.74
11,            random,15,  0.53,  0.10,             -   * --|                   ,  0.19,  0.74, 0.00
#
12,           UCB_GPM,15,  0.53,  0.00,                 *   |                   ,  0.53,  0.53, 0.01
#
13,            EI_GPM,20,  0.53,  0.00,                 *   |                   ,  0.53,  0.53, 0.00
#
14,           UCB_GPM,25,  0.53,  0.00,                 *   |                   ,  0.53,  0.53, 0.00
14,           explore,15,  0.56,  0.15,                   * |--                 ,  0.41,  0.81, 2.20
#
15,         baseline,500,  0.76,  0.21,                   --|--     *    -------,  0.19,  1.00, 0.00
