#
 0,       LLM/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 35.44
 0,       LLM/exploit,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 45.32
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.26
 0,       LLM/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 47.09
 0,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           exploit,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.44
 0,            PI_GPM,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1.95
 0,       LLM/explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 35.68
 0,            random,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,               rrp,13,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 7.82
 0,           UCB_GPM,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,        baseline,3840,  0.00,  0.00, *                   |                   ,  0.00,  0.06, 0.01
 0,            EI_GPM,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,       LLM/explore,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 40.18
 0,           explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.08
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
#
 1,           explore,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1.89
 1,       LLM/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 38.38
 1,           explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.13
