#
 0,           UCB_GPM,25,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 0.00
 0,       LLM/exploit,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.02, 41.89
#
 1,       LLM/exploit,25,  0.01,  0.00,  *                  |                   ,  0.01,  0.02, 34.79
 1,           UCB_GPM,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 0.00
#
 2,       LLM/exploit,15,  0.01,  0.00,  *                  |                   ,  0.01,  0.02, 40.84
#
 3,            PI_GPM,25,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 0.00
#
 4,            PI_GPM,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 0.00
 4,       LLM/explore,15,  0.01,  0.00,  *                  |                   ,  0.01,  0.02, 37.94
#
 5,       LLM/explore,25,  0.01,  0.00,  *                  |                   ,  0.00,  0.02, 32.16
 5,           UCB_GPM,15,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 0.01
 5,            EI_GPM,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 0.00
 5,       LLM/explore,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.02, 38.25
 5,            random,25,  0.02,  0.00,  *                  |                   ,  0.01,  0.02, 0.00
 5,            EI_GPM,25,  0.02,  0.00,  *                  |                   ,  0.02,  0.02, 0.00
 5,               rrp,12,  0.02,  0.00,  *                  |                   ,  0.01,  0.04, 6.32
 5,            PI_GPM,15,  0.02,  0.00,  *                  |                   ,  0.02,  0.02, 0.00
 5,           exploit,25,  0.02,  0.00,  *---               |                   ,  0.01,  0.05, 1.97
 5,            EI_GPM,15,  0.02,  0.00,  *                  |                   ,  0.02,  0.02, 0.00
 5,            random,15,  0.02,  0.00,  *                  |                   ,  0.01,  0.04, 0.00
 5,            random,20,  0.02,  0.00,  *-                 |                   ,  0.01,  0.03, 0.00
 5,           exploit,20,  0.02,  0.01,  * -------------    |                   ,  0.01,  0.20, 1.36
 5,           exploit,15,  0.02,  0.02,   *--               |                   ,  0.01,  0.06, 2.09
 5,           explore,20,  0.02,  0.03,   * ----            |                   ,  0.00,  0.12, 1.52
#
 6,           explore,25,  0.02,  0.02,   * -               |                   ,  0.01,  0.06, 1.71
 6,           explore,15,  0.03,  0.03,    * -------        |                   ,  0.01,  0.20, 1.84
#
 7,        baseline,2866,  0.06,  0.14,  ---  *            -|---------          ,  0.01,  0.37, 0.03
