#
 0,       LLM/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.10, 36.70
#
 1,       LLM/exploit,25,  0.00,  0.00, *-                  |                   ,  0.00,  0.13, 29.71
 1,       LLM/exploit,15,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 36.94
#
 2,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
#
 3,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
#
 4,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 4,            PI_GPM,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 4,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 4,       LLM/explore,25,  0.00,  0.00, *-                  |                   ,  0.00,  0.05, 28.49
 4,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
#
 5,       LLM/explore,15,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 34.01
 5,       LLM/explore,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.02, 36.75
 5,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
#
 6,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.04, 0.00
 6,            EI_GPM,15,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 6,               rrp,12,  0.01,  0.05, *    ---------------|----               ,  0.00,  0.37, 6.17
 6,            random,20,  0.01,  0.01, *-                  |                   ,  0.00,  0.05, 0.00
 6,           UCB_GPM,15,  0.01,  0.00, *                   |                   ,  0.01,  0.01, 0.00
#
 7,            random,15,  0.01,  0.01,  *--                |                   ,  0.00,  0.05, 0.00
#
 8,           explore,20,  0.01,  0.02,  *------------      |                   ,  0.00,  0.27, 2.85
 8,           exploit,20,  0.02,  0.05, --*    -------      |                   ,  0.00,  0.17, 1.69
 8,           exploit,25,  0.02,  0.04,   * ---             |                   ,  0.00,  0.12, 1.76
 8,           explore,25,  0.02,  0.03, --*  --             |                   ,  0.00,  0.13, 1.81
 8,           exploit,15,  0.04,  0.04, --  * -----         |                   ,  0.00,  0.17, 1.09
 8,           explore,15,  0.05,  0.11, --   *        ------|-----              ,  0.00,  0.26, 1.57
#
 9,        baseline,2880,  0.06,  0.05, ----  *  -----      |                   ,  0.00,  0.39, 0.03
