#
 0,            PI_GPM,25,  0.08,  0.00,   *                 |                   ,  0.08,  0.08, 0.00
#
 1,           UCB_GPM,15,  0.10,  0.00,    *                |                   ,  0.10,  0.10, 0.00
#
 2,       LLM/exploit,20,  0.10,  0.05,    *---             |                   ,  0.07,  0.28, 155.84
 2,            EI_GPM,25,  0.11,  0.00,    *                |                   ,  0.11,  0.11, 0.00
 2,           UCB_GPM,25,  0.12,  0.00,     *               |                   ,  0.12,  0.12, 0.00
#
 3,           UCB_GPM,20,  0.12,  0.00,     *               |                   ,  0.12,  0.12, 0.00
#
 4,               rrp,14,  0.13,  0.07,   --*  --           |                   ,  0.01,  0.35, 43.04
#
 5,       LLM/exploit,25,  0.14,  0.07,   --*  --           |                   ,  0.07,  0.28, 150.54
 5,            EI_GPM,15,  0.14,  0.00,      *              |                   ,  0.14,  0.14, 0.00
 5,       LLM/exploit,15,  0.14,  0.05,   -- *---           |                   ,  0.04,  0.26, 189.77
 5,       LLM/explore,15,  0.16,  0.05,    - *---           |                   ,  0.03,  0.25, 155.12
 5,            random,25,  0.16,  0.10,   -- *  ----        |                   ,  0.05,  0.37, 0.00
 5,           exploit,25,  0.17,  0.05,    -  *--           |                   ,  0.06,  0.29, 6.02
 5,           exploit,20,  0.17,  0.06,     - *--           |                   ,  0.09,  0.36, 4.67
#
 6,            EI_GPM,20,  0.18,  0.00,       *             |                   ,  0.18,  0.18, 0.00
 6,            random,20,  0.19,  0.08,   --- * ---         |                   ,  0.06,  0.34, 0.00
#
 7,       LLM/explore,25,  0.19,  0.07,    --- * ---        |                   ,  0.03,  0.32, 155.64
 7,            PI_GPM,20,  0.20,  0.00,        *            |                   ,  0.20,  0.20, 0.00
 7,       LLM/explore,20,  0.21,  0.06,    --- * ---        |                   ,  0.08,  0.32, 152.25
 7,           explore,25,  0.22,  0.10,      -  * ---       |                   ,  0.12,  0.37, 6.18
 7,           exploit,15,  0.22,  0.05,     --- *--         |                   ,  0.06,  0.39, 4.19
 7,            random,15,  0.23,  0.06,       - *-----      |                   ,  0.12,  0.41, 0.00
#
 8,           explore,15,  0.24,  0.03,       -- *--        |                   ,  0.07,  0.38, 4.71
 8,           explore,20,  0.25,  0.05,      --- *----      |                   ,  0.08,  0.40, 4.57
 8,            PI_GPM,15,  0.27,  0.00,           *         |                   ,  0.27,  0.27, 0.00
#
 9,       baseline,10000,  0.45,  0.15,          -----   *  |----               ,  0.07,  1.00, 0.04
