#
 0,            EI_GPM,25,  0.17,  0.00,  *                  |                   ,  0.17,  0.17, 0.00
#
 1,            EI_GPM,20,  0.17,  0.00,   *                 |                   ,  0.17,  0.17, 0.00
#
 2,            PI_GPM,25,  0.17,  0.00,   *                 |                   ,  0.17,  0.17, 0.00
#
 3,           UCB_GPM,20,  0.19,  0.00,   *                 |                   ,  0.19,  0.19, 0.00
#
 4,           UCB_GPM,25,  0.24,  0.00,     *               |                   ,  0.24,  0.24, 0.00
#
 5,            EI_GPM,15,  0.24,  0.00,      *              |                   ,  0.24,  0.24, 0.00
 5,       LLM/exploit,25,  0.25,  0.04,   -- *-------       |                   ,  0.14,  0.44, 150.67
#
 6,           exploit,20,  0.27,  0.07,     - * ----        |                   ,  0.13,  0.45, 4.65
#
 7,            PI_GPM,15,  0.27,  0.00,       *             |                   ,  0.27,  0.27, 0.00
 7,       LLM/exploit,20,  0.28,  0.06,    --  *--          |                   ,  0.19,  0.46, 146.25
 7,            random,25,  0.29,  0.06,    --  *---------   |                   ,  0.18,  0.61, 0.00
 7,       LLM/exploit,15,  0.29,  0.08,   ---  *--          |                   ,  0.18,  0.39, 189.26
 7,            random,20,  0.29,  0.06,      - * --------   |                   ,  0.23,  0.61, 0.00
#
 8,           UCB_GPM,15,  0.29,  0.00,        *            |                   ,  0.29,  0.29, 0.00
 8,           exploit,25,  0.30,  0.08,      - * ---        |                   ,  0.20,  0.43, 6.18
 8,            random,15,  0.31,  0.10,   ----  *  ------   |                   ,  0.14,  0.61, 0.00
 8,               rrp,14,  0.31,  0.09,      -- *  ---------|-                  ,  0.14,  0.63, 45.31
 8,           explore,25,  0.32,  0.05,       -  *          |                   ,  0.24,  0.38, 6.11
 8,       LLM/explore,25,  0.33,  0.07,     --   *          |                   ,  0.18,  0.38, 152.19
 8,           exploit,15,  0.33,  0.07,    ---   *--        |                   ,  0.14,  0.50, 4.35
#
 9,            PI_GPM,20,  0.33,  0.00,          *          |                   ,  0.33,  0.33, 0.00
#
10,           explore,20,  0.34,  0.07,       -- * --       |                   ,  0.22,  0.50, 4.45
10,       LLM/explore,15,  0.35,  0.06,      --   *--       |                   ,  0.25,  0.42, 151.00
10,           explore,15,  0.36,  0.04,       --- *-----    |                   ,  0.25,  0.50, 3.69
10,       LLM/explore,20,  0.36,  0.05,      ---  *         |                   ,  0.18,  0.40, 154.56
#
11,       baseline,10000,  0.59,  0.13,           ------    |*------------      ,  0.14,  1.00, 0.03
