#
 0,            PI_GPM,20,  0.17,  0.00, *                   |                   ,  0.17,  0.17, 0.00
 0,           exploit,25,  0.17,  0.05, *                   |                   ,  0.17,  0.22, 3.18
 0,            PI_GPM,30,  0.17,  0.00, *                   |                   ,  0.17,  0.17, 0.00
#
 1,           exploit,20,  0.19,  0.06, * ------------------|                   ,  0.17,  0.83, 3.34
 1,           explore,20,  0.19,  0.06, * ------------------|---                ,  0.17,  0.71, 3.36
 1,            EI_GPM,25,  0.19,  0.00, *                   |                   ,  0.19,  0.19, 0.00
 1,           UCB_GPM,20,  0.19,  0.00,  *                  |                   ,  0.19,  0.19, 0.00
 1,            PI_GPM,25,  0.19,  0.00,  *                  |                   ,  0.19,  0.19, 0.00
 1,           UCB_GPM,30,  0.19,  0.00,  *                  |                   ,  0.19,  0.19, 0.00
 1,           exploit,30,  0.19,  0.06,  *------------------|                   ,  0.17,  0.83, 2.75
 1,           explore,25,  0.21,  0.32,   *            -----|----               ,  0.17,  0.83, 2.45
 1,           UCB_GPM,25,  0.22,  0.00,   *                 |                   ,  0.22,  0.22, 0.00
 1,               rrp,11,  0.22,  0.05, - *-----------------|---                ,  0.17,  0.70, 1.67
 1,            random,20,  0.22,  0.01, --*----------       |                   ,  0.17,  0.47, 0.00
 1,       LLM/explore,20,  0.22,  0.43, - *                 | -                 ,  0.17,  0.66, 27.92
 1,            random,25,  0.22,  0.02,  -*--------         |                   ,  0.17,  0.46, 0.00
 1,            random,30,  0.22,  0.17, --*       ---       |                   ,  0.17,  0.70, 0.00
 1,            EI_GPM,30,  0.22,  0.00,   *                 |                   ,  0.22,  0.22, 0.00
 1,            EI_GPM,20,  0.23,  0.00,   *                 |                   ,  0.23,  0.23, 0.00
#
 2,           explore,30,  0.25,  0.44,    *                |------             ,  0.17,  0.76, 2.25
 2,       LLM/explore,25,  0.42,  0.40, --          *       |--                 ,  0.17,  0.66, 28.56
 2,       LLM/exploit,20,  0.44,  0.37, --           *      |--                 ,  0.17,  0.83, 28.68
 2,       LLM/explore,30,  0.44,  0.47, -            *      |  --               ,  0.17,  0.83, 28.86
 2,       LLM/exploit,30,  0.45,  0.40, --           *      |-                  ,  0.17,  0.83, 29.80
 2,       LLM/exploit,25,  0.46,  0.42,  -            *     | ----------        ,  0.17,  0.83, 28.48
#
 3,        baseline,1023,  0.83,  0.47,    --------------   |           *       ,  0.17,  1.00, 0.00
