#
 0,       LLM/exploit,30,  0.22,  0.08,   * -               |                   ,  0.18,  0.32, 26.14
 0,           exploit,20,  0.22,  0.05,  -* --              |                   ,  0.17,  0.34, 1.84
 0,            random,30,  0.23,  0.04,  - *--              |                   ,  0.17,  0.33, 0.00
 0,           exploit,30,  0.24,  0.03,    *--              |                   ,  0.17,  0.40, 1.02
#
 1,            EI_GPM,25,  0.24,  0.00,    *                |                   ,  0.24,  0.24, 0.00
 1,            PI_GPM,20,  0.25,  0.00,     *               |                   ,  0.25,  0.25, 0.00
 1,       LLM/exploit,20,  0.25,  0.07, --  * --            |                   ,  0.17,  0.38, 27.11
 1,            random,25,  0.25,  0.06,  -  *--             |                   ,  0.17,  0.34, 0.00
 1,           explore,20,  0.26,  0.09, --- *  -----        |                   ,  0.17,  0.49, 2.45
 1,       LLM/exploit,25,  0.26,  0.06, --- *               |                   ,  0.17,  0.42, 28.55
#
 2,           exploit,25,  0.27,  0.05,   - *--             |                   ,  0.17,  0.42, 1.30
 2,           explore,30,  0.27,  0.07,  -- * ----          |                   ,  0.17,  0.41, 1.01
 2,            EI_GPM,30,  0.27,  0.00,     *               |                   ,  0.27,  0.27, 0.00
#
 3,            random,20,  0.28,  0.07, ---  *---           |                   ,  0.17,  0.37, 0.00
 3,           explore,25,  0.29,  0.07, ---- * --           |                   ,  0.17,  0.43, 1.19
 3,            PI_GPM,30,  0.29,  0.00,       *             |                   ,  0.29,  0.29, 0.00
 3,       LLM/explore,30,  0.30,  0.07,   --  *--           |                   ,  0.21,  0.41, 27.10
#
 4,       LLM/explore,25,  0.31,  0.13,  --   *   ---       |                   ,  0.18,  0.48, 28.15
 4,           UCB_GPM,25,  0.31,  0.00,       *             |                   ,  0.31,  0.31, 0.00
#
 5,       LLM/explore,20,  0.32,  0.03,   ---- *--          |                   ,  0.18,  0.40, 25.12
#
 6,           UCB_GPM,30,  0.33,  0.00,        *            |                   ,  0.33,  0.33, 0.00
#
 7,            PI_GPM,25,  0.33,  0.00,        *            |                   ,  0.33,  0.33, 0.00
#
 8,           UCB_GPM,20,  0.39,  0.00,           *         |                   ,  0.39,  0.39, 0.00
#
 9,            EI_GPM,20,  0.40,  0.00,            *        |                   ,  0.40,  0.40, 0.00
#
10,         baseline,972,  0.48,  0.10,            --  *  --|---                ,  0.28,  1.00, 0.00
10,               rrp,11,  0.50,  0.15,              - *    |------             ,  0.39,  0.73, 1.01
