#
 0,            PI_GPM,25,  0.05,  0.00, *                   |                   ,  0.05,  0.05, 0.00
#
 1,           UCB_GPM,25,  0.05,  0.00, *                   |                   ,  0.05,  0.05, 0.00
#
 2,       LLM/exploit,25,  0.06,  0.01, *                   |                   ,  0.06,  0.08, 31.37
 2,       LLM/exploit,30,  0.06,  0.01, *                   |                   ,  0.05,  0.07, 32.44
#
 3,           UCB_GPM,20,  0.06,  0.00, *                   |                   ,  0.06,  0.06, 0.00
#
 4,            PI_GPM,20,  0.06,  0.00, *                   |                   ,  0.06,  0.06, 0.00
#
 5,            PI_GPM,30,  0.06,  0.00, *                   |                   ,  0.06,  0.06, 0.00
 5,       LLM/explore,30,  0.07,  0.01, *                   |                   ,  0.05,  0.08, 31.01
#
 6,            EI_GPM,25,  0.07,  0.00, *                   |                   ,  0.07,  0.07, 0.00
 6,       LLM/exploit,20,  0.07,  0.01, *                   |                   ,  0.06,  0.08, 26.96
 6,       LLM/explore,20,  0.07,  0.00, *                   |                   ,  0.06,  0.07, 27.10
#
 7,       LLM/explore,25,  0.07,  0.01, *                   |                   ,  0.05,  0.08, 26.75
#
 8,            EI_GPM,30,  0.07,  0.00,  *                  |                   ,  0.07,  0.07, 0.00
 8,            random,30,  0.07,  0.01,  *-                 |                   ,  0.05,  0.27, 0.00
 8,            random,25,  0.08,  0.03,  *------            |                   ,  0.05,  0.30, 0.00
 8,            EI_GPM,20,  0.08,  0.00,  *                  |                   ,  0.08,  0.08, 0.00
#
 9,           explore,30,  0.08,  0.12,  *    -----         |                   ,  0.05,  0.32, 2.58
 9,            random,20,  0.08,  0.04,  *------            |                   ,  0.05,  0.25, 0.00
 9,           explore,20,  0.08,  0.12,  *    ---           |                   ,  0.05,  0.25, 2.17
 9,           UCB_GPM,30,  0.08,  0.00,  *                  |                   ,  0.08,  0.08, 0.00
#
10,           explore,25,  0.10,  0.13,   *   ----          |                   ,  0.05,  0.29, 2.15
#
11,           exploit,30,  0.17,  0.19,      *   -          |                   ,  0.05,  0.29, 2.38
11,           exploit,25,  0.20,  0.17, -      * --         |                   ,  0.05,  0.31, 2.22
#
12,           exploit,20,  0.25,  0.07,  -----   *          |                   ,  0.05,  0.36, 2.87
#
13,               rrp,12,  0.26,  0.23,  -       *   -----  |                   ,  0.05,  0.64, 1.07
13,        baseline,2736,  0.29,  0.11,  -------   * -------|-------            ,  0.05,  0.91, 0.00
