#
 0,           UCB_GPM,20,  0.14,  0.00, *                   |                   ,  0.14,  0.14, 0.00
#
 1,            PI_GPM,25,  0.14,  0.00, *                   |                   ,  0.14,  0.14, 0.00
#
 2,            EI_GPM,25,  0.19,  0.00,    *                |                   ,  0.19,  0.19, 0.01
#
 3,            PI_GPM,20,  0.20,  0.00,    *                |                   ,  0.20,  0.20, 0.00
 3,       LLM/explore,30,  0.20,  0.03, --- *-              |                   ,  0.14,  0.23, 32.22
#
 4,           UCB_GPM,30,  0.20,  0.00,     *               |                   ,  0.20,  0.20, 0.00
#
 5,       LLM/exploit,30,  0.21,  0.03, ---  *              |                   ,  0.14,  0.24, 28.61
 5,           exploit,20,  0.22,  0.01,    - *--------------|-------            ,  0.14,  0.57, 3.04
 5,       LLM/explore,25,  0.22,  0.02,    - *-             |                   ,  0.15,  0.25, 29.88
 5,           explore,30,  0.22,  0.02,      *              |                   ,  0.14,  0.26, 1.60
#
 6,           exploit,30,  0.22,  0.01,    --*-----         |                   ,  0.14,  0.49, 1.55
 6,           explore,20,  0.22,  0.02,      *              |                   ,  0.14,  0.24, 3.14
 6,       LLM/explore,20,  0.22,  0.02,   ---*              |                   ,  0.14,  0.25, 25.51
 6,       LLM/exploit,20,  0.22,  0.01,    --*              |                   ,  0.14,  0.24, 28.01
 6,       LLM/exploit,25,  0.22,  0.03, ---- *-             |                   ,  0.14,  0.32, 32.35
 6,           explore,25,  0.22,  0.01,     -*              |                   ,  0.18,  0.25, 2.36
 6,           exploit,25,  0.22,  0.02,      *-             |                   ,  0.14,  0.25, 3.21
 6,            random,30,  0.23,  0.01,    --*-----         |                   ,  0.14,  0.32, 0.00
 6,            random,25,  0.23,  0.03,     -* --           |                   ,  0.14,  0.32, 0.00
#
 7,            EI_GPM,20,  0.23,  0.00,       *             |                   ,  0.23,  0.23, 0.01
#
 8,           UCB_GPM,25,  0.23,  0.00,       *             |                   ,  0.23,  0.23, 0.00
#
 9,            EI_GPM,30,  0.23,  0.00,       *             |                   ,  0.23,  0.23, 0.00
#
10,            PI_GPM,30,  0.23,  0.00,       *             |                   ,  0.23,  0.23, 0.00
#
11,            random,20,  0.24,  0.02,     - *----         |                   ,  0.14,  0.34, 0.00
#
12,               rrp,13,  0.36,  0.00,               *     |                   ,  0.26,  0.66, 1.88
#
13,        baseline,3008,  0.41,  0.31,                   * |              --   ,  0.36,  0.74, 0.01
