#
 0,           UCB_GPM,30,  0.04,  0.00, *                   |                   ,  0.04,  0.04, 0.00
#
 1,            EI_GPM,25,  0.04,  0.00, *                   |                   ,  0.04,  0.04, 0.00
#
 2,            PI_GPM,30,  0.04,  0.00, *                   |                   ,  0.04,  0.04, 0.00
#
 3,            PI_GPM,20,  0.04,  0.00, *                   |                   ,  0.04,  0.04, 0.00
#
 4,            random,20,  0.05,  0.04, - *    ------       |                   ,  0.04,  0.13, 0.00
 4,           explore,30,  0.05,  0.03,   *  -------        |                   ,  0.04,  0.16, 2.42
 4,            random,30,  0.05,  0.04,   *   ---           |                   ,  0.04,  0.11, 0.00
 4,           explore,20,  0.05,  0.02, - * -----           |                   ,  0.04,  0.09, 2.58
 4,           exploit,30,  0.05,  0.02,   * ----            |                   ,  0.04,  0.11, 2.35
 4,           UCB_GPM,25,  0.05,  0.00,   *                 |                   ,  0.05,  0.05, 0.00
#
 5,            random,25,  0.05,  0.03, -  * ------         |                   ,  0.04,  0.13, 0.00
 5,       LLM/exploit,25,  0.05,  0.01,    *----------      |                   ,  0.04,  0.12, 31.50
 5,       LLM/exploit,30,  0.05,  0.01,   -*--------        |                   ,  0.04,  0.12, 30.52
 5,           explore,25,  0.06,  0.02, -  *--              |                   ,  0.04,  0.07, 2.44
 5,           exploit,25,  0.06,  0.02, -  * -----          |                   ,  0.04,  0.10, 2.51
#
 6,       LLM/exploit,20,  0.06,  0.02,   - *---------      |                   ,  0.04,  0.12, 30.68
 6,       LLM/explore,25,  0.06,  0.02,     *----           |                   ,  0.04,  0.10, 31.73
 6,           exploit,20,  0.06,  0.01,  -- *----           |                   ,  0.04,  0.10, 3.06
 6,       LLM/explore,30,  0.06,  0.01,  -- *-------        |                   ,  0.04,  0.12, 30.49
 6,       LLM/explore,20,  0.06,  0.01,  -- *-              |                   ,  0.04,  0.10, 30.73
#
 7,            PI_GPM,25,  0.07,  0.00,       *             |                   ,  0.07,  0.07, 0.00
#
 8,            EI_GPM,30,  0.07,  0.00,       *             |                   ,  0.07,  0.07, 0.00
#
 9,           UCB_GPM,20,  0.09,  0.00,         *           |                   ,  0.09,  0.09, 0.00
#
10,            EI_GPM,20,  0.09,  0.00,         *           |                   ,  0.09,  0.09, 0.00
#
11,        baseline,5184,  0.13,  0.04,            --   *   |-----              ,  0.08,  0.27, 0.01
#
12,               rrp,13,  0.18,  0.04,              -----  |   *--             ,  0.09,  0.20, 4.01
