#
 0,           exploit,60,  0.01,  0.02, *---                |                   ,  0.00,  0.06, 1.86
#
 1,           exploit,50,  0.02,  0.01, -*---               |                   ,  0.00,  0.07, 1.51
 1,           exploit,55,  0.02,  0.02,  *--                |                   ,  0.00,  0.08, 1.69
 1,           exploit,35,  0.02,  0.04, -*  -               |                   ,  0.01,  0.07, 0.99
 1,           exploit,45,  0.02,  0.04, -*  --              |                   ,  0.00,  0.09, 1.32
 1,           exploit,40,  0.03,  0.03, - * --              |                   ,  0.00,  0.16, 1.17
#
 2, llm_phi3-mini(3.8B),20,  0.04,  0.02,    *                |                   ,  0.03,  0.05, 484.80
 2, llm_phi3-mini(3.8B),25,  0.04,  0.02,  - *-               |                   ,  0.02,  0.07, 888.00
 2,           exploit,30,  0.04,  0.04,  - * ----           |                   ,  0.00,  0.11, 0.84
 2,           explore,45,  0.04,  0.03,  - * ---            |                   ,  0.00,  0.14, 1.33
 2,            random,45,  0.04,  0.02,  - *-               |                   ,  0.02,  0.07, 0.00
 2,            random,50,  0.05,  0.02,   -* -              |                   ,  0.00,  0.09, 0.00
 2, llm_phi3-mini(3.8B),30,  0.05,  0.01,  --*-               |                   ,  0.02,  0.06, 1348.80 
 2,            random,20,  0.05,  0.03,  --* ---            |                   ,  0.02,  0.10, 0.00
 2,           exploit,25,  0.05,  0.04, -  * ----           |                   ,  0.00,  0.18, 0.69
 2,            random,60,  0.05,  0.02,  - *-               |                   ,  0.00,  0.07, 0.00
 2,            random,40,  0.05,  0.03,  -  *--             |                   ,  0.00,  0.09, 0.00
#
 3, llm_phi3-mini(3.8B),40,  0.05,  0.03, --  *-              |                   ,  0.01,  0.07, 2932.20
 3,            random,55,  0.05,  0.03,  -  *               |                   ,  0.00,  0.07, 0.00
 3,            random,35,  0.05,  0.04,     *--             |                   ,  0.00,  0.09, 0.00
 3, llm_llama3-8b(8.0B),30,  0.05,  0.02,  -- *               |                   ,  0.02,  0.07, 2193.6
 3,            random,30,  0.05,  0.04,   - *               |                   ,  0.00,  0.10, 0.00
 3,           explore,55,  0.06,  0.06,  -   * ------       |                   ,  0.01,  0.19, 1.74
 3,         SimAnneal,35,  0.06,  0.02,   -- *---           |                   ,  0.00,  0.12, 1.56
 3,           explore,50,  0.06,  0.02,    - *-             |                   ,  0.01,  0.18, 1.5
#
 4,           explore,35,  0.06,  0.03,      *-             |                   ,  0.01,  0.12, 1.00
 4, llm_llama3-8b(8.0B),20,  0.06,  0.02,   -- *-             |                   ,  0.03,  0.09, 1360.80
 4,           exploit,20,  0.07,  0.02,  --- *--            |                   ,  0.02,  0.11, 0.48
 4,           explore,25,  0.07,  0.06, ---  *  ----        |                   ,  0.00,  0.15, 0.70
 4,            random,25,  0.07,  0.04,  -   *-             |                   ,  0.01,  0.09, 0.00
 4,         SimAnneal,30,  0.07,  0.05,  --  * ---          |                   ,  0.01,  0.14, 1.24
 4,         SimAnneal,60,  0.07,  0.06,  -   * --           |                   ,  0.01,  0.12, 3.46
#
 5,         SimAnneal,50,  0.07,  0.04,  --- * ---          |                   ,  0.01,  0.16, 2.61
 5,           explore,40,  0.07,  0.05,    -- *  ---        |                   ,  0.03,  0.27, 1.18
 5,           explore,20,  0.07,  0.02,     - *-            |                   ,  0.03,  0.11, 0.49
 5,               rrp,11,  0.08,  0.04,  ---  *----         |                   ,  0.00,  0.15, 0.36
 5,           explore,60,  0.08,  0.07,   -   * --          |                   ,  0.02,  0.16, 1.89
 5,         SimAnneal,20,  0.08,  0.03,    -- *--           |                   ,  0.02,  0.14, 0.67
 5,           explore,30,  0.08,  0.03,  ---- * --          |                   ,  0.02,  0.16, 0.83
 5,         SimAnneal,40,  0.08,  0.04,     - *  --         |                   ,  0.04,  0.18, 1.87
 5,         SimAnneal,45,  0.08,  0.04,     -  *-----       |                   ,  0.02,  0.21, 2.34
 5,         SimAnneal,25,  0.08,  0.03,    --  *----        |                   ,  0.01,  0.16, 0.99
 5,         SimAnneal,55,  0.09,  0.04,    -   *----        |                   ,  0.01,  0.17, 3.00
#
 6,        baseline,1343,  0.20,  0.10,          ---     *  |-------            ,  0.02,  0.47, 0.00
