#
 0,           exploit,35,  0.00,  0.06, * -------           |                   ,  0.00,  0.23, 1.04
 0,           exploit,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1.23
#
 1,         SimAnneal,40,  0.00,  0.09, *  ----             |                   ,  0.00,  0.22, 2.22
 1,           exploit,45,  0.00,  0.00, *--------           |                   ,  0.00,  0.23, 1.42
 1,           exploit,50,  0.00,  0.00, *------             |                   ,  0.00,  0.22, 1.61
 1,         SimAnneal,50,  0.00,  0.00, *-                  |                   ,  0.00,  0.13, 3.17
 1,           exploit,55,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1.82
 1,         SimAnneal,55,  0.00,  0.06, *                   |                   ,  0.00,  0.09, 3.71
 1,           exploit,60,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 2.03
#
 2,         SimAnneal,60,  0.00,  0.00, *                   |                   ,  0.00,  0.06, 4.24
#
 3,                rrp,9,  0.06,  0.22,   *      ---        |                   ,  0.00,  0.45, 0.12
 3, llm_llama3-8b(8.0B),20,  0.06,  0.22,   *                 |                   ,  0.00,  0.23, 3918.35
 3,           exploit,30,  0.06,  0.22,   *                 |                   ,  0.00,  0.30, 0.88
#
 4,         SimAnneal,35,  0.06,  0.16, --*      ---        |                   ,  0.00,  0.29, 1.81
 4,            random,55,  0.06,  0.09,   *------           |                   ,  0.00,  0.28, 0.00
 4,            random,60,  0.06,  0.09,   *----             |                   ,  0.00,  0.22, 0.00
#
 5, llm_llama3-8b(8.0B),30,  0.09,  0.08, -- * -----          |                   ,  0.00,  0.24, 7565.32
 5,           explore,35,  0.09,  0.28,    *       -------- |                   ,  0.00,  0.58, 1.04
 5,            random,40,  0.09,  0.16, -- *     -          |                   ,  0.00,  0.30, 0.00
 5,            random,45,  0.09,  0.07, -- * ------         |                   ,  0.00,  0.29, 0.00
 5,         SimAnneal,45,  0.09,  0.07, -- * ----           |                   ,  0.00,  0.23, 2.67
 5,           exploit,25,  0.13,  0.22,      *   --         |                   ,  0.00,  0.30, 0.70
 5,         SimAnneal,30,  0.13,  0.16, --   *   ---        |                   ,  0.00,  0.31, 1.43
 5,            random,35,  0.13,  0.13, --   * --           |                   ,  0.00,  0.28, 0.00
#
 6,         SimAnneal,20,  0.14,  0.10,   ---*   ---        |                   ,  0.00,  0.35, 0.80
#
 7,            random,50,  0.14,  0.13,   -  *   -          |                   ,  0.00,  0.28, 0.00
 7, llm_phi3-mini(3.8B),20,  0.19,  0.16,   ---  *            |                   ,  0.00,  0.29, 811.50
 7,            random,25,  0.22,  0.09, -----    *--        |                   ,  0.00,  0.32, 0.00
 7,         SimAnneal,25,  0.22,  0.14,   -      *--        |                   ,  0.00,  0.31, 1.10
#
 8, llm_phi3-mini(3.8B),30,  0.22,  0.03,      --  *          |                   ,  0.13,  0.23, 1465.74
 8,           exploit,20,  0.22,  0.22, --       * -----    |                   ,  0.00,  0.42, 0.53
 8,            random,30,  0.22,  0.04,   -----  *--        |                   ,  0.00,  0.31, 0.00
 8,            random,20,  0.22,  0.09,   ---    *--        |                   ,  0.00,  0.31, 0.00
 8,           explore,45,  0.22,  0.19, ---      * ---      |                   ,  0.00,  0.45, 1.42
 8,           explore,60,  0.22,  0.19, --       *--        |                   ,  0.00,  0.30, 2.04
 8,           explore,30,  0.23,  0.28,          * -------  |                   ,  0.00,  0.48, 0.87
 8,           explore,50,  0.23,  0.06, ---------* ------   |                   ,  0.00,  0.45, 1.62
 8,           explore,55,  0.23,  0.13, -----    * -        |                   ,  0.00,  0.35, 1.84
 8,           explore,25,  0.24,  0.09, --------- * ------  |                   ,  0.00,  0.48, 0.69
#
 9,           explore,40,  0.24,  0.11, --------- *  -----  |                   ,  0.00,  0.45, 1.24
 9,           explore,20,  0.30,  0.13,   -------   * ----  |                   ,  0.00,  0.56, 0.53
#
10,         baseline,206,  0.56,  0.23,             ------  |  *    -----       ,  0.00,  0.95, 0.00
