#
 0, llm_llama3-8b(8.0B),30,  0.35,  0.05,   *-----            |                   ,  0.32,  0.42, 5660.99
 0,           exploit,45,  0.35,  0.02,   *-                |                   ,  0.35,  0.45, 1.45
 0,           exploit,50,  0.35,  0.02,   *---              |                   ,  0.32,  0.41, 1.64
 0,           exploit,55,  0.35,  0.03, --* --              |                   ,  0.32,  0.40, 1.84
 0,            random,60,  0.35,  0.00, --*-                |                   ,  0.32,  0.38, 0.00
 0,           exploit,60,  0.35,  0.02,   *---              |                   ,  0.35,  0.41, 2.06
 0, llm_phi3-mini(3.8B),40,  0.35,  0.05,   *-                |                   ,  0.32,  0.37, 4035.09
 0,           exploit,20,  0.35,  0.02,   *-                |                   ,  0.32,  0.43, 0.52
 0,           exploit,35,  0.35,  0.02,   *----             |                   ,  0.32,  0.49, 1.04
 0,         SimAnneal,40,  0.35,  0.05, --*   -             |                   ,  0.32,  0.43, 2.26
 0,            random,55,  0.35,  0.02,   *-                |                   ,  0.32,  0.40, 0.00
 0,         SimAnneal,55,  0.35,  0.02, --*---              |                   ,  0.32,  0.40, 3.75
 0,            random,35,  0.37,  0.03, -- *-----           |                   ,  0.32,  0.46, 0.00
 0,            random,40,  0.37,  0.05,    *-               |                   ,  0.32,  0.42, 0.00
 0,         SimAnneal,45,  0.37,  0.05, -- *  -             |                   ,  0.32,  0.42, 2.72
 0,            random,25,  0.37,  0.03, -- *---             |                   ,  0.32,  0.42, 0.00
 0,           exploit,25,  0.37,  0.02,    *-----           |                   ,  0.35,  0.45, 0.69
 0,            random,30,  0.37,  0.03, -- *--              |                   ,  0.32,  0.45, 0.00
 0,           exploit,40,  0.37,  0.06,    *  ------        |                   ,  0.35,  0.51, 1.25
 0,            random,45,  0.37,  0.02, -- *--              |                   ,  0.32,  0.40, 0.00
 0,         SimAnneal,50,  0.37,  0.05, -- *                |                   ,  0.32,  0.41, 3.22
 0,         SimAnneal,60,  0.37,  0.05, -- * -              |                   ,  0.32,  0.40, 4.33
 0, llm_phi3-mini(3.8B),20,  0.37,  0.03, --  *-              |                   ,  0.32,  0.40, 886.23
 0,           explore,25,  0.37,  0.10, --  *    --         |                   ,  0.32,  0.56, 0.69
 0,         SimAnneal,35,  0.37,  0.06, --  * ---           |                   ,  0.32,  0.49, 1.86
 0,            random,50,  0.37,  0.03, --  *-              |                   ,  0.32,  0.45, 0.00
 0,           explore,35,  0.38,  0.02, --- *---            |                   ,  0.32,  0.48, 1.06
 0,           explore,55,  0.38,  0.07, --  *  --           |                   ,  0.32,  0.46, 1.85
 0,           explore,60,  0.38,  0.02, --- *--             |                   ,  0.32,  0.41, 2.07
 0,            random,20,  0.38,  0.04,   --*  --           |                   ,  0.32,  0.46, 0.00
 0,           exploit,30,  0.38,  0.08,   - *    ---        |                   ,  0.32,  0.49, 0.86
 0, llm_phi3-mini(3.8B),30,  0.39,  0.03,   -- * -            |                   ,  0.35,  0.43, 2629.67
 0,         SimAnneal,25,  0.39,  0.07, --   * -            |                   ,  0.32,  0.44, 1.10
 0,           explore,30,  0.39,  0.04, ---- *  -           |                   ,  0.32,  0.52, 0.87
 0,           explore,40,  0.39,  0.07, --   * ---          |                   ,  0.32,  0.47, 1.25
 0,           explore,50,  0.39,  0.04, ---- * --           |                   ,  0.32,  0.45, 1.65
 0,           explore,20,  0.40,  0.05,   --  *--           |                   ,  0.32,  0.45, 0.52
#
 1,         SimAnneal,30,  0.40,  0.07, --    *--           |                   ,  0.32,  0.49, 1.44
 1,         SimAnneal,20,  0.40,  0.06,    -- *  --         |                   ,  0.32,  0.48, 0.79
#
 2, llm_llama3-8b(8.0B),20,  0.42,  0.07, ---     *           |                   ,  0.32,  0.44, 4855.06
 2,           explore,45,  0.42,  0.05,    --   *           |                   ,  0.32,  0.47, 1.45
#
 3,                rrp,9,  0.46,  0.08,       --  *   ------|-------            ,  0.39,  0.70, 0.10
#
 4,         baseline,196,  0.53,  0.09,         -----  *   -|-------            ,  0.32,  0.86, 0.00
