 0,           exploit,80,  0.03,  0.07, -*   ---------      |                   ,  0.00,  0.28, 1.23
 0,          UCB_GPM,100,  0.03,  0.01, -*--                |                   ,  0.00,  0.11, 1041.39
 0,             LLM++,40,  0.04,  0.01, - *                 |                   ,  0.00,  0.05, 731.81
 0,           exploit,70,  0.04,  0.03,   *----------       |                   ,  0.01,  0.27, 1.28
 0,            random,90,  0.04,  0.02, - *                 |                   ,  0.00,  0.08, 0.00
 0,             LLM++,50,  0.04,  0.01, - *                 |                   ,  0.00,  0.06, 729.93
 0,             LLM++,60,  0.04,  0.01,   *                 |                   ,  0.00,  0.07, 867.93
 0,             LLM++,80,  0.04,  0.01,   *                 |                   ,  0.00,  0.07, 739.89
 0,           UCB_GPM,90,  0.04,  0.01, - *                 |                   ,  0.01,  0.07, 3761.70
 0,           random,100,  0.04,  0.02,   *-                |                   ,  0.00,  0.08, 0.00
 0,            LLM++,100,  0.04,  0.03, - *                 |                   ,  0.00,  0.10, 736.22
 0,             LLM++,20,  0.04,  0.02, - *                 |                   ,  0.00,  0.08, 812.26
 0,            random,60,  0.04,  0.02,   *---              |                   ,  0.00,  0.12, 0.00
 0,           UCB_GPM,70,  0.04,  0.03, - *-                |                   ,  0.00,  0.11, 12226.34
 0,           UCB_GPM,40,  0.04,  0.02,  -*--               |                   ,  0.01,  0.09, 302.72
 0,             LLM++,70,  0.04,  0.01, --*                 |                   ,  0.00,  0.05, 753.19
#
 1,            random,80,  0.04,  0.02,  -*-                |                   ,  0.00,  0.09, 0.00
 1,             LLM++,90,  0.04,  0.02, - *---              |                   ,  0.00,  0.11, 739.21
 1,           exploit,20,  0.05,  0.03, - *--               |                   ,  0.01,  0.10, 1.23
 1,            random,30,  0.05,  0.04,  - *--              |                   ,  0.00,  0.13, 0.00
 1,             LLM++,30,  0.05,  0.01,  - *-               |                   ,  0.00,  0.11, 735.67
 1,            random,70,  0.05,  0.02,  - *                |                   ,  0.01,  0.08, 0.00
 1,            random,50,  0.05,  0.04,  - *-               |                   ,  0.00,  0.12, 0.00
 1,           UCB_GPM,60,  0.05,  0.04,  - *--              |                   ,  0.00,  0.11, 7077.37
 1,           UCB_GPM,80,  0.05,  0.02,  - *                |                   ,  0.01,  0.08, 10020.22
 1,           exploit,90,  0.06,  0.06, -  * ----           |                   ,  0.00,  0.21, 1.23
#
 2,           UCB_GPM,30,  0.06,  0.04,  - *-               |                   ,  0.01,  0.11, 181.73
 2,           UCB_GPM,50,  0.06,  0.05,    *-               |                   ,  0.01,  0.09, 1045.65
 2,           UCB_GPM,20,  0.06,  0.04, -- *---             |                   ,  0.00,  0.13, 101.41
 2,           explore,20,  0.06,  0.05, -- *-----           |                   ,  0.00,  0.21, 1.24
 2,          exploit,100,  0.06,  0.05,  - * -              |                   ,  0.00,  0.14, 1.24
 2,           exploit,40,  0.06,  0.03,  - *---             |                   ,  0.00,  0.18, 1.20
 2,           exploit,50,  0.06,  0.05,  - * -              |                   ,  0.00,  0.12, 1.22
 2,           explore,40,  0.06,  0.08,  - *   ------       |                   ,  0.00,  0.24, 1.19
 2,           exploit,30,  0.06,  0.09, -- *   --------     |                   ,  0.00,  0.30, 1.24
 2,           explore,70,  0.06,  0.04,  --* ----           |                   ,  0.03,  0.24, 1.29
 2,            random,40,  0.07,  0.03,  -  *-              |                   ,  0.00,  0.12, 0.00
 2,           explore,50,  0.07,  0.08,     *  --           |                   ,  0.00,  0.17, 1.24
 2,           explore,80,  0.07,  0.06,  -  *-----          |                   ,  0.01,  0.19, 1.26
 2,           explore,60,  0.08,  0.08,  -- *   ----        |                   ,  0.00,  0.26, 1.29
 2,           exploit,60,  0.08,  0.06,  -  *-              |                   ,  0.01,  0.18, 1.21
#
 3,          explore,100,  0.08,  0.07,  --  * ---          |                   ,  0.01,  0.19, 1.26
 3,            random,20,  0.10,  0.04,    -  *-            |                   ,  0.03,  0.16, 0.00
 3,           explore,90,  0.10,  0.06,  --   *-            |                   ,  0.00,  0.19, 1.25
#
 4,           explore,30,  0.11,  0.08,   --  *  --         |                   ,  0.00,  0.22, 1.23
#
 5,        baseline,1343,  0.29,  0.15,          ---     *  |-------            ,  0.03,  0.67, 0.00
