#
 0,            random,90,  0.07,  0.01,      *-             |                   ,  0.00,  0.12, 0.00
 0,           exploit,20,  0.07,  0.02,     -*-----------   |                   ,  0.00,  0.34, 1.30
 0,           UCB_GPM,70,  0.07,  0.01, -----*-             |                   ,  0.00,  0.11, 20192.83
 0,           exploit,80,  0.07,  0.01,      *---           |                   ,  0.00,  0.24, 5.02
 0,           UCB_GPM,90,  0.07,  0.02,      *-             |                   ,  0.00,  0.11, 31060.51
 0,           UCB_GPM,50,  0.07,  0.01,     -*-             |                   ,  0.00,  0.12, 9847.76
 0,           random,100,  0.07,  0.01,     -*-             |                   ,  0.00,  0.10, 0.00
 0,            random,70,  0.08,  0.01,     -*--            |                   ,  0.06,  0.12, 0.00
 0,           exploit,70,  0.08,  0.03,     -* --           |                   ,  0.00,  0.14, 4.76
 0,           exploit,50,  0.08,  0.02,      *-             |                   ,  0.06,  0.32, 3.98
 0,          exploit,100,  0.08,  0.03,     -* -            |                   ,  0.00,  0.17, 1.30
 0,            random,80,  0.08,  0.01,      *-             |                   ,  0.00,  0.10, 0.00
 0,          UCB_GPM,100,  0.08,  0.02,     -*-             |                   ,  0.00,  0.10, 31893.98
 0,             LLM++,30,  0.08,  0.00,      -*             |                   ,  0.06,  0.10, 1810.03
#
 1,             LLM++,40,  0.08,  0.00,       *             |                   ,  0.07,  0.09, 2426.15
 1,            random,60,  0.08,  0.01,       *             |                   ,  0.00,  0.10, 0.00
 1,           exploit,90,  0.08,  0.02,     - *-------------|-----              ,  0.06,  0.35, 4.19
 1,           UCB_GPM,80,  0.08,  0.01,       *             |                   ,  0.06,  0.10, 27527.61
 1,           exploit,40,  0.09,  0.03,       * --          |                   ,  0.06,  0.24, 4.06
 1,           UCB_GPM,60,  0.09,  0.02,     - *--           |                   ,  0.00,  0.13, 14200.52
 1,           UCB_GPM,40,  0.09,  0.02,     - *-            |                   ,  0.00,  0.12, 5300.63
 1,             LLM++,20,  0.09,  0.02,       *-            |                   ,  0.07,  0.12, 1201.75
 1,           exploit,30,  0.09,  0.03,       *------       |                   ,  0.06,  0.22, 1.50
#
 2,           exploit,60,  0.09,  0.03,      -* ----------  |                   ,  0.07,  0.34, 5.02
 2,            random,50,  0.09,  0.03,       * -           |                   ,  0.07,  0.14, 0.00
 2,            random,40,  0.10,  0.02,     -- *-           |                   ,  0.00,  0.14, 0.00
 2,           UCB_GPM,30,  0.10,  0.02,      - *            |                   ,  0.06,  0.13, 390.49
 2,           UCB_GPM,20,  0.10,  0.02,        *-           |                   ,  0.00,  0.13, 359.10
 2,            random,30,  0.10,  0.02,      - *-           |                   ,  0.00,  0.15, 0.00
 2,           explore,70,  0.10,  0.05,      - *  -----     |                   ,  0.06,  0.21, 4.35
 2,           explore,80,  0.10,  0.02,      --* --         |                   ,  0.07,  0.29, 5.54
 2,            random,20,  0.10,  0.03,       -*--          |                   ,  0.07,  0.15, 0.00
 2,           explore,90,  0.10,  0.05,      - *  -         |                   ,  0.00,  0.23, 3.73
 2,           explore,40,  0.11,  0.02,      -- *---        |                   ,  0.07,  0.32, 3.06
#
 3,          explore,100,  0.11,  0.03,         *---        |                   ,  0.00,  0.22, 1.26
 3,           explore,60,  0.11,  0.03,      -- *------     |                   ,  0.07,  0.21, 5.40
 3,           explore,50,  0.12,  0.03,      --  *-------   |                   ,  0.00,  0.27, 4.72
 3,           explore,20,  0.12,  0.05,      --  *-----     |                   ,  0.00,  0.26, 1.42
 3,           explore,30,  0.13,  0.08,      -   *  --      |                   ,  0.00,  0.25, 1.60
#
 4,        baseline,1512,  0.18,  0.09,          --  *    --|--------           ,  0.00,  0.53, 0.00
