#
 0,             LLM++,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 709.96
#
 1,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.06
#
 2,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 2,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.03
#
 3,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 3,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 3,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 3,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 3,           explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 30.42
#
 4,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 4,           explore,20,  0.00,  0.01, *                   |                   ,  0.00,  0.03, 27.38
 4,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
#
 5,           explore,30,  0.00,  0.01, *                   |                   ,  0.00,  0.02, 2.84
 5,           exploit,20,  0.00,  0.01, *                   |                   ,  0.00,  0.04, 24.53
 5,           exploit,25,  0.00,  0.01, *                   |                   ,  0.00,  0.03, 26.79
 5,           exploit,30,  0.00,  0.01, *                   |                   ,  0.00,  0.03, 3.37
 5,            random,30,  0.00,  0.01, *                   |                   ,  0.00,  0.02, 0.00
 5,               rrp,13,  0.01,  0.01, *                   |                   ,  0.00,  0.02, 28.32
#
 6,            random,20,  0.01,  0.00, *                   |                   ,  0.00,  0.02, 0.00
 6,            random,25,  0.01,  0.01, *                   |                   ,  0.00,  0.02, 0.00
#
 7,        baseline,3456,  0.03,  0.03, -*---------------   |                   ,  0.00,  0.73, 0.04
