#
 0,           exploit,25,  0.03,  0.04, -*---               |                   ,  0.00,  0.18, 11.91
 0,             LLM++,30,  0.04,  0.01, -*                  |                   ,  0.00,  0.05, 568.73
#
 1,           exploit,30,  0.04,  0.03, -*-                 |                   ,  0.00,  0.12, 9.73
#
 2,            PI_GPM,20,  0.04,  0.02, -*--                |                   ,  0.01,  0.11, 1849.06
 2,            PI_GPM,30,  0.05,  0.03,  *-                 |                   ,  0.00,  0.09, 2969.45
 2,            PI_GPM,25,  0.05,  0.02,   *                 |                   ,  0.01,  0.08, 2423.55
#
 3,            EI_GPM,25,  0.06,  0.03,   *                 |                   ,  0.03,  0.09, 2440.48
 3,            EI_GPM,20,  0.06,  0.02,  -*---              |                   ,  0.00,  0.15, 1825.16
 3,            EI_GPM,30,  0.06,  0.04,   *-                |                   ,  0.00,  0.13, 3050.95
#
 4,           UCB_GPM,25,  0.06,  0.05, - *-                |                   ,  0.00,  0.12, 2323.19
 4,           exploit,20,  0.06,  0.05,   *--               |                   ,  0.01,  0.25, 13.11
 4,           UCB_GPM,30,  0.06,  0.03,   *-                |                   ,  0.00,  0.11, 3260.36
 4,            random,25,  0.07,  0.03,  -*-                |                   ,  0.03,  0.15, 0.00
 4,           explore,25,  0.08,  0.05,    *-               |                   ,  0.01,  0.15, 12.54
 4,           UCB_GPM,20,  0.08,  0.03,  - *                |                   ,  0.03,  0.15, 1803.78
 4,            random,30,  0.08,  0.05,  - *                |                   ,  0.00,  0.13, 0.00
 4,           explore,30,  0.09,  0.11,    * ----           |                   ,  0.03,  0.26, 8.59
#
 5,           explore,20,  0.09,  0.06,    * -              |                   ,  0.03,  0.25, 12.35
 5,            random,20,  0.11,  0.04,  -- *-              |                   ,  0.01,  0.16, 0.00
#
 6,        baseline,1343,  0.29,  0.15,       --   *  ----- |                   ,  0.03,  0.67, 0.00
#
 7,               rrp,11,  0.87,  0.68,       -             |              *--- ,  0.04,  0.99, 3.15
